
[00:00:00.000 --> 00:00:02.000]  頂智慧晚安
[00:00:02.000 --> 00:00:04.000]  現在要大家去想一想
[00:00:04.000 --> 00:00:06.000]  在《創世紀》裏面
[00:00:06.000 --> 00:00:09.000]  哪些人物你是最熟悉的
[00:00:09.000 --> 00:00:11.000]  你會想到誰呢?
[00:00:11.000 --> 00:00:13.000]  很快就想到
[00:00:13.000 --> 00:00:15.000]  阿伯拉罕
[00:00:15.000 --> 00:00:17.000]  雅各
[00:00:17.000 --> 00:00:19.000]  如果不是剛才讀以撒的時候
[00:00:19.000 --> 00:00:21.000]  我想都沒有什麼人記得他
[00:00:21.000 --> 00:00:23.000]  今天我們就要說
[00:00:23.000 --> 00:00:25.000]  以撒
[00:00:25.000 --> 00:00:27.000]  以撒他在
[00:00:27.000 --> 00:00:30.000]  在《創世紀》裏面
[00:00:30.000 --> 00:00:32.000]  他都是叫做
[00:00:32.000 --> 00:00:35.000]  猶太人裏面的一個祖先
[00:00:35.000 --> 00:00:37.000]  很多時候聖經都會說
[00:00:37.000 --> 00:00:39.000]  耶和華是
[00:00:39.000 --> 00:00:41.000]  以色列的神
[00:00:41.000 --> 00:00:43.000]  是以撒的神
[00:00:43.000 --> 00:00:45.000]  是雅各的神
[00:00:45.000 --> 00:00:47.000]  以撒就剛剛在正中間
[00:00:47.000 --> 00:00:49.000]  阿伯拉罕就是
[00:00:49.000 --> 00:00:51.000]  以撒的爸爸
[00:00:51.000 --> 00:00:53.000]  然後呢
[00:00:53.000 --> 00:00:56.000]  雅各就是以撒的兒子
[00:00:56.000 --> 00:00:58.000]  三代同堂
[00:00:58.000 --> 00:01:00.000]  在正中間
[00:01:00.000 --> 00:01:02.000]  但我們往往就是
[00:01:02.000 --> 00:01:04.000]  只會認識
[00:01:04.000 --> 00:01:06.000]  阿伯拉罕
[00:01:06.000 --> 00:01:08.000]  阿伯拉罕裏面
[00:01:08.000 --> 00:01:12.000]  聖經裏面記載很多很多的事跡
[00:01:12.000 --> 00:01:16.000]  還有在《創世紀》裏面
[00:01:16.000 --> 00:01:18.000]  原來由十二章
[00:01:18.000 --> 00:01:20.000]  一直到二十五章
[00:01:20.000 --> 00:01:23.000]  就開始記載阿伯拉罕的事情
[00:01:23.000 --> 00:01:25.000]  總共十章
[00:01:25.000 --> 00:01:29.000]  而以撒的兒子
[00:01:29.000 --> 00:01:30.000]  就是雅各
[00:01:30.000 --> 00:01:32.000]  就更厲害
[00:01:32.000 --> 00:01:34.000]  他由二十七章
[00:01:34.000 --> 00:01:36.000]  一直到四十九章
[00:01:36.000 --> 00:01:40.000]  都是關於雅各的事跡
[00:01:40.000 --> 00:01:42.000]  所以就是說
[00:01:42.000 --> 00:01:48.000]  就是以撒在全國的《創世紀》裏面
[00:01:48.000 --> 00:01:51.000]  他只是記載了一章的事情
[00:01:51.000 --> 00:01:56.000]  是由他們去做主角
[00:01:56.000 --> 00:02:00.000]  但今天我們就用這段時間
[00:02:00.000 --> 00:02:04.000]  我們一起看完這章裏面所說的事情
[00:02:04.000 --> 00:02:07.000]  以撒這個名字就叫做
[00:02:07.000 --> 00:02:08.000]  笑
[00:02:08.000 --> 00:02:09.000]  他的意思就是笑
[00:02:09.000 --> 00:02:11.000]  很開心地笑
[00:02:11.000 --> 00:02:12.000]  那為什麼呢
[00:02:12.000 --> 00:02:14.000]  他的名字這麼開心呢
[00:02:14.000 --> 00:02:17.000]  就因為他能夠出世
[00:02:17.000 --> 00:02:19.000]  也是一個神蹟
[00:02:19.000 --> 00:02:21.000]  那他阿伯拉罕
[00:02:21.000 --> 00:02:23.000]  多少歲生他的呢
[00:02:23.000 --> 00:02:26.000]  是一百歲的時候
[00:02:26.000 --> 00:02:30.000]  那他媽媽已經是九十歲了
[00:02:30.000 --> 00:02:34.000]  所以當他們求了很久
[00:02:34.000 --> 00:02:37.000]  耶和華先賜了這個兒子給他的時候
[00:02:37.000 --> 00:02:38.000]  他出世的時候
[00:02:38.000 --> 00:02:40.000]  笑得合不上嘴
[00:02:40.000 --> 00:02:43.000]  所以他的名字就叫做以撒
[00:02:43.000 --> 00:02:47.000]  是開心到不得了的意思
[00:02:47.000 --> 00:02:52.000]  那在他出世的時候
[00:02:52.000 --> 00:02:55.000]  就被他們整個民族
[00:02:55.000 --> 00:02:59.000]  或者是之前或者之後看到的時候
[00:02:59.000 --> 00:03:01.000]  上帝真是很厲害
[00:03:01.000 --> 00:03:06.000]  在這個人已經不能夠生育的年齡的時候
[00:03:06.000 --> 00:03:12.000]  但是竟然都能夠生出這個以撒
[00:03:12.000 --> 00:03:13.000]  他們就看到了
[00:03:13.000 --> 00:03:15.000]  在上帝來講的時候
[00:03:15.000 --> 00:03:18.000]  凡事都能
[00:03:18.000 --> 00:03:21.000]  也都令到以後那些民族
[00:03:21.000 --> 00:03:23.000]  藉著這個以撒的出世
[00:03:23.000 --> 00:03:25.000]  他們看到了
[00:03:25.000 --> 00:03:29.000]  只要去堅信上帝的應許
[00:03:29.000 --> 00:03:33.000]  以及倚靠著他的能力的時候
[00:03:33.000 --> 00:03:38.000]  上帝可以使很困難很困難的東西
