
[00:00:00.000 --> 00:00:01.080]  感謝神
[00:00:01.080 --> 00:00:03.500]  今日有本堂義務傳導人
[00:00:03.500 --> 00:00:07.880]  蔣文宗傳導在我們當中傳講神的話語
[00:00:07.880 --> 00:00:09.520]  他的講題是
[00:00:09.520 --> 00:00:13.200]  「為主預備合容的百姓」
[00:00:13.200 --> 00:00:16.640]  相關經文是記載新約的《路加福音》
[00:00:16.640 --> 00:00:20.000]  一章八至十七節
[00:00:20.000 --> 00:00:21.720]  聖經這樣說
[00:00:21.720 --> 00:00:27.560]  撒加尼亞案單次在神面前執行祭司的職務
[00:00:27.560 --> 00:00:30.560]  照祭司的規矩抽籤
[00:00:30.560 --> 00:00:33.960]  進到主的殿裡燒香
[00:00:33.960 --> 00:00:35.600]  燒香的時候
[00:00:35.600 --> 00:00:38.800]  眾百姓在外面禱告
[00:00:38.800 --> 00:00:43.280]  有主的一個使者站在香壇的右邊
[00:00:43.280 --> 00:00:45.560]  向祂顯現
[00:00:45.560 --> 00:00:47.280]  撒加尼亞看見
[00:00:47.280 --> 00:00:49.960]  就驚慌害怕
[00:00:49.960 --> 00:00:52.120]  天使對他說
[00:00:52.120 --> 00:00:55.120]  撒加尼亞不要害怕
[00:00:55.120 --> 00:00:59.000]  因為你的祈禱已經被聽見了
[00:00:59.000 --> 00:01:03.960]  你的妻子伊麗莎白要給你生一個兒子
[00:01:03.960 --> 00:01:07.640]  你要給她起名叫若翰
[00:01:07.640 --> 00:01:10.080]  你必歡喜快樂
[00:01:10.080 --> 00:01:14.520]  有許多人因她出世也必喜樂
[00:01:14.520 --> 00:01:17.960]  她在主面前將要為大
[00:01:17.960 --> 00:01:21.400]  淡酒烈酒都不渴
[00:01:21.400 --> 00:01:25.680]  從無福裡就被聖靈充滿
[00:01:25.680 --> 00:01:29.160]  她要使許多以色列人迴轉
[00:01:29.160 --> 00:01:32.240]  歸於主他們的神
[00:01:32.240 --> 00:01:36.000]  她將有伊麗亞的精神和能力
[00:01:36.000 --> 00:01:38.280]  走在主的前面
[00:01:38.280 --> 00:01:42.120]  叫父親的心轉向兒女
[00:01:42.120 --> 00:01:46.640]  叫搏逆的人轉向二人的智慧
[00:01:46.640 --> 00:01:51.520]  又為主預備迎接她的百姓
[00:01:51.520 --> 00:01:53.080]  經文讀筆
[00:01:53.080 --> 00:01:55.920]  恭敬的將以下時間交給蔣傳道
[00:01:55.920 --> 00:01:58.480]  請姐妹早晨
[00:01:58.480 --> 00:02:03.200]  很感恩很高興再次大家中間去分享上帝的訊息
[00:02:03.200 --> 00:02:07.600]  特別今天或者是這個時間
[00:02:07.600 --> 00:02:12.120]  其實這個時段是一個我們在教會節期之中
[00:02:12.120 --> 00:02:14.800]  會稱為一個章林期的時間
[00:02:14.800 --> 00:02:18.120]  章林節期有四個星期
[00:02:18.120 --> 00:02:22.160]  在聖誕節之前的四個主日
[00:02:22.160 --> 00:02:23.600]  今年就特別一些
