
[00:00:00.000 --> 00:00:04.200]  今日有鄧太康傳道在當中和我們分享訊息
[00:00:04.200 --> 00:00:10.000]  他的講題是「上主與我們的關係,元帥與士兵」
[00:00:10.000 --> 00:00:15.500]  經文是記載在《約書雅記》五章十三至十五節
[00:00:15.500 --> 00:00:22.700]  約書雅靠近耶利哥的時候,舉目觀看
[00:00:22.700 --> 00:00:29.000]  看啊!有一個人站在他對面,手裡拿著拔出來的刀
[00:00:29.000 --> 00:00:32.500]  約書雅到他那裡,對他說:
[00:00:32.500 --> 00:00:37.500]  「你是屬於我們的,還是屬於我們敵人的?」
[00:00:37.500 --> 00:00:44.500]  他說:「不,我現在來,是要作耶和華軍隊的元帥。」
[00:00:44.500 --> 00:00:48.000]  約書雅就臉伏於地下拜,說:
[00:00:48.000 --> 00:00:52.500]  「我主有什麼話,請吩咐僕人吧。」
[00:00:52.500 --> 00:00:57.000]  耶和華軍隊的元帥對約書雅說:
[00:00:57.000 --> 00:01:03.500]  「把你腳上的鞋脫下來,因為你所站的地方是正的。」
[00:01:03.500 --> 00:01:06.500]  約書雅就照著做了。
[00:01:06.500 --> 00:01:09.500]  我們請鄧傳道。
[00:01:09.500 --> 00:01:24.500]  鄧傳道:鄧記拔早晨!
[00:01:24.500 --> 00:01:29.500]  上次跟大家分享的是我們跟上主的關係
[00:01:29.500 --> 00:01:33.000]  創造和被造,大家記得吧?
[00:01:33.000 --> 00:01:36.500]  你是被造的,他才是創造者。
[00:01:36.500 --> 00:01:40.000]  今天跟大家分享的其中一個很重要的主題
[00:01:40.000 --> 00:01:44.500]  也是我很喜歡的經文
[00:01:44.500 --> 00:01:48.500]  約書雅是我很喜歡的人物
[00:01:48.500 --> 00:01:51.000]  因為我跟他很像
[00:01:51.000 --> 00:01:53.000]  我跟他很像,大家不要誤會
[00:01:53.000 --> 00:01:55.000]  我跟他很像,大家不要誤會
[00:01:55.000 --> 00:01:57.000]  我跟他很像,大家不要誤會
[00:01:57.000 --> 00:01:59.000]  我跟他很像,大家不要誤會
[00:01:59.000 --> 00:02:01.000]  我跟他很像,大家不要誤會
[00:02:01.000 --> 00:02:03.000]  我跟他很像,大家不要誤會
[00:02:03.000 --> 00:02:05.000]  我跟他很像,大家不要誤會
[00:02:05.000 --> 00:02:07.000]  我跟他很像,大家不要誤會
[00:02:07.000 --> 00:02:09.000]  我跟他很像,大家不要誤會
[00:02:09.000 --> 00:02:11.000]  我跟他很像,大家不要誤會
[00:02:11.000 --> 00:02:13.000]  我跟他很像,大家不要誤會
[00:02:13.000 --> 00:02:15.000]  我跟他很像,大家不要誤會
[00:02:15.000 --> 00:02:17.000]  我跟他很像,大家不要誤會
[00:02:17.000 --> 00:02:19.000]  我跟他很像,大家不要誤會
[00:02:19.000 --> 00:02:21.000]  我跟他很像,大家不要誤會
