
[00:00:00.000 --> 00:00:02.000]  各位鼎姐妹午安
[00:00:02.000 --> 00:00:04.000]  感恩
[00:00:04.000 --> 00:00:06.000]  在父親節期間
[00:00:06.000 --> 00:00:08.000]  我可以和大家一起
[00:00:08.000 --> 00:00:12.000]  用上帝的說話來彼此勉勵
[00:00:12.000 --> 00:00:14.000]  今天是父親節
[00:00:14.000 --> 00:00:16.000]  通常我們都祝父親
[00:00:16.000 --> 00:00:18.000]  開心快樂
[00:00:18.000 --> 00:00:20.000]  但我想想
[00:00:20.000 --> 00:00:22.000]  如果整個家庭
[00:00:22.000 --> 00:00:24.000]  只有父親一個開心
[00:00:24.000 --> 00:00:26.000]  其他人都不開心
[00:00:26.000 --> 00:00:28.000]  又不行的
[00:00:28.000 --> 00:00:30.000]  每一位父親
[00:00:30.000 --> 00:00:32.000]  他們整個家庭都開心
[00:00:32.000 --> 00:00:34.000]  他和他的太太
[00:00:34.000 --> 00:00:36.000]  大家就甜甜蜜蜜
[00:00:36.000 --> 00:00:38.000]  互相扶持
[00:00:38.000 --> 00:00:40.000]  互相接納
[00:00:40.000 --> 00:00:42.000]  也祝福每一位父親
[00:00:42.000 --> 00:00:44.000]  他們的家庭
[00:00:44.000 --> 00:00:46.000]  和子女的關係
[00:00:46.000 --> 00:00:48.000]  是父慈子孝
[00:00:48.000 --> 00:00:50.000]  大家兄弟之間
[00:00:50.000 --> 00:00:52.000]  又和諧地相處
[00:00:52.000 --> 00:00:56.000]  最近
[00:00:56.000 --> 00:00:58.000]  通常在什麼節日
[00:00:58.000 --> 00:01:00.000]  有些人會寫什麼詩
[00:01:00.000 --> 00:01:02.000]  有一位
[00:01:02.000 --> 00:01:04.000]  剛成為人父的爸爸
[00:01:04.000 --> 00:01:06.000]  他說
[00:01:06.000 --> 00:01:08.000]  他做了爸爸之後
[00:01:08.000 --> 00:01:10.000]  就明白到
[00:01:10.000 --> 00:01:12.000]  他自己的爸爸
[00:01:12.000 --> 00:01:14.000]  做角色的
[00:01:14.000 --> 00:01:16.000]  那份辛勞
[00:01:16.000 --> 00:01:18.000]  他就寫了一首
[00:01:18.000 --> 00:01:20.000]  歌頌爸爸的詩
