
[00:00:00.000 --> 00:00:06.200]  天父我們感恩再次恢復《羅馬書》的十一章的研讀
[00:00:06.200 --> 00:00:09.900]  我們很感謝主讓我們能夠一直看到保羅
[00:00:09.900 --> 00:00:13.420]  他相當詳盡地去講
[00:00:13.420 --> 00:00:17.120]  外邦人如何可以透過恩信耶穌
[00:00:17.120 --> 00:00:18.920]  得到這個清義
[00:00:18.920 --> 00:00:21.120]  以及在這個清義之後
[00:00:21.120 --> 00:00:24.440]  如何能夠在我們的舊有生命
[00:00:24.440 --> 00:00:26.680]  不斷有聖靈的工作
[00:00:26.680 --> 00:00:31.620]  讓我們能夠脫離我們舊有的自我
[00:00:31.620 --> 00:00:35.000]  進入神的豐盛生命
[00:00:35.000 --> 00:00:39.840]  因為是神預先選召我們
[00:00:39.840 --> 00:00:46.080]  讓我們要在人生學校耶穌基督的榮耀的樣式
[00:00:46.080 --> 00:00:47.460]  我們很感謝神
[00:00:47.460 --> 00:00:50.840]  我們過去有相當長的時間
[00:00:50.840 --> 00:00:54.600]  開始看第九到十一章
[00:00:54.600 --> 00:00:57.020]  今晚我們會有一個總結
[00:00:57.020 --> 00:01:01.760]  我們真的很盼望猶太人他們現在的光景
[00:01:01.760 --> 00:01:04.020]  雖然我們很難用政治
[00:01:04.020 --> 00:01:09.320]  用他們在過去的兩年對巴勒斯坦、哈馬斯
[00:01:09.320 --> 00:01:14.440]  或者在加沙地帶的平民百姓的轟炸
[00:01:14.440 --> 00:01:18.680]  來做一個很終極的判斷
[00:01:18.680 --> 00:01:22.520]  因為是超過了我們的了解
[00:01:22.520 --> 00:01:27.200]  但是我們都看到在聖經保羅給我們的啟示
[00:01:27.200 --> 00:01:29.700]  我們知道有一個很大的奧秘
[00:01:29.700 --> 00:01:33.960]  盼望今晚我們能夠去梳理一下這個奧秘
[00:01:33.960 --> 00:01:37.460]  以及以色列這個民族將來的光景
[00:01:37.460 --> 00:01:39.600]  我們等候在主的面前
[00:01:39.600 --> 00:01:41.800]  求祢一路帶領我們
[00:01:41.800 --> 00:01:43.280]  很盼望能夠
[00:01:43.280 --> 00:01:48.960]  雖然有些很難每個星期都能夠聚在一起
[00:01:48.960 --> 00:01:51.640]  但是當聽回記錄的時候
