
[00:00:00.000 --> 00:00:03.800]  天啊,要聽!地啊,執意而聽!
[00:00:03.800 --> 00:00:05.600]  因為耶和華說:
[00:00:05.600 --> 00:00:11.200]  「我養育兒女,將他們養大,他們竟活逆我。」
[00:00:11.200 --> 00:00:12.800]  牛認識主人,
[00:00:12.800 --> 00:00:14.800]  驢認識主人的草,
[00:00:14.800 --> 00:00:16.600]  以色列卻不認識,
[00:00:16.600 --> 00:00:19.200]  我的民卻不明白。
[00:00:19.200 --> 00:00:22.000]  和哉!犯罪的國民,
[00:00:22.000 --> 00:00:24.200]  擔著罪孽的百姓,
[00:00:24.200 --> 00:00:25.800]  行惡的族類,
[00:00:25.800 --> 00:00:27.600]  敗壞的兒女,
[00:00:27.600 --> 00:00:29.600]  他們離棄耶和華,
[00:00:29.600 --> 00:00:32.000]  藐視以色列的聖者,
[00:00:32.000 --> 00:00:34.800]  背向他,與他疏遠。
[00:00:34.800 --> 00:00:36.400]  第五節
[00:00:36.400 --> 00:00:38.800]  你們為什麼屢次叛逆,
[00:00:38.800 --> 00:00:40.800]  繼續受責打呢?
[00:00:40.800 --> 00:00:43.200]  你們已經滿頭疼痛,
[00:00:43.200 --> 00:00:44.800]  全心發昏,
[00:00:44.800 --> 00:00:47.200]  從腳掌到頭頂,
[00:00:47.200 --> 00:00:49.400]  沒有一處是完好的,
[00:00:49.400 --> 00:00:52.000]  盡是創傷與清,
[00:00:52.000 --> 00:00:53.800]  與流血的傷口,
[00:00:53.800 --> 00:00:56.800]  未曾擠靜,未曾包紮,
[00:00:56.800 --> 00:00:59.200]  也沒有用膏滋潤。
[00:00:59.200 --> 00:01:01.200]  你們的土地荒蕪,
[00:01:01.200 --> 00:01:03.400]  城鎮被火燒毀,
[00:01:03.400 --> 00:01:05.800]  你們的田地在你們眼前
[00:01:05.800 --> 00:01:07.800]  被陌生人侵吞,
[00:01:07.800 --> 00:01:10.200]  既被陌生人傾覆,
[00:01:10.200 --> 00:01:12.200]  就成為荒蕪,
[00:01:12.200 --> 00:01:14.000]  僅存的石案,
[00:01:14.000 --> 00:01:16.200]  好像葡萄園的草棚,
[00:01:16.200 --> 00:01:18.400]  和瓜田中的茅屋,
[00:01:18.400 --> 00:01:20.800]  猶如被圍困的城。
[00:01:20.800 --> 00:01:23.200]  若不是萬軍之耶和華
[00:01:23.200 --> 00:01:26.200]  為我們留下一些倖存者,
[00:01:26.200 --> 00:01:28.800]  我們早已變成所多瑪,
[00:01:28.800 --> 00:01:31.200]  像俄摩拉一樣了。
[00:01:31.200 --> 00:01:32.200]  第十節
[00:01:32.200 --> 00:01:34.800]  所多瑪的官長,
[00:01:34.800 --> 00:01:37.400]  你們要聽耶和華的言語,
[00:01:37.400 --> 00:01:39.200]  俄摩拉的百姓,
[00:01:39.200 --> 00:01:42.400]  要則以聽我們神的教誨。
[00:01:42.400 --> 00:01:44.000]  耶和華說:
[00:01:44.000 --> 00:01:45.800]  你們許多的祭物,
[00:01:45.800 --> 00:01:47.400]  於我何益呢?
[00:01:47.400 --> 00:01:49.200]  宮廟的繁祭,
[00:01:49.200 --> 00:01:51.000]  和肥畜的油脂,
[00:01:51.000 --> 00:01:53.200]  我已經厭煩了。
[00:01:53.200 --> 00:01:55.200]  宮牛羔羊,
[00:01:55.200 --> 00:01:56.600]  宮山羊的血,
[00:01:56.600 --> 00:01:58.200]  我都不起怨。
[00:01:58.200 --> 00:02:00.200]  你們來朝見我,
[00:02:00.200 --> 00:02:03.200]  誰向你們的手要求這些?
[00:02:03.200 --> 00:02:06.200]  使你們踐踏我的婉語呢?
[00:02:06.200 --> 00:02:09.200]  不要再獻無謂的貢物了,
[00:02:09.200 --> 00:02:11.800]  鄉是我所憎惡的。
[00:02:11.800 --> 00:02:13.800]  我不能容忍行惡,
[00:02:13.800 --> 00:02:17.200]  又搜嚴肅會,
[00:02:17.200 --> 00:02:20.800]  初一安息日和召集的大會。
[00:02:20.800 --> 00:02:23.400]  你們的初一和節旗,
[00:02:23.400 --> 00:02:25.200]  我心裡恨惡,
[00:02:25.200 --> 00:02:27.600]  他們成了我的重擔,
[00:02:27.600 --> 00:02:29.200]  擔當這些,
[00:02:29.200 --> 00:02:31.000]  令我厭煩。
[00:02:31.000 --> 00:02:32.800]  你們舉手禱告,
[00:02:32.800 --> 00:02:34.800]  我必遮眼不看。
[00:02:34.800 --> 00:02:37.200]  就算你們多多祈禱,
[00:02:37.200 --> 00:02:38.600]  我也不聽。
