
[00:00:00.000 --> 00:00:02.000]  今日曾牧師的講題是
[00:00:02.000 --> 00:00:05.000]  求主使我能看見
[00:00:05.000 --> 00:00:07.000]  經文是記載在
[00:00:07.000 --> 00:00:12.000]  《路加福音》十八章三十一至四十三節
[00:00:12.000 --> 00:00:14.000]  請聽我讀出經文
[00:00:14.000 --> 00:00:18.000]  耶穌把十二使徒帶到一邊
[00:00:18.000 --> 00:00:19.000]  對他們說
[00:00:19.000 --> 00:00:22.000]  看啊!我們上耶路撒冷去
[00:00:22.000 --> 00:00:24.000]  先知所寫的一切事
[00:00:24.000 --> 00:00:27.000]  都要成就在人子身上
[00:00:27.000 --> 00:00:30.000]  他將被交給外邦人
[00:00:30.000 --> 00:00:32.000]  他們要戲弄他
[00:00:32.000 --> 00:00:33.000]  凌辱他
[00:00:33.000 --> 00:00:35.000]  向他吐唾沫
[00:00:35.000 --> 00:00:37.000]  並要鞭打他
[00:00:37.000 --> 00:00:38.000]  殺害他
[00:00:38.000 --> 00:00:41.000]  第三天他要復活
[00:00:41.000 --> 00:00:45.000]  這些事門徒一點也不明白
[00:00:45.000 --> 00:00:49.000]  這話的意思對他們是隱藏的
[00:00:49.000 --> 00:00:52.000]  他們不知道所說的是什麼
[00:00:52.000 --> 00:00:56.000]  耶穌將近耶利哥的時候
[00:00:56.000 --> 00:00:59.000]  有一個盲人坐在路旁討飯
[00:00:59.000 --> 00:01:02.000]  他聽見許多人經過
[00:01:02.000 --> 00:01:04.000]  就問是什麼事
[00:01:04.000 --> 00:01:06.000]  他們告訴他
[00:01:06.000 --> 00:01:09.000]  是拿撒勒人耶穌經過
[00:01:09.000 --> 00:01:11.000]  他就呼叫說
[00:01:11.000 --> 00:01:15.000]  大位之子耶穌啊!可憐我吧!
[00:01:15.000 --> 00:01:19.000]  在前頭走的人就責備他
[00:01:19.000 --> 00:01:21.000]  不許他作聖
[00:01:21.000 --> 00:01:23.000]  他卻越發喊叫
[00:01:24.000 --> 00:01:27.000]  大位之子啊!可憐我吧!
[00:01:27.000 --> 00:01:30.000]  耶穌就站住
[00:01:30.000 --> 00:01:33.000]  吩咐把他轉過來
[00:01:33.000 --> 00:01:36.000]  他到了庚前就問他
[00:01:36.000 --> 00:01:39.000]  你要我為你做什麼?
[00:01:39.000 --> 00:01:40.000]  他說
[00:01:40.000 --> 00:01:43.000]  主啊!我要能看見
[00:01:43.000 --> 00:01:45.000]  耶穌對他說
[00:01:45.000 --> 00:01:49.000]  你看見吧!你的信救了你
[00:01:49.000 --> 00:01:52.000]  那盲人立刻看得見了
[00:01:53.000 --> 00:01:54.000]  就跟隨耶穌
[00:01:54.000 --> 00:01:56.000]  一路歸榮耀給神
[00:01:56.000 --> 00:02:00.000]  眾人看見這次也都讚美神
[00:02:00.000 --> 00:02:04.000]  現在我們將時間交給曾牧師
[00:02:04.000 --> 00:02:28.000]  (祈禱)
[00:02:28.000 --> 00:02:31.000]  我們一起有個祈禱吧
[00:02:32.000 --> 00:02:34.000]  親愛的主
