
[00:00:00.000 --> 00:00:06.000]  (主席)今日宣導係記載喺《以賽雅書》十二章一至六節
[00:00:06.000 --> 00:00:12.000]  《商行本聖經》舊約第一千零十四至一千零十五頁
[00:00:12.000 --> 00:00:16.000]  《以賽雅書》十二章一至六節
[00:00:16.000 --> 00:00:22.000]  《商行本聖經》舊約第一千零十四至一千零十五頁
[00:00:22.000 --> 00:00:26.000]  在那日,你要說
[00:00:26.000 --> 00:00:29.000]  耶和華說:噢,我要稱謝你
[00:00:29.000 --> 00:00:36.000]  因為你雖然向我發怒,你的怒氣卻已轉燒,你又安慰了我
[00:00:36.000 --> 00:00:42.000]  看啊,神是我的拯救,我要倚靠他,並不懼怕
[00:00:42.000 --> 00:00:49.000]  因為主耶和華是我的力量,是我的師哥,他也成了我的拯救
[00:00:49.000 --> 00:00:54.000]  你們必從救恩的傳言,歡言取水
[00:00:54.000 --> 00:01:00.000]  在那日,你們要說:當稱謝耶和華,求告他的名
[00:01:00.000 --> 00:01:06.000]  在萬民中傳揚他的作為,宣告他的名,以備尊崇
[00:01:06.000 --> 00:01:15.000]  你們要向耶和華唱歌,因他所做的十分宏偉,他願這事遍傳傳遞
[00:01:15.000 --> 00:01:24.000]  「錫安的居民啊,當揚聲歡呼,因為在你們當中的以色列聖者最為偉大」
[00:01:24.000 --> 00:01:30.000]  感謝神,今天由本堂義務傳道,葛洪彪牧師在我們中間正道
[00:01:30.000 --> 00:01:36.000]  他的講題是「感恩秘魯歸回」,現在恭請葛牧師正道
[00:01:36.000 --> 00:01:45.000]  (主席向葛牧師致敬)
[00:01:45.000 --> 00:01:49.000]  我們一起同心祈禱
[00:01:49.000 --> 00:01:53.000]  我們的天父上帝,我們懇求祢接受我們的敬拜
[00:01:53.000 --> 00:01:57.000]  懇求祢的聖名在我們心中工作
[00:01:57.000 --> 00:02:01.000]  讓我們明白祢自己說話裏面的寶貴
[00:02:01.000 --> 00:02:08.000]  願祢自己親自指引我們,讓我們看見屬靈上寶貴的真理
[00:02:08.000 --> 00:02:11.000]  我們這樣禱告,奉耶穌基督的名,阿們
[00:02:11.000 --> 00:02:15.000]  感謝神恩典,也讓我和弟兄姊妹分享聖經的訊息
[00:02:15.000 --> 00:02:20.000]  也請大家繼續打開聖經或手機
[00:02:20.000 --> 00:02:25.000]  因為我會跟著經文來和大家講題目
[00:02:25.000 --> 00:02:32.000]  今天講到的經文是《爾賽亞書》十二章一到六節
[00:02:32.000 --> 00:02:37.000]  今年我打算將《爾賽亞書》一到十二章和大家講
[00:02:37.000 --> 00:02:45.000]  題目是感恩秘魯歸回,這是歷史背景
[00:02:45.000 --> 00:02:49.000]  我會講到兩個部分,第一部分是經文的解釋
[00:02:49.000 --> 00:02:52.000]  第二部分是應用反省
[00:02:52.000 --> 00:02:58.000]  首先我們看《爾賽亞書》第十二章是一篇讚美詩歌
[00:02:58.000 --> 00:03:05.000]  而第一到十一章的主題是救恩和審判
[00:03:05.000 --> 00:03:12.000]  我們要留心,在第十二章一到六節出現了兩次「到那日」
[00:03:12.000 --> 00:03:16.000]  剛才主席和我們讀的時候,你也有印象
[00:03:16.000 --> 00:03:21.000]  第一節和第四節都出現了「到那日」的短句
[00:03:21.000 --> 00:03:24.000]  究竟「到那日」是什麼意思呢?
[00:03:24.000 --> 00:03:30.000]  有聖經學者認為「到那日」是對應著《爾賽亞書》十章第二十五節
[00:03:30.000 --> 00:03:37.000]  裡面說「因為還有一點點時候,向你們發憤怒的就要完畢
[00:03:37.000 --> 00:03:40.000]  我的怒氣要向他發作,使他滅亡」
[00:03:40.000 --> 00:03:44.000]  這裡所提到的一點點時候
[00:03:44.000 --> 00:03:49.000]  就是對應著十二章一節和四節的「到那日」
[00:03:49.000 --> 00:03:56.000]  而十二章一節「到那日」其實同樣是連接著第十一章
[00:03:56.000 --> 00:03:58.000]  當然是有上文下理
