
[00:00:00.000 --> 00:00:07.000]  「佛在告訴你們,主人會叫他們坐直,自己束上腰帶,前來伺候他們。
[00:00:07.000 --> 00:00:14.000]  他或是半夜來,或是天亮之前來,看見僕人這樣,那些僕人就有福了。
[00:00:14.000 --> 00:00:22.000]  你們要知道,一家的主人若知道賊什麼時候來,就不用賊劃穿房屋。
[00:00:22.000 --> 00:00:27.000]  你們也要預備,因為在你們上不到的時候,人質就來了。」
[00:00:27.000 --> 00:00:34.000]  彼得說:「主啊,這比喻是對我們說的呢,還是也對眾人呢?」
[00:00:34.000 --> 00:00:44.000]  主說:「那麼誰是那忠心又精明的管家?主人要派他管理自己的家僕,按時定量分糧給他們的呢?」
[00:00:44.000 --> 00:00:49.000]  主人來到,看見僕人這樣說,那僕人就有福了。
[00:00:49.000 --> 00:00:54.000]  「我實在告訴你們,主人要派他管理所有的財產。
[00:00:54.000 --> 00:01:03.000]  如果那僕人心裡說,我的主人會來得遲,就動手打同僕和侍女,並且吃喝醉酒。
[00:01:03.000 --> 00:01:12.000]  在上不到的日子,不知道的時候,那僕人的主人要來,重重地懲罰他,令他和不忠心的人同罪。
[00:01:12.000 --> 00:01:19.000]  僕人知道主人的意思卻沒預備,又未信他的意思做,那僕人要多受責打。
[00:01:19.000 --> 00:01:30.000]  至於不知道而做了,當受責打的時的,要少受責打。多給誰,就向誰多取;多託誰,就向誰多要。」
[00:01:30.000 --> 00:01:35.000]  感謝神,今天有本堂傳導人曾敏姑娘在我們中間靜悟。
[00:01:35.000 --> 00:01:40.000]  今天曾姑娘的講題是「作主忠心的僕人」,現在恭請曾姑娘。
[00:01:40.000 --> 00:01:50.000]  感謝上帝,讓我們在此一同聆聽祂的話。開始的時候再有一個禱告。
[00:01:50.000 --> 00:01:59.000]  天父上帝,好感謝祢,仍然賜給我們有生命氣息去到祢的面前。
[00:01:59.000 --> 00:02:04.000]  好願意今天,祢對我們每一個人去講說話。
