
[00:00:00.000 --> 00:00:09.000]  我們一起禱告,感恩我們可以再一次打開聖經去研讀
[00:00:09.000 --> 00:00:14.000]  多謝您讓我們能夠看完哈蓋書、撒加尼亞書
[00:00:14.000 --> 00:00:23.000]  都是對將來的預言和當時重建聖殿的光景和百姓的心情
[00:00:23.000 --> 00:00:27.000]  也藉著先知對將來末世的預言
[00:00:27.000 --> 00:00:31.000]  雖然很遙遠,但也指向終極
[00:00:31.000 --> 00:00:38.000]  就是主耶穌再回來的時候腳踏橄欖山的情景
[00:00:38.000 --> 00:00:43.000]  我們很盼望將來以色列人會得救
[00:00:43.000 --> 00:00:46.000]  有一些剩餘的以色列人
[00:00:46.000 --> 00:00:50.000]  是心靈改變來歸向主的
[00:00:50.000 --> 00:00:56.000]  到時真是很多人歸耶和華為聖
[00:00:56.000 --> 00:00:59.000]  和會投奔神的山
[00:00:59.000 --> 00:01:04.000]  所以我們也盼望為將來去準備
[00:01:04.000 --> 00:01:11.000]  雖然我們不知道哪一個年代耶穌基督會再回來
[00:01:11.000 --> 00:01:14.000]  但既然這是一個肯定的事實的時候
[00:01:14.000 --> 00:01:18.000]  就叫我們在我們自己的時代有限的人生
[00:01:18.000 --> 00:01:22.000]  來為神的國度做準備,求主帶領
[00:01:22.000 --> 00:01:26.000]  我們今天晚上開始最後這一本書
[00:01:26.000 --> 00:01:27.000]  《馬拉基書》
[00:01:27.000 --> 00:01:31.000]  盼望裡面的訊息有些都很淺白
[00:01:31.000 --> 00:01:35.000]  但很有提醒
[00:01:35.000 --> 00:01:39.000]  因為敬拜不是一兩天的事
[00:01:39.000 --> 00:01:43.000]  不是一次的聚會,是一生的敬拜
[00:01:43.000 --> 00:01:46.000]  所以我們需要不斷有更新
[00:01:46.000 --> 00:01:49.000]  盼望這一本書成為我們大家很多的提醒
[00:01:49.000 --> 00:01:51.000]  我們仰望在你的面前
[00:01:51.000 --> 00:01:55.000]  感恩禱告奉耶穌基督的名
[00:01:55.000 --> 00:01:56.000]  阿們
[00:01:56.000 --> 00:01:59.000]  雖然我們完全不知道
[00:01:59.000 --> 00:02:05.000]  在作者馬拉基寫這本書的時候
[00:02:05.000 --> 00:02:08.000]  到底是幾時的那個年代
[00:02:08.000 --> 00:02:15.000]  因為每一個年代都有它相關的歷史背景
[00:02:15.000 --> 00:02:17.000]  所以越是準確
[00:02:17.000 --> 00:02:22.000]  就越是能夠知道當時所默示的
[00:02:22.000 --> 00:02:25.000]  預言的,所討論的
[00:02:25.000 --> 00:02:29.000]  到底是發生什麼事呢
[00:02:29.000 --> 00:02:32.000]  大部分的解經家都認為
[00:02:32.000 --> 00:02:36.000]  馬拉基書既然擺在那個正典的最後
[00:02:36.000 --> 00:02:40.000]  又或者是一個歸回的歷史的那個階段
[00:02:40.000 --> 00:02:43.000]  就是在以色列人
[00:02:43.000 --> 00:02:47.000]  過去我們講過有幾次的回歸
[00:02:47.000 --> 00:02:52.000]  第一次就是這個索羅巴伯和大祭司約書亞
[00:02:52.000 --> 00:02:59.000]  還有這個
[00:02:59.000 --> 00:03:02.000]  以斯拉第二次
[00:03:02.000 --> 00:03:04.000]  尼希米的第三次
[00:03:04.000 --> 00:03:07.000]  那麼夾雜第一次的回歸
[00:03:07.000 --> 00:03:12.000]  索羅巴伯回到去沒多久又遇到困難
[00:03:12.000 --> 00:03:15.000]  過了15年左右
[00:03:15.000 --> 00:03:20.000]  哈蓋先知和撒加利亞先知
[00:03:20.000 --> 00:03:22.000]  來到去有神的默示
[00:03:22.000 --> 00:03:29.000]  來預言、安慰、勉勵索羅巴伯
[00:03:29.000 --> 00:03:32.000]  來重建這個聖殿
[00:03:32.000 --> 00:03:34.000]  輾轉也都完成了
[00:03:34.000 --> 00:03:36.000]  後來就有以斯拉的回歸
[00:03:36.000 --> 00:03:39.000]  他就不是去重建聖殿
