
[00:00:00.000 --> 00:00:03.800]  好 弟兄姊妹晚安 我們一起同心禱告
[00:00:03.800 --> 00:00:07.120]  天父啊 我們在晚上很感恩
[00:00:07.120 --> 00:00:09.500]  我們的天氣又暖和了
[00:00:09.500 --> 00:00:12.100]  我們又可以在這段時間
[00:00:12.100 --> 00:00:17.480]  還有當錄音放在網上的時候
[00:00:17.480 --> 00:00:21.780]  又會讓不同地區的弟兄姊妹可以一同學習
[00:00:21.780 --> 00:00:25.660]  我們真的很盼望我們有系統地研讀羅馬書
[00:00:25.660 --> 00:00:29.020]  對裡面的經文的那個準的脈絡
[00:00:29.020 --> 00:00:34.200]  保羅看到 唯有萬民必須因信稱義
[00:00:34.200 --> 00:00:38.820]  因為萬民都是在罪 在神的憤怒底下
[00:00:38.820 --> 00:00:41.260]  幫助我們來到第15章
[00:00:41.260 --> 00:00:45.600]  都是有這幾章聖經教會的生活的倫理
[00:00:45.600 --> 00:00:48.100]  人與人之間的關係
[00:00:48.100 --> 00:00:54.780]  還有最終保羅很想福音要傳到不同的地區
[00:00:54.780 --> 00:00:56.260]  不同的民族
[00:00:56.260 --> 00:00:59.900]  所以幫助我們在最後這幾章都能夠整理
[00:00:59.900 --> 00:01:03.240]  尤其是關乎到我們上個星期提到
[00:01:03.240 --> 00:01:06.400]  相當重要的14章17節
[00:01:06.400 --> 00:01:10.140]  因為神的國度不是在乎一些外在的
[00:01:10.140 --> 00:01:14.560]  一些傳統 一些我們看為很重要的飲食
[00:01:14.560 --> 00:01:16.980]  或者一些的節日等等
[00:01:16.980 --> 00:01:19.740]  那些傳統是幫我們去敬拜神
[00:01:19.740 --> 00:01:22.300]  是幫我們的生命去經歷神的
[00:01:22.300 --> 00:01:25.500]  而我們著重了那些傳統的時候
[00:01:25.500 --> 00:01:30.540]  正正就好像猶太人他們會來與外邦人有婚飯
[00:01:30.540 --> 00:01:35.220]  所以求主幫助我們在乎的是公義、和平
[00:01:35.220 --> 00:01:37.460]  以及聖靈裏面的喜樂
[00:01:37.460 --> 00:01:42.800]  讓我們一起來同心在地上服侍我們的主
[00:01:42.800 --> 00:01:45.740]  今天晚上我們再繼續下去
[00:01:45.740 --> 00:01:48.700]  保羅有甚麼的進心的教導
[00:01:48.700 --> 00:01:50.700]  都讓我們能夠明白
[00:01:50.700 --> 00:01:53.160]  我們一起仰望等候禱告
[00:01:53.160 --> 00:01:56.940]  奉耶穌基督的名 阿們
[00:01:56.940 --> 00:02:00.560]  好 我們來看看
[00:02:00.560 --> 00:02:05.520]  我用的題目就是「三十四講」
[00:02:05.520 --> 00:02:09.340]  擔得起 其實是第15章的第一節
[00:02:09.340 --> 00:02:13.380]  我們來兼顧的人要擔待那些不兼顧的人
[00:02:13.380 --> 00:02:16.320]  就是軟弱的人 他們那些軟弱
[00:02:16.320 --> 00:02:20.580]  我們就能夠一同去建立那個德行
[00:02:20.580 --> 00:02:24.500]  那個德行當然就是群體一班人
