
[00:00:00.000 --> 00:00:02.000]  等於姐妹平安
[00:00:02.000 --> 00:00:08.000]  中國人有句說話叫做披著羊皮的狼
[00:00:08.000 --> 00:00:14.000]  意思就是有人用一個很良善的外表或者包裝
[00:00:14.000 --> 00:00:17.000]  讓人對他沒什麼防範或者戒備
[00:00:17.000 --> 00:00:21.000]  但裡面其實就是包藏著禍心
[00:00:21.000 --> 00:00:23.000]  想置人於死地
[00:00:23.000 --> 00:00:25.000]  人與人之間的相處
[00:00:25.000 --> 00:00:28.000]  普遍都是先從外表開始的
[00:00:28.000 --> 00:00:33.000]  見到一隻羊就不會有太大的戒心
[00:00:33.000 --> 00:00:37.000]  如果見到一隻狼就會起戒心
[00:00:37.000 --> 00:00:40.000]  因為擔心會被攻擊
[00:00:40.000 --> 00:00:45.000]  世界的人際關係都是以自己的利益行先
[00:00:45.000 --> 00:00:48.000]  一旦傷害到自己的利益
[00:00:48.000 --> 00:00:51.000]  就會自然會抗拒和反抗
[00:00:51.000 --> 00:00:56.000]  信徒之間的相處會不會有另一種標準呢?
[00:00:56.000 --> 00:01:01.000]  這種標準以什麼核心價值作為基礎
[00:01:01.000 --> 00:01:05.000]  才能夠不以自己的利益為先
[00:01:05.000 --> 00:01:08.000]  而以對方的利益為先呢?
[00:01:08.000 --> 00:01:12.000]  今天我很想從羅馬書13章8-14節
[00:01:12.000 --> 00:01:15.000]  去找出兩個信仰的核心價值
[00:01:15.000 --> 00:01:17.000]  我們一起去祈禱
[00:01:17.000 --> 00:01:21.000]  親愛的恩主我們感謝你
[00:01:21.000 --> 00:01:23.000]  你賜下聖經
[00:01:23.000 --> 00:01:28.000]  讓我們能夠從經文裏面去明白你的話語
[00:01:28.000 --> 00:01:31.000]  求你讓我們明白你的話語之後
[00:01:31.000 --> 00:01:35.000]  我們能夠深化在我們的生命當中
[00:01:35.000 --> 00:01:40.000]  讓我們的信仰有你話語作為我們的根基
[00:01:40.000 --> 00:01:44.000]  好叫在危難的日子我們都不會動搖
[00:01:44.000 --> 00:01:49.000]  亦求主加能賜力讓我們能夠淺行信仰
[00:01:49.000 --> 00:01:51.000]  活出基督的樣式
[00:01:51.000 --> 00:01:54.000]  將主的愛彰顯出來
[00:01:54.000 --> 00:01:55.000]  我們祈禱
[00:01:55.000 --> 00:01:58.000]  奉靠主耶穌基督得聖名自祈求
[00:01:58.000 --> 00:01:59.000]  阿們
[00:01:59.000 --> 00:02:01.000]  在我們進入經文之先
[00:02:01.000 --> 00:02:04.000]  我們先了解一下經文的背景
[00:02:04.000 --> 00:02:08.000]  今天講到經文涵蓋了兩個部分
[00:02:08.000 --> 00:02:13.000]  第一個部分就是13章的8-10節
[00:02:13.000 --> 00:02:15.000]  這段經文是對應上一章
[00:02:15.000 --> 00:02:18.000]  即是12章的9-21節
[00:02:18.000 --> 00:02:23.000]  有關信徒生活守則教導的一個延續
[00:02:23.000 --> 00:02:26.000]  在12章9-21節的經文裏面
[00:02:26.000 --> 00:02:30.000]  就論到信徒如何表達真誠的愛
[00:02:30.000 --> 00:02:33.000]  作出一個概括式的說明
[00:02:33.000 --> 00:02:37.000]  好像愛不可以虛假
[00:02:37.000 --> 00:02:39.000]  善要親近
[00:02:39.000 --> 00:02:42.000]  愛弟兄要相親相愛
[00:02:42.000 --> 00:02:45.000]  恭敬人要彼此推讓
[00:02:45.000 --> 00:02:47.000]  恩勤不可濫墮
[00:02:47.000 --> 00:02:49.000]  若是可以的
[00:02:49.000 --> 00:02:52.000]  總要盡力與眾人和睦
[00:02:52.000 --> 00:02:57.000]  而保羅就在13章8-10節繼續指出
[00:02:57.000 --> 00:03:00.000]  信徒這種真誠的愛
[00:03:00.000 --> 00:03:05.000]  不單單是舊約律法裏面一切誡明的所在
[00:03:05.000 --> 00:03:10.000]  亦都是新約信仰倫理的核心
[00:03:10.000 --> 00:03:15.000]  全部都歸在愛倫如己這個要求裏面
[00:03:15.000 --> 00:03:19.000]  而第二部分就是13章11-14節
[00:03:19.000 --> 00:03:22.000]  是有關主在來之前
[00:03:22.000 --> 00:03:25.000]  信徒應該要有的心態和行為
[00:03:25.000 --> 00:03:29.000]  我們開始進入經文
[00:03:29.000 --> 00:03:30.000]  第一個就是
[00:03:30.000 --> 00:03:34.000]  首先甚麼信仰行為會成就律法呢?
[00:03:34.000 --> 00:03:37.000]  經文在第8節和第10節
[00:03:37.000 --> 00:03:42.000]  同樣都有「承傳了律法」這個字眼
[00:03:42.000 --> 00:03:44.000]  律法的意思當然是指
[00:03:44.000 --> 00:03:49.000]  舊約摩西從西乃山領受耶和華所頒布的十誡
[00:03:49.000 --> 00:03:51.000]  並且從十誡當中
[00:03:51.000 --> 00:03:55.000]  新引出來的誡明、律例、典章
[00:03:55.000 --> 00:03:58.000]  猶太人一直都很想遵守
[00:03:58.000 --> 00:04:01.000]  不過在實踐過程裏面
[00:04:01.000 --> 00:04:04.000]  完全不能討神的喜悅
[00:04:04.000 --> 00:04:07.000]  那怎樣去承傳律法呢?
[00:04:07.000 --> 00:04:10.000]  承傳律法這個概念
[00:04:10.000 --> 00:04:12.000]  並不是保羅首先提出的
[00:04:12.000 --> 00:04:16.000]  首先提出承傳律法的是主耶穌
[00:04:16.000 --> 00:04:19.000]  如果我們看回主耶穌的教導
[00:04:19.000 --> 00:04:23.000]  主耶穌就在《馬太福音》五章七節這樣說過
[00:04:23.000 --> 00:04:27.000]  祂說「不要以為我來是要廢掉律法
