
[00:00:00.000 --> 00:00:10.000]  主耶穌基督的聖名
[00:00:10.000 --> 00:00:15.000]  丁字妹平安
[00:00:15.000 --> 00:00:18.000]  在疫情的情況下
[00:00:18.000 --> 00:00:22.000]  我們仍然可以一齊去崇拜
[00:00:22.000 --> 00:00:23.000]  我們感謝主
[00:00:23.000 --> 00:00:25.000]  在此也祝願大家
[00:00:25.000 --> 00:00:27.000]  在主耶穌基督的裡面
[00:00:27.000 --> 00:00:30.000]  身心靈都壯健
[00:00:30.000 --> 00:00:33.000]  在十幾年之前
[00:00:33.000 --> 00:00:34.000]  我在神學院裡面
[00:00:34.000 --> 00:00:37.000]  也要教一些夜校課程
[00:00:37.000 --> 00:00:39.000]  記得有一晚
[00:00:39.000 --> 00:00:42.000]  那天五點多就出門
[00:00:42.000 --> 00:00:45.000]  我跟媽媽說再見了
[00:00:45.000 --> 00:00:47.000]  我上學了
[00:00:47.000 --> 00:00:50.000]  她還交代我多穿點衣服
[00:00:50.000 --> 00:00:53.000]  因為今天會冷
[00:00:53.000 --> 00:00:55.000]  到了九點多
[00:00:55.000 --> 00:00:56.000]  我放學了
[00:00:56.000 --> 00:00:58.000]  回到家裡
[00:00:58.000 --> 00:01:00.000]  看到大廈門口
[00:01:00.000 --> 00:01:02.000]  有十字車
[00:01:02.000 --> 00:01:04.000]  也有警車
[00:01:04.000 --> 00:01:06.000]  進去的時候
[00:01:06.000 --> 00:01:08.000]  又看到有兩個警察
[00:01:08.000 --> 00:01:12.000]  和我在同一部電梯口等電梯
[00:01:12.000 --> 00:01:15.000]  我去問那些警察
[00:01:15.000 --> 00:01:19.000]  哪層樓發生事了
[00:01:19.000 --> 00:01:21.000]  他就問我
[00:01:21.000 --> 00:01:23.000]  你住哪層樓
[00:01:23.000 --> 00:01:25.000]  我回答他
[00:01:25.000 --> 00:01:28.000]  他說是你家裡發生事了
[00:01:28.000 --> 00:01:31.000]  當時我一個很大的震驚
[00:01:31.000 --> 00:01:33.000]  我說為什麼會這樣
[00:01:33.000 --> 00:01:35.000]  什麼事
[00:01:35.000 --> 00:01:37.000]  警察就跟我說
[00:01:37.000 --> 00:01:38.000]  你先冷靜一點
[00:01:38.000 --> 00:01:42.000]  我們一定會盡量幫助你們
[00:01:42.000 --> 00:01:44.000]  上樓的時候
