
[00:00:00.000 --> 00:00:05.000]  各位頂姐妹早安 新年快樂
[00:00:05.000 --> 00:00:10.000]  今天是2024年第一個首個的主日
[00:00:10.000 --> 00:00:14.000]  也跟大家說聲新年快樂 願大家身體安康
[00:00:14.000 --> 00:00:18.000]  不如也和旁邊的頂姐妹祝福一下
[00:00:18.000 --> 00:00:24.000]  互相新年快樂 身體安康 新年蒙福
[00:00:28.000 --> 00:00:31.000]  感謝上帝 也感謝大家的邀請
[00:00:31.000 --> 00:00:34.000]  讓我今早再一次有機會來到大家當中
[00:00:34.000 --> 00:00:39.000]  一同崇拜並且去做港道的服事
[00:00:39.000 --> 00:00:42.000]  同樣地也容許我美麗港道醫師
[00:00:42.000 --> 00:00:46.000]  先代表信義忠臣學院一眾師生同工
[00:00:46.000 --> 00:00:49.000]  向宣導會錦繡堂的眾弟兄姊妹
[00:00:49.000 --> 00:00:52.000]  參與崇拜的每一位文安
[00:00:52.000 --> 00:00:54.000]  願因為平安從我們的父上帝
[00:00:54.000 --> 00:00:58.000]  並主耶穌基督歸於在座的每一位
[00:00:58.000 --> 00:01:02.000]  今天選了段經文是
[00:01:02.000 --> 00:01:05.000]  《馬太福音》二章一到十二節
[00:01:05.000 --> 00:01:08.000]  講題是星光引導
[00:01:08.000 --> 00:01:12.000]  段經文相信很多弟兄姊妹都非常熟悉
[00:01:12.000 --> 00:01:15.000]  小朋友可能都會很熟悉
[00:01:15.000 --> 00:01:18.000]  因為可能在朱一學裏面
[00:01:18.000 --> 00:01:20.000]  或者在一些話劇裏面
[00:01:20.000 --> 00:01:24.000]  都會看到博士朝拜聖嬰這一幕
[00:01:24.000 --> 00:01:28.000]  今天為何會選擇這段經文和大家分享呢
[00:01:28.000 --> 00:01:31.000]  是因為在西方教會的傳統
[00:01:31.000 --> 00:01:34.000]  其實昨天一月六日
[00:01:34.000 --> 00:01:38.000]  我們稱它為顯然日
[00:01:38.000 --> 00:01:41.000]  十二月二十五日我們慶祝了聖誕
[00:01:41.000 --> 00:01:43.000]  過了十二日之後
[00:01:43.000 --> 00:01:45.000]  就會去到一月六日
[00:01:45.000 --> 00:01:47.000]  在教會傳統的年曆
[00:01:47.000 --> 00:01:50.000]  就會定這一天為顯然日
[00:01:50.000 --> 00:01:52.000]  顯然日是教會定出來
[00:01:52.000 --> 00:01:55.000]  是想提醒信徒
[00:01:55.000 --> 00:02:00.000]  是上帝將這個救恩向世界顯明
[00:02:00.000 --> 00:02:02.000]  而每一年的顯然日
[00:02:02.000 --> 00:02:03.000]  一月六日
[00:02:03.000 --> 00:02:08.000]  我們都會讀到《馬太福音》二章一到十二節
[00:02:08.000 --> 00:02:14.000]  就是博士從東方來朝拜聖嬰
[00:02:14.000 --> 00:02:15.000]  為何他們會來呢
[00:02:15.000 --> 00:02:19.000]  因為他們看到一顆星
[00:02:19.000 --> 00:02:24.000]  那顆星我們常常都放在聖誕樹的頂
[00:02:24.000 --> 00:02:28.000]  是上帝透過這顆星
[00:02:28.000 --> 00:02:33.000]  向這幾個東方的博士顯明
[00:02:33.000 --> 00:02:38.000]  救恩已經臨到這個世界
[00:02:38.000 --> 00:02:43.000]  所以當我們每一年幾月六日去讀經文的時候
[00:02:43.000 --> 00:02:51.000]  其實一方面是讓我們去提醒上帝顯明自己
[00:02:51.000 --> 00:02:53.000]  另一方面亦都透過這個經文
[00:02:53.000 --> 00:02:57.000]  讓我們去再想一想
[00:02:57.000 --> 00:02:59.000]  當上帝向我們顯明的時候
[00:02:59.000 --> 00:03:03.000]  人的回應又是怎樣呢
[00:03:03.000 --> 00:03:05.000]  所以就著這兩重的意義
[00:03:05.000 --> 00:03:09.000]  今日都和大家分享三點
[00:03:09.000 --> 00:03:13.000]  第一 顯明
[00:03:13.000 --> 00:03:16.000]  博士朝拜聖嬰這個故事告訴我們
[00:03:16.000 --> 00:03:18.000]  剛才都強調過了
[00:03:18.000 --> 00:03:27.000]  是上帝主動地向所有人顯明他自己
[00:03:27.000 --> 00:03:30.000]  是上帝主動
[00:03:30.000 --> 00:03:33.000]  我重複 是上帝主動
[00:03:33.000 --> 00:03:37.000]  有時有些信徒
[00:03:37.000 --> 00:03:41.000]  慢慢地就會覺得是我們信耶穌
[00:03:41.000 --> 00:03:43.000]  我們去尋求上帝
[00:03:43.000 --> 00:03:46.000]  我們尋找教會
[00:03:46.000 --> 00:03:49.000]  我們就去返教會
[00:03:49.000 --> 00:03:51.000]  好像是我們主動
[00:03:51.000 --> 00:03:53.000]  我們能夠得到救恩
[00:03:53.000 --> 00:03:55.000]  是我們的主動
[00:03:55.000 --> 00:03:58.000]  但是一月六日再一次提醒我們
[00:03:58.000 --> 00:04:00.000]  如果不是有那顆星
[00:04:00.000 --> 00:04:04.000]  博士不能夠去到伯尼克
[00:04:04.000 --> 00:04:07.000]  如果不是上帝顯明他自己
[00:04:07.000 --> 00:04:14.000]  我們根本不能夠去選擇去信不信耶穌
[00:04:14.000 --> 00:04:17.000]  同不同意嗎
[00:04:17.000 --> 00:04:21.000]  不是我們主動 是上帝主動
[00:04:21.000 --> 00:04:26.000]  講到這裏想和大家分享一首詩歌
[00:04:26.000 --> 00:04:28.000]  那首詩歌很靚
[00:04:28.000 --> 00:04:33.000]  那首詩歌叫做《沉著你的那天》
[00:04:33.000 --> 00:04:35.000]  大家聽過沒有
[00:04:35.000 --> 00:04:38.000]  如果沒有歌詞都可以搜尋一下
[00:04:38.000 --> 00:04:40.000]  《沉著你的那天》
[00:04:40.000 --> 00:04:42.000]  容許我唱幾句給大家聽
[00:04:42.000 --> 00:04:46.000]  傳說人生
[00:04:46.000 --> 00:04:49.000]  高了一點 不好意思
[00:04:49.000 --> 00:04:56.000]  傳說人生只不過是個夢
[00:04:56.000 --> 00:05:02.000]  無方向 無意義 沒內容
[00:05:02.000 --> 00:05:08.000]  貧窮或富足 結局都一樣相同
[00:05:08.000 --> 00:05:13.000]  如炊煙飄散 埋在糞土中
[00:05:13.000 --> 00:05:15.000]  靚不靚
[00:05:15.000 --> 00:05:21.000]  很感受到那種迷惘之中
[00:05:21.000 --> 00:05:22.000]  不知如何去向
[00:05:22.000 --> 00:05:25.000]  在迷霧之中不知如何去向
[00:05:25.000 --> 00:05:27.000]  意境很靚
[00:05:27.000 --> 00:05:29.000]  然後副歌就說
[00:05:29.000 --> 00:05:35.000]  直到一天 我再沉細沉著你
