
[00:00:00.000 --> 00:00:02.000]  第六章一至三節
[00:00:02.000 --> 00:00:08.000]  教會聖經舊約第六八十九至六八九十頁
[00:00:08.000 --> 00:00:11.000]  二司鐵記第六章一至三節
[00:00:11.000 --> 00:00:16.000]  那夜王睡不著覺
[00:00:16.000 --> 00:00:20.000]  吩咐人取歷史書就辭使席
[00:00:20.000 --> 00:00:22.000]  念給他聽
[00:00:22.000 --> 00:00:24.000]  發現書上寫著
[00:00:24.000 --> 00:00:30.000]  王有兩個守門的太監 披探和提烈
[00:00:30.000 --> 00:00:34.000]  想要下手害阿哈徐老王
[00:00:34.000 --> 00:00:38.000]  沒抵改告發了這件事
[00:00:38.000 --> 00:00:42.000]  王說:沒抵改做了這事
[00:00:42.000 --> 00:00:47.000]  有沒有賜給他什麼尊榮或高位呢?
[00:00:47.000 --> 00:00:53.000]  之後王的臣服說:沒有賜給他什麼
[00:00:53.000 --> 00:00:58.000]  感謝神今天有我們本堂傳道人楊麟麗姑娘在我們當中正道
[00:00:58.000 --> 00:01:01.000]  她今天的講題是「神啊你在哪裡」
[00:01:01.000 --> 00:01:04.000]  現在恭請楊姑娘正道
[00:01:04.000 --> 00:01:13.000]  請姐妹准神
[00:01:13.000 --> 00:01:18.000]  今天我們在這裏一齊來到
[00:01:18.000 --> 00:01:20.000]  我們要一齊聽神的話語
[00:01:20.000 --> 00:01:22.000]  我也是要聽神的話語
[00:01:22.000 --> 00:01:24.000]  我們一起祈禱
[00:01:24.000 --> 00:01:25.000]  我們一起禱告
[00:01:25.000 --> 00:01:27.000]  真是天父上帝我們感謝祢的恩典
[00:01:27.000 --> 00:01:29.000]  祢看顧賜福給我們
[00:01:29.000 --> 00:01:31.000]  讓我們能夠藉著祢的時候
[00:01:31.000 --> 00:01:34.000]  主下我們可以得著基督的恩典
[00:01:34.000 --> 00:01:36.000]  主下又能夠今天來到你的臺前
[00:01:36.000 --> 00:01:38.000]  主下我們求祢賜福給我們
[00:01:38.000 --> 00:01:40.000]  讓我們能夠在祢的恩典當中
[00:01:40.000 --> 00:01:42.000]  我們可以一起來聆聽祢的話語
[00:01:42.000 --> 00:01:45.000]  主下讓祢的話進入我們每一個人的心靈當中
[00:01:45.000 --> 00:01:48.000]  求主祢也潔淨高末孩子的嘴
[00:01:48.000 --> 00:01:53.000]  讓孩子所想所說的都合乎你的心意
[00:01:53.000 --> 00:01:56.000]  也能夠成為我們每一位的幫助
[00:01:56.000 --> 00:01:59.000]  祈禱仰望你奉主耶穌基督的聖名
[00:01:59.000 --> 00:02:00.000]  阿們
[00:02:00.000 --> 00:02:02.000]  弟兄姊妹
[00:02:02.000 --> 00:02:06.000]  剛才我們讀了這幾節的經文
[00:02:06.000 --> 00:02:11.000]  大家有沒有試過睡不著
[00:02:11.000 --> 00:02:16.000]  早幾個星期我聽見多些人說這個事
[00:02:16.000 --> 00:02:18.000]  睡不著
