
[00:00:00.000 --> 00:00:03.000]  門徒中間也起了爭論:
[00:00:03.000 --> 00:00:06.700]  他們中哪一個可算偉大?
[00:00:06.700 --> 00:00:08.700]  耶穌對他們說:
[00:00:08.700 --> 00:00:12.300]  「愛邦人由君王為主治理他們,
[00:00:12.300 --> 00:00:16.000]  那掌權管他們的稱為恩主。
[00:00:16.000 --> 00:00:18.100]  但你們不可這樣,
[00:00:18.100 --> 00:00:22.700]  你們中間最大的都要成為最小的,
[00:00:22.700 --> 00:00:26.700]  為領袖的都要像服侍人的。
[00:00:26.700 --> 00:00:31.700]  知誰偉大,是在席的還是服侍人的呢?
[00:00:31.700 --> 00:00:33.700]  不是在席的大嗎?
[00:00:33.700 --> 00:00:38.700]  然而,我在你們中間,是如同服侍人的。
[00:00:38.700 --> 00:00:43.700]  我在試煉之中,常和我同在的就是你們。
[00:00:43.700 --> 00:00:48.700]  我把國賜給你們,正如我父賜給我一樣。」
[00:00:48.700 --> 00:00:51.700]  讀經完畢,謝謝曾牧師
[00:00:51.700 --> 00:01:17.700]  法定人數不足
[00:01:17.700 --> 00:01:21.700]  我們一起祈禱
[00:01:21.700 --> 00:01:25.700]  親愛的主耶穌,我們真的很感謝祢
[00:01:25.700 --> 00:01:29.700]  祢是那位尊大的君王
[00:01:29.700 --> 00:01:36.700]  但同時間,祢在地上的表現是一個奴服的形象
[00:01:36.700 --> 00:01:40.700]  和一個真是奴服的,一個洋式的一個人
[00:01:40.700 --> 00:01:45.700]  祢甘心樂意,來為我們人釘十字架
[00:01:45.700 --> 00:01:48.700]  一件很奇妙的事
[00:01:48.700 --> 00:01:52.700]  造物的主宰,整個宇宙萬物
[00:01:52.700 --> 00:01:55.700]  無論可以見到的物質世界
[00:01:55.700 --> 00:01:58.700]  或者見不到的屬靈的世界
[00:01:58.700 --> 00:02:03.700]  都是祢所創造,祢所掌管,祢所維繫的
[00:02:03.700 --> 00:02:06.700]  一切都是歸於祢
[00:02:06.700 --> 00:02:10.700]  但我們想到,祢居然成為了一個奴服
[00:02:10.700 --> 00:02:13.700]  成為了一個在十字架上
[00:02:13.700 --> 00:02:17.700]  被人唾棄的罪犯
[00:02:17.700 --> 00:02:19.700]  我們很感謝主
[00:02:19.700 --> 00:02:22.700]  今天,我們在聖周
[00:02:22.700 --> 00:02:25.700]  進入到星期五的受難節
[00:02:25.700 --> 00:02:28.700]  和星期日的復活節
[00:02:28.700 --> 00:02:32.700]  我們每一年周而復始的來紀念
[00:02:32.700 --> 00:02:34.700]  我們盼望我們的生命
[00:02:34.700 --> 00:02:37.700]  能夠越來越認識我們的主耶穌
[00:02:37.700 --> 00:02:40.700]  學校,祢的人生榜樣
[00:02:40.700 --> 00:02:44.700]  成為我們大家一起追求的一個生命的方向
[00:02:44.700 --> 00:02:48.700]  願神藉著今早我們的正道
[00:02:48.700 --> 00:02:52.700]  去將祢的話語來講解的時候
[00:02:52.700 --> 00:02:54.700]  祢的聖靈來工作
[00:02:54.700 --> 00:02:56.700]  叫很多很多的弟兄姊妹
[00:02:56.700 --> 00:02:58.700]  能夠認識
[00:02:58.700 --> 00:03:00.700]  願意效法跟隨
[00:03:00.700 --> 00:03:04.700]  我們這樣禱告奉耶穌基督的名
[00:03:04.700 --> 00:03:05.700]  阿們
[00:03:05.700 --> 00:03:08.700]  選取的經文是22章的《路加福音》
[00:03:08.700 --> 00:03:10.700]  一段聖經,頗重要的
[00:03:10.700 --> 00:03:14.700]  因為耶穌原來知道一切
[00:03:14.700 --> 00:03:18.700]  又是能夠駕馭一切的主
[00:03:18.700 --> 00:03:19.700]  當然了
[00:03:19.700 --> 00:03:21.700]  人的心
[00:03:21.700 --> 00:03:23.700]  祂不是不能夠駕馭
[00:03:23.700 --> 00:03:27.700]  而是祂很想人能夠認識
[00:03:27.700 --> 00:03:30.700]  一個新的價值觀
[00:03:30.700 --> 00:03:32.700]  我們看看22章
[00:03:32.700 --> 00:03:35.700]  尤其是25節是很重要的關鍵
