
[00:00:00.000 --> 00:00:04.820]  早安 弟兄姊妹早安 聽得清楚嗎?
[00:00:04.820 --> 00:00:05.820]  好
[00:00:05.820 --> 00:00:13.820]  這個大家應該很熟悉的這個標誌
[00:00:13.820 --> 00:00:17.320]  馬上就會聯想起金錢
[00:00:17.320 --> 00:00:23.140]  我也是在Google搜尋去找的時候
[00:00:23.140 --> 00:00:26.080]  發現原來2022年
[00:00:26.080 --> 00:00:30.000]  全世界有18億的人口
[00:00:30.000 --> 00:00:36.400]  他們每天的收入只有不超過30元港幣
[00:00:36.400 --> 00:00:38.000]  18億人口
[00:00:38.000 --> 00:00:40.500]  其實現在全世界有多少人口?
[00:00:40.500 --> 00:00:44.200]  是80億 80億人口
[00:00:44.200 --> 00:00:46.920]  想不想像得到有18億人口
[00:00:46.920 --> 00:00:49.620]  每天的生活是這麼低微
[00:00:49.620 --> 00:00:53.500]  接著我又上網去搜尋一下全世界最有錢的人
[00:00:53.500 --> 00:00:58.160]  根據2023年頭5位的
[00:00:58.160 --> 00:01:01.700]  他們擁有的 不是每天
[00:01:01.700 --> 00:01:04.820]  是說他們自己的身家
[00:01:04.820 --> 00:01:08.720]  有超過1000億
[00:01:08.720 --> 00:01:14.220]  頭5名都超過1000億美金
[00:01:14.220 --> 00:01:17.660]  很難想像這個貧富懸殊
[00:01:17.660 --> 00:01:22.060]  但是這個貧富懸殊的情況的確不只是今時今日
[00:01:22.060 --> 00:01:24.780]  是在發生在2000多年前
[00:01:24.780 --> 00:01:27.800]  在保羅的那個年代
[00:01:27.800 --> 00:01:30.140]  當時他是帶著
[00:01:30.140 --> 00:01:34.500]  他視他為一個屬靈的兒子提摩泰
[00:01:34.500 --> 00:01:36.060]  去到以弗所的時候
[00:01:36.060 --> 00:01:37.360]  傳道傳道到那裡
[00:01:37.360 --> 00:01:38.820]  建立了教會
[00:01:38.820 --> 00:01:42.540]  接著就留下了提摩泰在那裡繼續默會
[00:01:42.540 --> 00:01:47.580]  他自己就繼續進行宣教的行程
[00:01:47.580 --> 00:01:49.540]  但是他都不是很安樂
[00:01:49.540 --> 00:01:52.260]  所以到了某個時候他就要寫一封信
[00:01:52.260 --> 00:01:55.320]  回去給他的提摩泰
[00:01:55.320 --> 00:01:59.300]  原因就是當時的以弗所教會那個地方
[00:01:59.300 --> 00:02:03.200]  以弗所是一個都是貧富懸殊
[00:02:03.200 --> 00:02:05.260]  因為是一個商業
[00:02:05.260 --> 00:02:08.860]  各樣的貿易都是很發達的一個地方
[00:02:08.860 --> 00:02:11.020]  所以不難發現會有這個
[00:02:11.020 --> 00:02:14.140]  出現貧富懸殊的情況
[00:02:14.140 --> 00:02:17.740]  不過今天的講題是提到知足
[00:02:17.740 --> 00:02:21.640]  如果你問知足的人
[00:02:21.640 --> 00:02:23.460]  是不是一定是有錢人
[00:02:23.460 --> 00:02:26.660]  或者一定是貧窮的人呢?
[00:02:26.660 --> 00:02:28.220]  又不一定
[00:02:28.220 --> 00:02:31.100]  有錢人可以很知足
[00:02:31.100 --> 00:02:35.260]  貧窮人也不一定是不知足
[00:02:35.260 --> 00:02:39.020]  反過來如果用知足對比就是貪財
[00:02:39.020 --> 00:02:42.780]  那是不是有錢人就一定很貪財呢?
[00:02:42.780 --> 00:02:45.100]  又或者一定不貪財呢?
[00:02:45.100 --> 00:02:47.780]  貧窮人是不是一定很貪財呢?
[00:02:47.780 --> 00:02:50.180]  又或者不貪財呢?
[00:02:50.180 --> 00:02:54.260]  所以最後的結論其實就不關貧富的問題
[00:02:54.260 --> 00:02:57.260]  知足或者貪財
[00:02:57.260 --> 00:03:01.420]  不等於富有或者貧窮
[00:03:01.420 --> 00:03:04.980]  所以保羅他寫這封信給提摩泰
[00:03:04.980 --> 00:03:09.580]  他都預了周邊的以弗所教會信徒都會看得到的
[00:03:09.580 --> 00:03:12.900]  而這封信就去到第六章的時候
[00:03:12.900 --> 00:03:16.300]  即是今天看的六章三至十節
[00:03:16.300 --> 00:03:19.260]  已經是這封信的最後一個段落了
[00:03:19.260 --> 00:03:23.660]  在這個時候他特別提出了兩種人
[00:03:23.660 --> 00:03:26.860]  和提出了兩種的心態
[00:03:26.860 --> 00:03:29.700]  大家要提醒
[00:03:29.700 --> 00:03:37.540]  保羅為什麼特別要提及知足
[00:03:37.540 --> 00:03:40.340]  去到這封信的尾端的時候呢?
[00:03:40.340 --> 00:03:46.540]  原來知足和敬虔又有很密切的關係
[00:03:46.540 --> 00:03:49.980]  「敬虔」這個字英文是Godliness
[00:03:49.980 --> 00:03:55.340]  在提摩泰前書裏面出現的次數是達到九次這麼多
[00:03:55.340 --> 00:03:58.820]  其實應該說在新約裏面的所有書信裏面
[00:03:58.820 --> 00:04:03.020]  出現敬虔最多的次數就是在這本書裏
[00:04:03.020 --> 00:04:05.580]  而「敬虔」其實是什麼意思呢?
[00:04:05.580 --> 00:04:10.020]  「敬虔」是代表一個尊崇或者敬畏
[00:04:10.020 --> 00:04:15.540]  尤其是指的是對上帝的敬畏
[00:04:15.540 --> 00:04:18.940]  既然「敬虔」是這麼重要
[00:04:18.940 --> 00:04:22.180]  但是竟然在當時的已忽所教會
[00:04:22.180 --> 00:04:25.620]  就出現了一批人
[00:04:25.620 --> 00:04:27.260]  他們的想法是什麼呢?
[00:04:27.260 --> 00:04:29.380]  他們在六章的五節記載
[00:04:29.380 --> 00:04:33.020]  他們以敬虔為得利的門路
[00:04:33.020 --> 00:04:36.500]  這句話其實是什麼叫以敬虔為得利的門路呢?
[00:04:36.500 --> 00:04:42.260]  意思就是說利用敬虔來發財
[00:04:42.260 --> 00:04:47.380]  英文就譯作得利是一個financial gain
[00:04:47.380 --> 00:04:49.900]  但是保羅就想告訴你 你搞錯了
[00:04:49.900 --> 00:04:53.420]  你以為你想發財是透過利用敬虔可以令你發財嗎?
[00:04:53.420 --> 00:04:55.180]  搞錯了
[00:04:55.180 --> 00:04:57.580]  接著他在第六節就馬上指出
[00:04:57.580 --> 00:05:00.740]  他說敬虔要加上知足
[00:05:00.740 --> 00:05:05.340]  才是真正的得到最大的利益
[00:05:05.340 --> 00:05:07.780]  真正的獲利
[00:05:07.780 --> 00:05:11.260]  英文就譯作大利是great gain
[00:05:11.260 --> 00:05:15.780]  真正的利益就是來自敬虔加知足
[00:05:15.780 --> 00:05:19.460]  所以保羅就想告訴你
[00:05:19.460 --> 00:05:22.340]  其實第五節裏面所指的那些
[00:05:22.340 --> 00:05:26.060]  想利用敬虔的那些是一幫什麼人呢?
