
[00:00:00.000 --> 00:00:02.560]  今天晚上的《港道經文》
[00:00:02.560 --> 00:00:04.340]  是記載在
[00:00:04.340 --> 00:00:08.700]  《士司記》三章十二至三十節
[00:00:08.700 --> 00:00:13.540]  如果用我們教會的聖經
[00:00:13.540 --> 00:00:16.640]  是333至334頁
[00:00:16.640 --> 00:00:17.560]  舊約
[00:00:17.560 --> 00:00:20.140]  《士司記》
[00:00:20.140 --> 00:00:23.340]  三章十二至三十節
[00:00:25.960 --> 00:00:30.960]  以色列人又行耶和華眼中看為惡的事
[00:00:30.960 --> 00:00:36.460]  耶和華使摩訝王伊基倫強大
[00:00:36.460 --> 00:00:38.460]  攻擊以色列
[00:00:38.460 --> 00:00:43.460]  因為他們行耶和華眼中看為惡的事
[00:00:43.460 --> 00:00:48.960]  伊基倫召集阿滿人和亞馬力人到他那裡
[00:00:48.960 --> 00:00:51.960]  他就去攻打以色列
[00:00:51.960 --> 00:00:54.460]  佔據了中樹城
[00:00:54.460 --> 00:01:00.460]  於是以色列人服侍摩訝王伊基倫十八年
[00:01:00.460 --> 00:01:03.460]  以色列人呼求耶和華
[00:01:03.460 --> 00:01:08.460]  耶和華就為他們興起一位拯救者
[00:01:08.460 --> 00:01:12.460]  見阿滿人基拉的兒子以弗
[00:01:12.460 --> 00:01:15.460]  他是個慣用左手的人
[00:01:15.460 --> 00:01:20.460]  以色列人託他送禮物給摩訝王伊基倫
[00:01:20.460 --> 00:01:24.460]  以弗打造了一把兩刃的劍
[00:01:24.460 --> 00:01:30.460]  長一短爪綁在右腿上衣服裡
[00:01:30.460 --> 00:01:34.460]  他把禮物獻給摩訝王伊基倫
[00:01:34.460 --> 00:01:38.460]  伊基倫是個肥胖的人
[00:01:38.460 --> 00:01:42.460]  以弗獻完禮物的時候
[00:01:42.460 --> 00:01:45.460]  就把抬禮物的人送走
[00:01:45.460 --> 00:01:52.460]  但他自己卻從靠近吉甲的雕像那裡轉回來
[00:01:52.460 --> 00:01:58.460]  說:「王啊,我有一件機密的要事要就告你。」
[00:01:58.460 --> 00:02:01.460]  王說:「迴避吧。」
[00:02:01.460 --> 00:02:06.460]  於是所有侍立在他左右的人都退去了。
[00:02:06.460 --> 00:02:09.460]  第二十節
[00:02:09.460 --> 00:02:12.460]  以弗來到王那裡
[00:02:12.460 --> 00:02:16.460]  那時他獨自一人坐在陰涼的頂樓
[00:02:16.460 --> 00:02:20.460]  以弗說:「我有神的話向你報告。」
[00:02:20.460 --> 00:02:24.460]  王就從座位上站起來
[00:02:24.460 --> 00:02:26.460]  以弗伸出左手
[00:02:26.460 --> 00:02:29.460]  從右腿上拔出劍來
[00:02:29.460 --> 00:02:32.460]  刺入王的肚腹
[00:02:32.460 --> 00:02:36.460]  劍柄連同劍刃都刺進去了
[00:02:36.460 --> 00:02:39.460]  肥肉夾住了劍刃
[00:02:39.460 --> 00:02:43.460]  他沒有把劍從王的肚腹拔出來
[00:02:43.460 --> 00:02:46.460]  分辨就流出來了
[00:02:46.460 --> 00:02:48.460]  以弗出到門廊
[00:02:48.460 --> 00:02:53.460]  把王關在門裡面就上了鎖
[00:02:53.460 --> 00:02:55.460]  以弗出來之後
[00:02:55.460 --> 00:02:58.460]  王的僕人就來了
[00:02:58.460 --> 00:02:59.460]  他們觀看
[00:02:59.460 --> 00:03:03.460]  看那門鎖住就說:
[00:03:03.460 --> 00:03:07.460]  「他必在陰涼的房間裡大解」
[00:03:07.460 --> 00:03:10.460]  他們等得不耐煩
[00:03:10.460 --> 00:03:13.460]  看那門仍然不開
[00:03:13.460 --> 00:03:16.460]  就拿藥匙打開門
[00:03:16.460 --> 00:03:21.460]  看那門的主人已經倒在地上死了
[00:03:21.460 --> 00:03:23.460]  他們擔言的時候
[00:03:23.460 --> 00:03:26.460]  以弗就逃跑了
[00:03:26.460 --> 00:03:28.460]  他經過雕像那裡
[00:03:28.460 --> 00:03:31.460]  逃到西伊拉
[00:03:31.460 --> 00:03:33.460]  他到了那裡
[00:03:33.460 --> 00:03:36.460]  就在以法連軀摧割
[00:03:36.460 --> 00:03:40.460]  以色列人跟隨他從山區下來
[00:03:40.460 --> 00:03:43.460]  他在他們前面引路
[00:03:43.460 --> 00:03:45.460]  第28節
[00:03:45.460 --> 00:03:47.460]  對他們說:
[00:03:47.460 --> 00:03:49.460]  「緊跟著我
[00:03:49.460 --> 00:03:53.460]  因為耶和華已經把你們的仇敵摩訶
[00:03:53.460 --> 00:03:56.460]  交在你們手中」
[00:03:56.460 --> 00:03:59.460]  於是他們跟著他下去
[00:03:59.460 --> 00:04:04.460]  佔據了摩訶對面約旦河的渡口
[00:04:04.460 --> 00:04:07.460]  不准一人過去
[00:04:07.460 --> 00:04:08.460]  那時
[00:04:08.460 --> 00:04:11.460]  他們擊殺了約一萬摩訶人
[00:04:11.460 --> 00:04:14.460]  都是強壯的勇士
[00:04:14.460 --> 00:04:17.460]  連一個也沒有逃脫
[00:04:17.460 --> 00:04:18.460]  那天
[00:04:18.460 --> 00:04:22.460]  摩訶在以色列手下制服了
[00:04:22.460 --> 00:04:25.460]  於是他們太平八十年
[00:04:25.460 --> 00:04:26.460]  感謝神
[00:04:26.460 --> 00:04:30.460]  我們今天晚上有曾文姑娘在我們當中正道
[00:04:30.460 --> 00:04:33.460]  她今天的講題是「不平凡的平凡人」
[00:04:33.460 --> 00:04:35.460]  現在恭請曾姑娘正道
[00:04:36.460 --> 00:04:38.460]  請姐妹晚安
[00:04:38.460 --> 00:04:40.460]  感謝主讓我們在此時
[00:04:40.460 --> 00:04:44.460]  仍然有機會去敬拜讚美祂
[00:04:44.460 --> 00:04:46.460]  去聆聽祂的話語
[00:04:46.460 --> 00:04:47.460]  我們開始的時候
[00:04:47.460 --> 00:04:49.460]  再一次一同去禱告
[00:04:49.460 --> 00:04:54.460]  天佑上帝
[00:04:54.460 --> 00:04:55.460]  很感謝祢
[00:04:55.460 --> 00:04:56.460]  直到今天
[00:04:56.460 --> 00:04:59.460]  祢仍然賜我們有生命氣息
[00:04:59.460 --> 00:05:04.460]  願祢今晚對我們每一個人說話
[00:05:04.460 --> 00:05:08.460]  願聖靈在我們每一個人的心中動功
[00:05:08.460 --> 00:05:10.460]  感動我們
[00:05:10.460 --> 00:05:12.460]  能夠對於上帝的教導
[00:05:12.460 --> 00:05:14.460]  作出即切的回應
[00:05:14.460 --> 00:05:16.460]  我們這樣的禱告
[00:05:16.460 --> 00:05:18.460]  是奉耶穌基督的名字
[00:05:18.460 --> 00:05:20.460]  阿們
[00:05:20.460 --> 00:05:22.460]  最近
[00:05:22.460 --> 00:05:25.460]  無論我們在做什麼事情
[00:05:25.460 --> 00:05:27.460]  不知道大家有沒有發現
[00:05:27.460 --> 00:05:29.460]  我們的話題
[00:05:29.460 --> 00:05:32.460]  都是圍繞著新型冠狀病毒
[00:05:32.460 --> 00:05:34.460]  無論是什麼
[00:05:34.460 --> 00:05:36.460]  都是和這個有關
[00:05:36.460 --> 00:05:38.460]  我們去行山的時候
[00:05:38.460 --> 00:05:40.460]  我們在家裡生活
