
[00:00:00.000 --> 00:00:02.000]  感謝家大兄姊妹平安
[00:00:02.000 --> 00:00:05.360]  我自己一向有一個習慣
[00:00:05.360 --> 00:00:08.320]  就是每半年都會去一次退休
[00:00:08.320 --> 00:00:10.320]  而退休的目的
[00:00:10.320 --> 00:00:12.640]  就是想做一個生命的重整
[00:00:12.640 --> 00:00:15.360]  回顧一下這半年裏面
[00:00:15.360 --> 00:00:17.360]  那個侍奉的果效
[00:00:17.360 --> 00:00:19.360]  或者一些生命的檢討
[00:00:19.360 --> 00:00:21.760]  看看有甚麼重大的失誤
[00:00:21.760 --> 00:00:24.240]  可以去改善的
[00:00:24.240 --> 00:00:27.040]  譬如我們跟人相處的關係
[00:00:27.280 --> 00:00:31.200]  我們跟會友的關係是否親密了
[00:00:31.200 --> 00:00:32.800]  又或是疏離了
[00:00:32.800 --> 00:00:34.240]  然後再想想
[00:00:34.240 --> 00:00:36.960]  將來那個模樣
[00:00:36.960 --> 00:00:39.680]  有甚麼東西可以更新的呢
[00:00:39.680 --> 00:00:42.880]  譬如用甚麼資料做查驚
[00:00:42.880 --> 00:00:46.800]  或者怎樣可以令一些會友的屬靈生命有成長
[00:00:46.800 --> 00:00:48.640]  可以這樣說
[00:00:48.640 --> 00:00:51.680]  這是一個回顧和展望的過程
[00:00:51.680 --> 00:00:55.680]  其實一種信仰上的經歷的回顧
[00:00:55.680 --> 00:00:57.120]  展望和展望
[00:00:57.120 --> 00:00:58.720]  即是和實踐
[00:00:58.720 --> 00:01:01.440]  也是一種宗教的傳統
[00:01:01.440 --> 00:01:04.560]  而史陶寶羅就是我們的先導者
[00:01:04.560 --> 00:01:07.840]  他在《彼勒比書》向當代的信徒說
[00:01:07.840 --> 00:01:11.280]  忘記背後努力面前
[00:01:11.280 --> 00:01:13.280]  向著標竿直跑
[00:01:13.280 --> 00:01:15.760]  就是一種回顧過去
[00:01:15.760 --> 00:01:17.520]  檢視現在
[00:01:17.520 --> 00:01:20.480]  展望將來的一個信仰重整
[00:01:20.480 --> 00:01:24.400]  今天我們透過《彼勒比書》三章七至十四節
[00:01:24.640 --> 00:01:27.360]  和二十至二十一節的經文
[00:01:27.360 --> 00:01:28.880]  去重溫一下
[00:01:28.880 --> 00:01:32.880]  寶羅在這個信仰整理之下的心路歷程
[00:01:32.880 --> 00:01:35.040]  我們有一個祈禱
[00:01:35.040 --> 00:01:39.520]  「周恩主,我們感謝祢讓我們有聖徒相通的恩典
[00:01:39.520 --> 00:01:41.440]  透過主的恩典
[00:01:41.440 --> 00:01:45.280]  讓先賢的生命與我們成為一個流通的管子
[00:01:45.280 --> 00:01:46.880]  寶羅所經歷的
[00:01:46.880 --> 00:01:49.040]  成為我們的提醒和勸勉
[00:01:49.040 --> 00:01:53.280]  甚至每一個聽到的都能夠領受一種生命的承傳
[00:01:53.520 --> 00:01:56.320]  讓我們的生命能夠透過寶羅的見證
[00:01:56.320 --> 00:01:58.320]  讓我們不斷成長
[00:01:58.320 --> 00:01:59.840]  最終被祢使用
