
[00:00:00.000 --> 00:00:04.000]  今天的題目是「結果子的日常生活」
[00:00:04.000 --> 00:00:07.520]  經文是記載在《新約聖經》
[00:00:07.520 --> 00:00:12.000]  彼得後書第一章第一至第十五節
[00:00:12.000 --> 00:00:14.200]  如果你用教會聖經
[00:00:14.200 --> 00:00:15.640]  你拿著這本聖經就反轉
[00:00:15.640 --> 00:00:16.840]  從後面開始翻譯
[00:00:16.840 --> 00:00:18.040]  這樣就快很多了
[00:00:18.040 --> 00:00:20.000]  很接近尾的
[00:00:20.000 --> 00:00:23.480]  《新約聖經》第377頁
[00:00:23.480 --> 00:00:24.440]  好
[00:00:24.440 --> 00:00:28.760]  在正上請先聽我讀出經文
[00:00:28.760 --> 00:00:35.000]  彼得後書第一章第一至第十五節
[00:00:35.000 --> 00:00:38.400]  耶穌基督的僕人和使徒西門
[00:00:38.400 --> 00:00:41.800]  彼得,寫信給那因我們的神
[00:00:41.800 --> 00:00:44.440]  和救主耶穌基督的義
[00:00:44.440 --> 00:00:47.800]  與我們同德一樣寶貴信心的人
[00:00:47.800 --> 00:00:50.040]  願因為平安
[00:00:50.040 --> 00:00:53.200]  因你們認識神和我們的主耶穌
[00:00:53.200 --> 00:00:56.040]  多多加給你們
[00:00:56.040 --> 00:01:01.200]  神的神能以把一切關乎生命
[00:01:01.200 --> 00:01:03.960]  和前進的事賜給我們
[00:01:03.960 --> 00:01:07.480]  因我們認識乃用自己榮耀和美德
[00:01:07.480 --> 00:01:08.960]  照我們的神
[00:01:08.960 --> 00:01:10.160]  因此
[00:01:10.160 --> 00:01:14.880]  祂以把又寶貴又極大的英許賜給我們
[00:01:14.880 --> 00:01:17.120]  使我們既脫離世上
[00:01:17.120 --> 00:01:19.200]  從情欲來的敗壞
[00:01:19.200 --> 00:01:21.640]  就得分享神的本性
[00:01:21.640 --> 00:01:23.200]  正因這緣故
[00:01:23.200 --> 00:01:25.560]  你們要奮外地努力
[00:01:25.560 --> 00:01:27.040]  有了信心
[00:01:27.040 --> 00:01:29.560]  又要加上德行
[00:01:29.560 --> 00:01:30.920]  有了德行
[00:01:30.920 --> 00:01:33.720]  又要加上知識
[00:01:33.720 --> 00:01:34.960]  有了知識
[00:01:34.960 --> 00:01:37.720]  又要加上節制
[00:01:37.720 --> 00:01:38.880]  有了節制
[00:01:38.880 --> 00:01:41.600]  又要加上忍耐
[00:01:41.600 --> 00:01:42.800]  有了忍耐
[00:01:42.800 --> 00:01:45.240]  又要加上見勤
[00:01:45.240 --> 00:01:46.320]  有了見勁
[00:01:46.320 --> 00:01:49.480]  又要加上愛弟兄的心
[00:01:49.480 --> 00:01:51.360]  有了愛弟兄的心
[00:01:51.360 --> 00:01:54.240]  又要加上愛眾人的心
[00:01:54.240 --> 00:01:55.920]  第八節
[00:01:55.920 --> 00:01:57.360]  你們有了這幾樣
[00:01:57.360 --> 00:01:58.840]  再繼續增長
[00:01:58.840 --> 00:02:02.040]  就必使你們再認識我們的主耶穌基督上
[00:02:02.040 --> 00:02:05.120]  不至於懶散和不結果止了
[00:02:05.120 --> 00:02:06.720]  沒有這幾樣的人
