
[00:00:00.000 --> 00:00:04.280]  各位嘉欣樓弟兄姊妹平安
[00:00:04.280 --> 00:00:07.000]  在家裏面一同敬拜
[00:00:07.000 --> 00:00:11.720]  一同在這個時候尋求神
[00:00:11.720 --> 00:00:13.400]  透過我們的禱告
[00:00:13.400 --> 00:00:17.760]  希望神能夠隨聽的弟兄姊妹平安
[00:00:17.760 --> 00:00:21.240]  在今天很特別
[00:00:21.240 --> 00:00:23.880]  因為上一次我記得在嘉欣樓講
[00:00:23.880 --> 00:00:26.480]  今天要在錦繡堂講
[00:00:26.480 --> 00:00:28.000]  當我坐在這個禮拜堂的時候
[00:00:28.000 --> 00:00:34.200]  我想起大概40年前
[00:00:34.200 --> 00:00:37.800]  我在荔枝南路住的時候
[00:00:37.800 --> 00:00:40.280]  每個禮拜有期都會在我家裏
[00:00:40.280 --> 00:00:42.880]  我記得那些情景就是
[00:00:42.880 --> 00:00:47.840]  街道上停滿了單車
[00:00:47.840 --> 00:00:50.800]  為甚麼有期都會在我家裏
[00:00:50.800 --> 00:00:53.720]  因為我相信弟兄姊妹需要禱告
[00:00:53.720 --> 00:00:57.680]  當時錦繡堂是將分了區
[00:00:57.680 --> 00:01:01.200]  每一區裏面都有祈禱會
[00:01:01.200 --> 00:01:03.960]  一講到祈禱
[00:01:03.960 --> 00:01:05.520]  弟兄姊妹
[00:01:05.520 --> 00:01:08.520]  你信了耶穌這麼久了
[00:01:08.520 --> 00:01:13.440]  你覺得上帝是否一定要應允你
[00:01:13.440 --> 00:01:15.880]  照著你所求的給你
[00:01:15.880 --> 00:01:19.120]  這個神就是有真有無的神
[00:01:19.120 --> 00:01:21.240]  如果你求的
[00:01:21.240 --> 00:01:25.240]  或者這麼說你所講的禱文
[00:01:25.240 --> 00:01:27.240]  你心所想的
[00:01:27.240 --> 00:01:31.320]  和實際的環境出現的不同的話
[00:01:31.320 --> 00:01:33.240]  那你怎麼想
[00:01:33.240 --> 00:01:36.000]  有人勸你忍耐再祈禱
[00:01:36.000 --> 00:01:37.840]  要不自禱告
[00:01:37.840 --> 00:01:40.560]  你不斷不自禱告
[00:01:40.560 --> 00:01:42.960]  都好像不是這樣的
[00:01:42.960 --> 00:01:44.760]  那你怎麼辦呢
[00:01:44.760 --> 00:01:48.800]  所以今天特別找了一段經文
