
[00:00:00.000 --> 00:00:02.960]  教會初期的時候還有很多猶太人
[00:00:02.960 --> 00:00:04.960]  你記得耶路撒冷的回憶
[00:00:04.960 --> 00:00:07.760]  亞各、彼得等等
[00:00:07.760 --> 00:00:09.760]  耶穌的第一代時代
[00:00:09.760 --> 00:00:15.200]  還是在耶路撒冷為中心的教會時代
[00:00:15.200 --> 00:00:18.280]  到了保羅傳道比、小亞細亞
[00:00:18.280 --> 00:00:21.080]  你看到在士多七教會
[00:00:21.080 --> 00:00:22.080]  都是一個
[00:00:22.080 --> 00:00:24.200]  可能大家有機會去過聖地
[00:00:24.200 --> 00:00:25.960]  或者保羅門中的旅程
[00:00:25.960 --> 00:00:29.760]  你應該也會去過爾多佐古城等地方
[00:00:29.760 --> 00:00:31.760]  是那一帶保爾奇
[00:00:31.760 --> 00:00:36.520]  到希臘附近的一帶教會
[00:00:36.520 --> 00:00:39.920]  名次是大家都可以找到的
[00:00:39.920 --> 00:00:42.600]  而整個教會發展成了一個
[00:00:42.600 --> 00:00:45.320]  就是外邦人為主的教會
[00:00:45.320 --> 00:00:46.720]  真真正正
[00:00:46.720 --> 00:00:48.320]  大家知道有班基督徒
[00:00:48.320 --> 00:00:51.520]  會和猶太人混亂了
[00:00:51.520 --> 00:00:53.680]  所以當時迫害基督徒
[00:00:53.680 --> 00:00:55.160]  真的迫害基督徒
[00:00:55.160 --> 00:00:57.080]  不是迫害那班猶太教的人
[00:00:57.080 --> 00:00:58.360]  不是迫害那班猶太人
[00:00:58.360 --> 00:01:01.080]  是一班信耶穌基督的人
[00:01:01.080 --> 00:01:04.200]  一班一定耶穌基督為生命的主
[00:01:04.200 --> 00:01:05.760]  這樣的一班
[00:01:05.760 --> 00:01:07.080]  我就像是
[00:01:07.080 --> 00:01:09.160]  你知道當時都是
[00:01:09.160 --> 00:01:13.120]  本天神佛、羅馬有很多的神靈
[00:01:13.120 --> 00:01:15.560]  你要他們
[00:01:15.560 --> 00:01:18.680]  上帝就好像將他的權力
[00:01:18.680 --> 00:01:20.080]  化身為皇帝
[00:01:20.080 --> 00:01:23.880]  你要對他很神聖的崇高地位
[00:01:23.880 --> 00:01:25.520]  你要去蒙拜他
[00:01:25.520 --> 00:01:29.520]  這個是當時很混雜的神觀
[00:01:29.520 --> 00:01:32.080]  將地上最高權力的人
[00:01:32.080 --> 00:01:34.600]  化為一個皇帝去思想
[00:01:34.600 --> 00:01:38.960]  而這個信仰要我們去敬拜天地的主耶穌基督
[00:01:38.960 --> 00:01:40.320]  神的公羊
[00:01:40.320 --> 00:01:41.880]  成為了一個很大的
[00:01:41.880 --> 00:01:45.720]  可以說是一種信仰衝擊
[00:01:45.720 --> 00:01:50.040]  以致到當很多基督徒堅持自己的見證
[00:01:50.040 --> 00:01:51.840]  堅持自己信仰的時候
[00:01:51.840 --> 00:01:54.040]  就會產生很多的敵抗
[00:01:54.040 --> 00:01:55.560]  就在這樣的背景之下
