
[00:00:00.000 --> 00:00:04.600]  再在彼得前書第四章七至十一節
[00:00:04.600 --> 00:00:10.560]  在我們教會商行本聖經新約的第三百七十三頁
[00:00:10.560 --> 00:00:13.040]  重複一次 我們今天宣導的經文
[00:00:13.040 --> 00:00:16.800]  在彼得前書四章七至十一節
[00:00:16.800 --> 00:00:18.480]  經文這樣說
[00:00:18.480 --> 00:00:20.560]  萬物的結局近了
[00:00:20.560 --> 00:00:23.240]  所以你們要謹慎自守
[00:00:23.240 --> 00:00:25.480]  要警醒禱告
[00:00:25.480 --> 00:00:28.720]  最要緊的是彼此切實相愛
[00:00:28.720 --> 00:00:31.840]  因為愛能遮掩許多的罪
[00:00:31.840 --> 00:00:34.040]  你們要互相款待
[00:00:34.040 --> 00:00:35.640]  不發怨言
[00:00:35.640 --> 00:00:39.840]  人人要照自己所得的恩賜彼此服侍
[00:00:39.840 --> 00:00:43.360]  作神各種恩賜的好管家
[00:00:43.360 --> 00:00:44.920]  若有人講道
[00:00:44.920 --> 00:00:47.560]  他要按著神的聖言講
[00:00:47.560 --> 00:00:49.160]  若有人服侍
[00:00:49.160 --> 00:00:52.480]  他要按著神所賜的力量服侍
[00:00:52.480 --> 00:00:57.000]  好讓神在凡事上因耶穌基督得榮耀
[00:00:57.000 --> 00:01:00.160]  願榮耀和權能都歸給他
[00:01:00.160 --> 00:01:03.360]  直到永遠遠 阿們
[00:01:03.360 --> 00:01:05.680]  感謝神今日有本堂的傳道人
[00:01:05.680 --> 00:01:09.000]  鄺寶賢傳道在我們當中靜悼
[00:01:09.000 --> 00:01:11.800]  鄺寶賢傳道他今日所分享的講題是
[00:01:11.800 --> 00:01:14.280]  「上帝恩賜的好管家」
[00:01:14.280 --> 00:01:16.280]  現在恭請鄺寶賢傳道
[00:01:25.560 --> 00:01:28.440]  大英子母早晨
[00:01:28.440 --> 00:01:29.840]  按照教會的編排
[00:01:29.840 --> 00:01:33.200]  今日會繼續講彼得前書
[00:01:33.200 --> 00:01:35.680]  先做少少的回顧
[00:01:35.680 --> 00:01:36.880]  由第一章開始
[00:01:36.880 --> 00:01:40.480]  仕途彼得不斷提醒當時的門徒
[00:01:40.480 --> 00:01:42.440]  要有活的盼望
[00:01:42.440 --> 00:01:44.640]  要禁戒肉體的情慾
[00:01:44.640 --> 00:01:47.680]  要在外邦人中品行端正
[00:01:47.680 --> 00:01:50.720]  因為基督即將顯現
[00:01:50.720 --> 00:01:53.920]  並且眾人會得到信心的果效
[00:01:53.920 --> 00:01:57.960]  神最終會按著個人的行為審判
[00:01:57.960 --> 00:02:00.160]  無論是活人還是死人
[00:02:00.160 --> 00:02:03.320]  必須在主面前交仗
[00:02:03.320 --> 00:02:06.200]  彼得於是就在四章七節提到
[00:02:06.200 --> 00:02:08.720]  萬物的結局近了
[00:02:08.720 --> 00:02:12.720]  上帝整個的創造都受到罪的污染
[00:02:12.720 --> 00:02:15.120]  並且渴望得到釋放
[00:02:15.120 --> 00:02:17.680]  正如羅馬書八章所講
[00:02:17.680 --> 00:02:23.280]  受造之物仍然只望從敗壞的合制下得釋放
[00:02:23.280 --> 00:02:27.400]  於是神就計劃摧毀整個世界
[00:02:27.400 --> 00:02:29.880]  建立一個新的秩序
[00:02:29.880 --> 00:02:34.000]  一切的創造將會達到原先的目的
[00:02:34.000 --> 00:02:36.000]  從耶穌降生
[00:02:36.000 --> 00:02:37.880]  復活升天
[00:02:37.880 --> 00:02:39.400]  聖靈降臨
[00:02:39.400 --> 00:02:41.720]  再到教會的建立
[00:02:41.720 --> 00:02:43.520]  上帝的救贖計劃
[00:02:43.520 --> 00:02:46.240]  已經已進到最後的階段
[00:02:46.240 --> 00:02:49.800]  亦即是聖經所講的末世
[00:02:49.800 --> 00:02:53.240]  就好像一部天國的電影系列一樣
[00:02:53.240 --> 00:02:55.400]  做完一集又一集
[00:02:55.400 --> 00:02:57.800]  現在終於來到最後一集了
[00:02:57.800 --> 00:03:00.360]  就是終局之戰
[00:03:00.360 --> 00:03:03.760]  彼得強調結局即將上演
[00:03:03.760 --> 00:03:05.840]  經已近了
[00:03:05.840 --> 00:03:08.480]  結局篇由施洗約翰
[00:03:08.480 --> 00:03:11.960]  宣講天國近了開始
[00:03:11.960 --> 00:03:15.520]  然後由主角耶穌以人的樣式
[00:03:15.520 --> 00:03:18.640]  面對面接受撒旦的試探
[00:03:18.640 --> 00:03:22.120]  沿途醫病趕鬼傳福音
[00:03:22.120 --> 00:03:26.040]  並且好像電影的片尾彩蛋一樣
[00:03:26.040 --> 00:03:29.320]  預告將來他會好像晚上的賊一樣
[00:03:29.320 --> 00:03:31.440]  突然回來
[00:03:31.440 --> 00:03:35.160]  不過自從耶穌升天之後的二千年
[00:03:35.160 --> 00:03:37.360]  主耶穌仍然未回來
[00:03:37.360 --> 00:03:39.960]  我相信你都聽過經典的答案
[00:03:39.960 --> 00:03:42.160]  雖然仍然是正確的答案
[00:03:42.160 --> 00:03:46.200]  就是神的時間和人的時間不同
[00:03:46.200 --> 00:03:48.320]  主看一日如千年
[00:03:48.320 --> 00:03:50.240]  千年如一日
[00:03:50.240 --> 00:03:52.960]  主不願有一人沉淪
[00:03:52.960 --> 00:03:55.640]  那願人人都悔改
[00:03:55.640 --> 00:03:59.640]  我相信大家都懂得背了
[00:03:59.640 --> 00:04:04.320]  很明顯主耶穌也吩咐了一個大使命
[00:04:04.320 --> 00:04:07.640]  祂說要使萬民作主的門徒
[00:04:07.640 --> 00:04:10.320]  這個大使命我相信你和我都會知道
[00:04:10.320 --> 00:04:12.200]  仍然是未完成
[00:04:12.200 --> 00:04:15.680]  所以很明顯在耶穌回來之前
[00:04:15.680 --> 00:04:17.720]  還有一段時間
[00:04:17.720 --> 00:04:19.760]  不過聖經提醒我們
[00:04:19.760 --> 00:04:21.600]  你們也要預備
[00:04:21.600 --> 00:04:24.080]  因為在你們想不到的時候
[00:04:24.080 --> 00:04:26.640]  人子就來了
[00:04:26.640 --> 00:04:28.920]  而且當主回來的時候
[00:04:28.920 --> 00:04:33.960]  門徒要為自己的生活方式去負責任
[00:04:33.960 --> 00:04:36.680]  無論到底是為神而活
[00:04:36.680 --> 00:04:39.160]  還是為自己而活
[00:04:39.160 --> 00:04:41.360]  所以門徒要做好準備
[00:04:41.360 --> 00:04:42.920]  保持警醒
[00:04:42.920 --> 00:04:47.280]  這個正正是彼得前書所要講的主題
[00:04:47.280 --> 00:04:50.560]  我們同心再做一個祈禱
[00:04:50.560 --> 00:04:53.080]  親愛的主求祢使用以下的時間
[00:04:53.080 --> 00:04:55.080]  求祢藉著祢的話語
[00:04:55.080 --> 00:04:57.160]  將祢要我們所講的心意
[00:04:57.160 --> 00:04:59.160]  讓我們清楚明白
[00:04:59.160 --> 00:05:01.880]  以上是禱告奉教教主耶穌基督的聖名
[00:05:01.880 --> 00:05:04.280]  阿門
[00:05:04.280 --> 00:05:09.680]  於是彼得就在七至十一節
