
[00:00:00.000 --> 00:00:03.080]  今日呢 我哋有蔡兆祺牧師
[00:00:03.080 --> 00:00:03.800]  同我哋當
[00:00:03.800 --> 00:00:05.560]  喺我哋當中分享訊息
[00:00:05.560 --> 00:00:08.480]  佢係見到神學堅嘅院長
[00:00:08.480 --> 00:00:10.000]  咁呢 我哋今日呢
[00:00:10.000 --> 00:00:13.000]  嘅經文記載喺約翰福音第十六章
[00:00:13.000 --> 00:00:15.200]  十六至二十四節
[00:00:15.200 --> 00:00:20.440]  不久 你們將不再見到我
[00:00:20.440 --> 00:00:24.360]  再過不久 你們還要見到我
[00:00:24.360 --> 00:00:27.320]  有幾個門徒彼此說
[00:00:27.320 --> 00:00:29.320]  他對我們說
[00:00:29.520 --> 00:00:32.600]  不久 你們將不再見到我
[00:00:32.600 --> 00:00:36.200]  再過不久 你們還要見到我
[00:00:36.200 --> 00:00:39.400]  又說 因我到乎那裡去
[00:00:39.400 --> 00:00:41.400]  這是什麼意思呢
[00:00:41.400 --> 00:00:44.040]  於是門徒說
[00:00:44.040 --> 00:00:47.800]  他說不久 到底是什麼意思呢
[00:00:47.800 --> 00:00:50.120]  我們不明白他說什麼
[00:00:50.120 --> 00:00:54.120]  耶穌看出他們要問他
[00:00:54.120 --> 00:00:55.600]  就對他們說
[00:00:55.600 --> 00:00:59.480]  我說不久 你們將不再見到我
[00:01:00.080 --> 00:01:03.680]  再過不久 你們還要見到我
[00:01:03.680 --> 00:01:06.680]  你們為這話彼此詢問嗎
[00:01:06.680 --> 00:01:10.880]  我實實在在地告訴你們
[00:01:10.880 --> 00:01:14.080]  你們將要痛哭哀號
[00:01:14.080 --> 00:01:16.360]  世人反要歡喜
[00:01:16.360 --> 00:01:18.440]  你們將要憂愁
[00:01:18.440 --> 00:01:22.680]  然而你們的憂愁要變成喜樂
[00:01:22.680 --> 00:01:25.960]  婦人生產的時候會憂愁
[00:01:25.960 --> 00:01:28.160]  因為她的時候到了
[00:01:28.520 --> 00:01:30.520]  但孩子一生出來
[00:01:30.520 --> 00:01:33.200]  就不再記得那痛苦了
[00:01:33.200 --> 00:01:37.480]  因為歡喜有一個人生在世上了
[00:01:37.480 --> 00:01:40.360]  你們現在也是憂愁
[00:01:40.360 --> 00:01:42.920]  因我要再見到你們
[00:01:42.920 --> 00:01:45.800]  你們的心就會有喜樂了
[00:01:45.800 --> 00:01:49.000]  這喜樂沒有人能奪去
[00:01:49.000 --> 00:01:53.680]  到那天 你們什麼也不會再問我了
[00:01:53.680 --> 00:01:56.720]  我實實在在地告訴你們
[00:01:56.720 --> 00:01:58.280]  你們奉我的名
[00:01:58.400 --> 00:02:00.600]  無論向父求什麼
[00:02:00.600 --> 00:02:02.600]  他會賜給你們
[00:02:02.600 --> 00:02:04.800]  直到現在
[00:02:04.800 --> 00:02:07.440]  你們沒有奉我的名求什麼
[00:02:07.440 --> 00:02:09.400]  如今你們求
[00:02:09.400 --> 00:02:10.560]  就必得著
[00:02:10.560 --> 00:02:13.200]  使你們的喜樂得以滿足
[00:02:13.200 --> 00:02:15.920]  好 我們請蔡牧師
[00:02:15.920 --> 00:02:42.920]  (蔡牧師的名字)
[00:02:43.640 --> 00:02:45.560]  第一節末月平安
[00:02:45.560 --> 00:02:47.840]  新曆年第一個主日
[00:02:47.840 --> 00:02:49.680]  新年快樂
[00:02:49.680 --> 00:02:52.720]  因為新年快樂就選了一個喜樂的題目
[00:02:52.720 --> 00:02:55.200]  其中剛才24節
[00:02:55.200 --> 00:02:58.800]  半節我跟大家溫一溫這半節
[00:02:58.800 --> 00:03:01.040]  我們比較深刻的主題
[00:03:01.040 --> 00:03:02.560]  這半節就是
[00:03:02.560 --> 00:03:04.400]  第24節說
[00:03:04.400 --> 00:03:06.160]  如今你們求
[00:03:06.160 --> 00:03:07.840]  就必得著
[00:03:07.840 --> 00:03:10.640]  叫你們的喜樂可以滿足
[00:03:10.640 --> 00:03:13.240]  這兩句我讀一次 大家跟著讀
[00:03:13.240 --> 00:03:14.200]  你試試記住
[00:03:14.200 --> 00:03:15.680]  如今你們求
[00:03:15.680 --> 00:03:16.800]  就必得著
[00:03:16.800 --> 00:03:17.480]  一起說
[00:03:17.480 --> 00:03:20.200]  如今你們求
[00:03:20.200 --> 00:03:20.880]  再一次
[00:03:20.880 --> 00:03:22.400]  如今你們求
[00:03:22.400 --> 00:03:23.880]  就必得著
[00:03:23.880 --> 00:03:24.560]  接著下一句
[00:03:24.560 --> 00:03:27.040]  叫你們的喜樂可以滿足
[00:03:27.040 --> 00:03:29.560]  叫你們的喜樂可以滿足
