
[00:00:00.000 --> 00:00:02.000]  丙姐妹平安
[00:00:02.000 --> 00:00:08.000]  今天是我們農曆新年的新星期一
[00:00:08.000 --> 00:00:14.000]  不過亦是我們踏入我們信仰大齋期的開始
[00:00:14.000 --> 00:00:18.000]  上星期開始我們就有一個聖敷日
[00:00:18.000 --> 00:00:22.000]  我們就開始預備我們即將來臨的一段時間來迎接
[00:00:22.000 --> 00:00:26.000]  來紀念耶穌基督的受苦
[00:00:26.000 --> 00:00:33.000]  所以今天都和大家一齊來思考相關的課題
[00:00:33.000 --> 00:00:37.000]  聖敷日本身是在教父的時代裏面
[00:00:37.000 --> 00:00:40.000]  教會早已經有這樣的傳統習慣
[00:00:40.000 --> 00:00:46.000]  就是將一些灰燼灑在人的頭上
[00:00:46.000 --> 00:00:51.000]  來表示悔過和懺悔
[00:00:51.000 --> 00:00:59.000]  這個後來都成為了預備在我們整個元古期裏面的開始
[00:00:59.000 --> 00:01:04.000]  傳統來說當日教會就會舉行一個塗灰禮
[00:01:04.000 --> 00:01:09.000]  亦都是將去年的中樹枝燒成灰
[00:01:09.000 --> 00:01:12.000]  然後塗在弟兄姊妹的頭上
[00:01:12.000 --> 00:01:15.000]  作為一個悔改的象徵
[00:01:15.000 --> 00:01:18.000]  可能因為是和灰塵有關係
[00:01:18.000 --> 00:01:21.000]  往往每一次講到聖敷日的時候
[00:01:21.000 --> 00:01:25.000]  都是和塵土有關係的經文
[00:01:25.000 --> 00:01:29.000]  有幾段聖經裏面有關於塵土的經文
[00:01:29.000 --> 00:01:31.000]  《創世紀》第三章
[00:01:31.000 --> 00:01:35.000]  聖經說:你必淚流滿面才得糊口
[00:01:35.000 --> 00:01:37.000]  直到你歸了塵土
[00:01:37.000 --> 00:01:39.000]  因為你是從土而出的
[00:01:39.000 --> 00:01:42.000]  你本是塵土而要歸於塵土
[00:01:42.000 --> 00:01:47.000]  另外在《易事帖記》裏面都有一個這樣痛悔的經文
[00:01:47.000 --> 00:01:50.000]  不抵擱知道你所做的這一切事
[00:01:50.000 --> 00:01:53.000]  撕裂衣服穿麻衣
[00:01:53.000 --> 00:01:55.000]  蒙灰塵在城中行走
[00:01:55.000 --> 00:01:57.000]  痛哭哀號
[00:01:57.000 --> 00:02:00.000]  傳道書第三章都有
[00:02:00.000 --> 00:02:02.000]  人不能強於獸
[00:02:02.000 --> 00:02:05.000]  都是虛空都歸於一處
[00:02:05.000 --> 00:02:08.000]  都是出於塵土也都歸於塵土
[00:02:08.000 --> 00:02:14.000]  今天所講的這段其實都是和塵土有關係的
[00:02:14.000 --> 00:02:17.000]  就是《約伯記》第42章第6節
[00:02:17.000 --> 00:02:21.000]  約伯在整個苦難的最後
[00:02:21.000 --> 00:02:24.000]  作出了一個這樣的總結
[00:02:24.000 --> 00:02:26.000]  他說:因此我厭惡自己
[00:02:26.000 --> 00:02:29.000]  在塵土和爐灰中懊悔
[00:02:29.000 --> 00:02:33.000]  所以今天我們就思考這段《約伯記》第42章的經文
[00:02:33.000 --> 00:02:36.000]  題目叫做「知識與懺悔」
[00:02:36.000 --> 00:02:40.000]  《約伯記》第42章是《約伯記》的最後一章
[00:02:40.000 --> 00:02:45.000]  約伯經歷了足足41章這麼長的苦難
[00:02:45.000 --> 00:02:47.000]  來到最後一章
[00:02:47.000 --> 00:02:52.000]  聖經就藉著約伯的口來作出一個總結
[00:02:52.000 --> 00:02:56.000]  不過要明白42章我們不能夠離開之前
[00:02:56.000 --> 00:02:59.000]  第38章到41章的段落
[00:02:59.000 --> 00:03:02.000]  38到42章其實是一個很明顯的段落
[00:03:02.000 --> 00:03:07.000]  這個是耶和華上帝最後和約伯的對話
