
[00:00:00.000 --> 00:00:03.000]  請姐妹復活節快樂
[00:00:03.000 --> 00:00:06.000]  一起在神的家裏面
[00:00:06.000 --> 00:00:10.000]  雖然只能夠大家安坐在家中
[00:00:10.000 --> 00:00:12.000]  但是都讓我們一起
[00:00:12.000 --> 00:00:15.000]  來到復活節的清晨
[00:00:15.000 --> 00:00:17.000]  去思想基督的復活
[00:00:17.000 --> 00:00:20.000]  帶來的萬物的更新
[00:00:20.000 --> 00:00:23.000]  和大家一起有祈禱
[00:00:23.000 --> 00:00:25.000]  親愛的主
[00:00:25.000 --> 00:00:27.000]  我們將聖經打開
[00:00:27.000 --> 00:00:30.000]  求祢打開我們的心靈
[00:00:30.000 --> 00:00:34.000]  主的聖靈藉著真理的宣告
[00:00:34.000 --> 00:00:37.000]  可以進入到我們大家的心靈
[00:00:37.000 --> 00:00:42.000]  使我們能夠不斷地去穿上新人
[00:00:42.000 --> 00:00:46.000]  是照著神的形象做的
[00:00:46.000 --> 00:00:50.000]  有真理的人兒和聖潔
[00:00:50.000 --> 00:00:54.000]  成為我們在處世地上的生活裏面
[00:00:54.000 --> 00:00:57.000]  讓未信的人
[00:00:57.000 --> 00:01:00.000]  無論他們是富貴貧窮
[00:01:00.000 --> 00:01:02.000]  健康疾病
[00:01:02.000 --> 00:01:05.000]  信警逆警
[00:01:05.000 --> 00:01:08.000]  他們都能夠感受到
[00:01:08.000 --> 00:01:10.000]  如果不信基督
[00:01:10.000 --> 00:01:13.000]  不得到永恆的保障
[00:01:13.000 --> 00:01:16.000]  就真是枉過他們的人生
[00:01:16.000 --> 00:01:20.000]  求主讓我們每一個基督徒
[00:01:20.000 --> 00:01:23.000]  真是好像聖經所說的
[00:01:23.000 --> 00:01:27.000]  新人的一個示範的榜樣
[00:01:27.000 --> 00:01:32.000]  成為很多人要渴慕歸順基督的原因
[00:01:32.000 --> 00:01:35.000]  我們這樣仰望禱告
[00:01:35.000 --> 00:01:37.000]  奉耶穌基督的名
[00:01:37.000 --> 00:01:39.000]  阿們
[00:01:39.000 --> 00:01:41.000]  不知道大家有沒有習慣
[00:01:41.000 --> 00:01:43.000]  每逢聖誕節
[00:01:43.000 --> 00:01:45.000]  復活節
[00:01:45.000 --> 00:01:47.000]  你都會起床的時間
