
[00:00:00.000 --> 00:00:05.000]  很感恩我們有機會一起崇拜
[00:00:05.000 --> 00:00:12.000]  那種感受是比在網上崇拜是很不同的
[00:00:12.000 --> 00:00:14.000]  看到周圍的粉絲妹
[00:00:14.000 --> 00:00:20.000]  一起的是有一個心去敬拜
[00:00:20.000 --> 00:00:23.000]  去讚美我們的小弟
[00:00:23.000 --> 00:00:28.000]  也很感謝你們給小弟有機會
[00:00:28.000 --> 00:00:30.000]  參與你們的崇拜
[00:00:30.000 --> 00:00:34.000]  一起分享上帝的說話
[00:00:34.000 --> 00:00:40.000]  今天我用了一個題目
[00:00:40.000 --> 00:00:43.000]  叫做《路德際遇的點線面》
[00:00:43.000 --> 00:00:46.000]  其實是講路德的經驗
[00:00:46.000 --> 00:00:50.000]  我們怎樣去看路德的經驗呢?
[00:00:50.000 --> 00:00:55.000]  路德記是很短的一卷聖經
[00:00:55.000 --> 00:01:00.000]  但是這個記錄
[00:01:00.000 --> 00:01:04.000]  卻是一個對我們來說
[00:01:04.000 --> 00:01:06.000]  怎樣去看歷史
[00:01:06.000 --> 00:01:09.000]  看上帝的作為
[00:01:09.000 --> 00:01:14.000]  看上帝在我們人類之間的工作
[00:01:14.000 --> 00:01:18.000]  是有很多的體會和感受的
[00:01:18.000 --> 00:01:21.000]  歷史的點線面
[00:01:21.000 --> 00:01:25.000]  一般的歷史都會碰到的
[00:01:25.000 --> 00:01:28.000]  簡單來說歷史是甚麼呢?
[00:01:28.000 --> 00:01:30.000]  點就是一點
[00:01:30.000 --> 00:01:32.000]  今天我站在這裡
[00:01:32.000 --> 00:01:36.000]  一個時刻和大家去崇拜
[00:01:36.000 --> 00:01:39.000]  線就是為甚麼我會來這裡呢?
[00:01:39.000 --> 00:01:43.000]  主要都是施老兄 顧大兄
[00:01:43.000 --> 00:01:48.000]  他太太以前也是在伯特利學院教書
[00:01:48.000 --> 00:01:51.000]  也就是說我們的相識
[00:01:51.000 --> 00:01:58.000]  邀請是有一個歷史的追溯
[00:01:58.000 --> 00:02:01.000]  一條線
[00:02:01.000 --> 00:02:05.000]  面就是更加闊了
[00:02:05.000 --> 00:02:07.000]  除了一點
[00:02:07.000 --> 00:02:12.000]  一條線還有一個面就是互動
[00:02:12.000 --> 00:02:15.000]  一個互動就是
[00:02:15.000 --> 00:02:19.000]  其實我來這裡是去加州花園
[00:02:19.000 --> 00:02:22.000]  我以前也是在加州花園住的
[00:02:22.000 --> 00:02:28.000]  就是我可以有這樣的訓練
[00:02:28.000 --> 00:02:32.000]  在大家中間一起分享神的訊息
[00:02:32.000 --> 00:02:36.000]  就是一個更加闊的層面
[00:02:36.000 --> 00:02:40.000]  所以我們看事物的時候
[00:02:40.000 --> 00:02:44.000]  就好像我們怎樣去看歷史
[00:02:44.000 --> 00:02:46.000]  有一點
[00:02:46.000 --> 00:02:47.000]  一條線
[00:02:47.000 --> 00:02:50.000]  一個闊面
[00:02:50.000 --> 00:02:55.000]  最新的還加了一個立體的向度
[00:02:55.000 --> 00:03:03.000]  即是說面就是一個立體的互動作用
[00:03:03.000 --> 00:03:06.000]  所以我們今天看歷史的時候
[00:03:06.000 --> 00:03:12.000]  我們一般就會用這個觀點去看歷史
[00:03:12.000 --> 00:03:17.000]  其實就是看路德記
[00:03:17.000 --> 00:03:22.000]  就是看猶太人他們怎樣去看歷史
[00:03:22.000 --> 00:03:25.000]  從這個紀錄當中
[00:03:25.000 --> 00:03:30.000]  就是看到他們怎樣去看到上帝
[00:03:30.000 --> 00:03:33.000]  在人類的歷史當中
[00:03:33.000 --> 00:03:40.000]  是掌管引導和看顧的
[00:03:40.000 --> 00:03:45.000]  一般人怎樣去看歷史呢?
[00:03:45.000 --> 00:03:48.000]  和我們看歷史是有點不同的
[00:03:48.000 --> 00:03:51.000]  譬如我們很熟悉的
[00:03:51.000 --> 00:03:56.000]  馬克思就說到歷史的潮流是不可抗拒的
[00:03:56.000 --> 00:04:00.000]  慢慢我們看歷史就會
[00:04:00.000 --> 00:04:02.000]  有一種叫做宿命論
[00:04:02.000 --> 00:04:04.000]  命運
[00:04:04.000 --> 00:04:10.000]  人就無法拒絕命運的安排
[00:04:10.000 --> 00:04:14.000]  所以命運安排你是怎樣的時候就是怎樣
[00:04:14.000 --> 00:04:17.000]  你都無法抗拒
[00:04:17.000 --> 00:04:22.000]  共產黨就把這個觀念改成了
[00:04:22.000 --> 00:04:25.000]  歷史的潮流
[00:04:25.000 --> 00:04:28.000]  是有一定的模式的
[00:04:28.000 --> 00:04:31.000]  是有一定的路徑的
[00:04:31.000 --> 00:04:35.000]  而這個路徑你無法抗拒的
[00:04:35.000 --> 00:04:38.000]  另外一種的看法就是
[00:04:38.000 --> 00:04:45.000]  人類是可以創造無限的機會
[00:04:45.000 --> 00:04:48.000]  可以改寫歷史
[00:04:48.000 --> 00:04:51.000]  可以去創造歷史
[00:04:51.000 --> 00:04:57.000]  意思是說我就不會被命運去驅動著
[00:04:57.000 --> 00:05:01.000]  我們的努力是可以改變歷史的
