
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹,主女們平安
[00:00:02.000 --> 00:00:06.360]  大家今早應該都有看李慧詩的比賽了,是嗎?
[00:00:06.360 --> 00:00:09.160]  贏了大家都很開心,我也很開心
[00:00:09.160 --> 00:00:12.920]  還有我覺得大家終於可以安心地聽到了
[00:00:12.920 --> 00:00:16.880]  因為不用心慌慌地想到底比賽結果是怎樣了
[00:00:16.880 --> 00:00:20.000]  我們可以專心去聆聽整個話語
[00:00:20.000 --> 00:00:23.760]  這一篇道理其實在兩個星期之前
[00:00:23.760 --> 00:00:27.440]  我在錦繡那邊的晚堂已經說過一次了
[00:00:27.680 --> 00:00:30.440]  為什麼會選擇同一篇道理來說呢?
[00:00:30.440 --> 00:00:33.440]  不是我偷懶,想著翻炒開罐頭
[00:00:33.440 --> 00:00:39.440]  而是我發覺這篇道理跟我之前在奸樓說的道理
[00:00:39.440 --> 00:00:41.720]  有種接著的關係
[00:00:41.720 --> 00:00:44.720]  不知道大家是否記得我上次說的
[00:00:44.720 --> 00:00:47.240]  "信徒皆濟私"
[00:00:47.240 --> 00:00:50.120]  信徒皆濟私的概念就是說
[00:00:50.120 --> 00:00:55.720]  原來我們每一個信徒其實都已經是上帝的濟私
[00:00:55.840 --> 00:01:00.200]  我們是有能力也有資格將人帶到上帝那裡的
[00:01:00.200 --> 00:01:02.040]  就是說不需要等運到
[00:01:02.040 --> 00:01:04.320]  也不需要等牧者去發號施令
[00:01:04.320 --> 00:01:06.480]  什麼都找牧者去做
[00:01:06.480 --> 00:01:08.840]  我們每一個信徒都有這樣的能力
[00:01:08.840 --> 00:01:13.840]  我覺得這次這篇道理跟信息原來有一種連貫性
[00:01:13.840 --> 00:01:17.880]  另外就是剛好這麼巧
[00:01:17.880 --> 00:01:20.280]  下個星期我就要出去講道
[00:01:20.280 --> 00:01:23.080]  外面教會的傳道
[00:01:23.080 --> 00:01:25.120]  原來他有看我講道
[00:01:25.120 --> 00:01:26.360]  他聽了之後
[00:01:26.360 --> 00:01:30.800]  他指定叫我這篇拿去他教會再講一次
[00:01:30.800 --> 00:01:33.920]  我想應該也OK的
[00:01:33.920 --> 00:01:35.080]  不敢說什麼
[00:01:35.080 --> 00:01:37.480]  既然內容也OK的話
[00:01:37.480 --> 00:01:40.200]  應該有價值跟大家再分享一次
[00:01:40.200 --> 00:01:42.280]  那麼進入正題
[00:01:42.280 --> 00:01:43.400]  講這段經文
[00:01:43.400 --> 00:01:48.480]  這段經文是在說保羅決定要去耶路撒冷過節
[00:01:48.480 --> 00:01:51.560]  途經一個地方叫做米利都
[00:01:51.880 --> 00:01:53.800]  米利都這個地方
[00:01:53.800 --> 00:01:55.640]  他在那裡停留的時候
[00:01:55.640 --> 00:02:00.040]  他就專門找人去耳筆所叫長老過來
[00:02:00.040 --> 00:02:04.520]  你要知道兩個地方相隔也要三天的路程
[00:02:04.520 --> 00:02:07.480]  當時交通沒那麼便利
[00:02:07.480 --> 00:02:09.440]  要花三天去那個地方
[00:02:09.440 --> 00:02:11.800]  三天去那個地方聽他說完話
[00:02:11.800 --> 00:02:13.400]  又要三天回家
[00:02:13.400 --> 00:02:16.960]  其實要花這麼長的時間去來來回回
[00:02:16.960 --> 00:02:19.080]  你一定很有理由才會這麼做
[00:02:19.080 --> 00:02:20.720]  就像現在疫情一樣
[00:02:20.720 --> 00:02:22.480]  如果你要去外地的話
[00:02:22.480 --> 00:02:23.600]  你要隔離十四天
[00:02:23.600 --> 00:02:25.000]  回來又要隔離十四天
[00:02:25.000 --> 00:02:26.680]  如果你沒什麼理由的話
[00:02:26.680 --> 00:02:29.560]  相信你是不會特意去外地的
[00:02:29.560 --> 00:02:34.200]  所以一定是有一些必要的理由才會這麼做
[00:02:34.200 --> 00:02:38.240]  很可能保羅是知道自己已經時日無多
[00:02:38.240 --> 00:02:40.480]  因為在第25節那裡這麼說
[00:02:40.480 --> 00:02:41.160]  他說
[00:02:41.160 --> 00:02:41.920]  咦
[00:02:41.920 --> 00:02:44.280]  走光了
[00:02:44.280 --> 00:02:46.040]  我以為那是經文
[00:02:46.040 --> 00:02:47.560]  他說什麼呢
[00:02:47.560 --> 00:02:51.720]  現在我知道你們眾人以後不再見我的面
[00:02:51.720 --> 00:02:53.400]  不再見我的面是什麼意思呢
[00:02:53.400 --> 00:02:55.480]  沒機會再見的了
[00:02:55.480 --> 00:02:58.320]  可能這次聊完天之後就永別了
[00:02:58.320 --> 00:02:59.280]  所以呢
[00:02:59.280 --> 00:03:02.160]  其實他是預計了回不來的
