
[00:00:00.000 --> 00:00:06.400]  今晚同大家講一個《異屬能詳》聖經裡面大家一定會聽過的故事
[00:00:06.400 --> 00:00:10.200]  這個故事裡面特別的地方是什麼呢
[00:00:10.200 --> 00:00:16.800]  其實我想給大家看到的是一路延伸下去的一個家庭問題
[00:00:16.800 --> 00:00:19.200]  之前和大家分享過雅各
[00:00:19.200 --> 00:00:24.600]  雅各他是因為爸爸媽媽或者各自的偏心
[00:00:24.600 --> 00:00:29.000]  而後來出現了一個情況就是和他的兄弟不和
[00:00:29.000 --> 00:00:32.000]  所以後來才會發展到今天這個故事
[00:00:32.000 --> 00:00:37.000]  在一個家庭裡面如果你問什麼是最重要
[00:00:37.000 --> 00:00:41.000]  絕對不是錢、經濟、其他
[00:00:41.000 --> 00:00:44.000]  絕對是對於特別的基督徒來說很清楚
[00:00:44.000 --> 00:00:46.000]  是愛
[00:00:46.000 --> 00:00:50.600]  一個沒有愛的家庭是多麼可怕呢
[00:00:50.600 --> 00:00:52.600]  今天透過這段經文就和大家講
[00:00:52.600 --> 00:00:56.200]  這個家庭裡面有三個很主要的角色
[00:00:56.200 --> 00:01:00.200]  一個是利雅、一個是雅各、一個是拉傑
[00:01:00.200 --> 00:01:04.200]  你就會發覺我每一個人都做了一個主角
[00:01:04.200 --> 00:01:09.200]  雅各是一個…利雅是一個怎樣的人呢
[00:01:09.200 --> 00:01:13.200]  我稱之為他叫做失去愛的妻子
[00:01:13.200 --> 00:01:16.200]  大概很快地講一講他們的故事
[00:01:16.200 --> 00:01:19.200]  當雅各被追殺
[00:01:19.200 --> 00:01:21.200]  去到他舅父家的時候
[00:01:21.200 --> 00:01:24.200]  如果大家還記得那段經文其實挺有趣的
[00:01:24.200 --> 00:01:26.200]  就是他去到井旁
[00:01:26.200 --> 00:01:29.200]  然後他就去問那些人
[00:01:29.200 --> 00:01:31.200]  你們認不認識我舅父拉班
[00:01:31.200 --> 00:01:32.200]  然後他說認識
[00:01:32.200 --> 00:01:34.200]  他的女兒還沒來
[00:01:34.200 --> 00:01:36.200]  拉傑就帶著羊來
[00:01:36.200 --> 00:01:39.200]  那裡有一個很有趣的圖畫
[00:01:39.200 --> 00:01:43.200]  就是當時因為在這些曠野的地方
[00:01:43.200 --> 00:01:44.200]  水源是非常重要的
[00:01:44.200 --> 00:01:46.200]  所以每一個水源裡面
[00:01:46.200 --> 00:01:48.200]  他一定會有一個很大的大石
[00:01:48.200 --> 00:01:50.200]  去蓋住井口
[00:01:50.200 --> 00:01:54.000]  這個大石原則上一定要有幾個牧羊人
[00:01:54.000 --> 00:01:56.200]  一起去搬才能搬走
[00:01:56.200 --> 00:02:01.200]  但是在那一刻當他見到拉傑的時候
[00:02:01.200 --> 00:02:03.200]  其實已經有點眉目了
[00:02:03.200 --> 00:02:07.200]  他做了一個很誇張的舉動
[00:02:07.200 --> 00:02:10.200]  就是當那些牧羊人說現在還沒夠時間
[00:02:10.200 --> 00:02:12.200]  等一等吧
[00:02:12.200 --> 00:02:16.200]  然後雅各就走去自己一個
[00:02:16.200 --> 00:02:20.200]  搬開了井的那塊石頭
[00:02:20.200 --> 00:02:23.200]  就叫拉傑去餵羊喝水
[00:02:23.200 --> 00:02:25.200]  我不知道大家有沒有看到
[00:02:25.200 --> 00:02:27.200]  作為一個少女
[00:02:27.200 --> 00:02:31.200]  見到前面一個這麼大力威猛的男士
[00:02:31.200 --> 00:02:33.200]  一個人舉起這塊石頭
[00:02:33.200 --> 00:02:35.200]  然後還要餵我
[00:02:35.200 --> 00:02:37.200]  你明白那種的面子嗎
[00:02:37.200 --> 00:02:39.200]  多厲害
[00:02:39.200 --> 00:02:41.200]  然後又出現了另一個圖畫
[00:02:41.200 --> 00:02:43.200]  雅各見到拉傑之後
[00:02:43.200 --> 00:02:46.200]  一見到他就大聲痛哭
[00:02:46.200 --> 00:02:48.200]  就跟他說他的情況
[00:02:48.200 --> 00:02:51.200]  拉傑就立刻帶他去他的舅父拉班
[00:02:51.200 --> 00:02:53.200]  故事是這樣開始的
