
[00:00:00.000 --> 00:00:04.040]  我們同心禱告 天父我們很感恩
[00:00:04.040 --> 00:00:07.880]  今天晚上我們停了因為過年的原因
[00:00:07.880 --> 00:00:10.960]  和上個禮拜在菲律賓的短訊
[00:00:10.960 --> 00:00:16.280]  今晚我們能夠繼續來看最後一章的羅馬書
[00:00:16.280 --> 00:00:20.860]  我們之前也看過關於菲比這位女執事
[00:00:20.860 --> 00:00:24.940]  她是保羅的一個贊助人
[00:00:24.940 --> 00:00:27.640]  可想而知這位菲比
[00:00:27.640 --> 00:00:31.200]  是相當對福音有熱誠
[00:00:31.200 --> 00:00:34.740]  我們很盼望主感動我們每一位
[00:00:34.740 --> 00:00:39.040]  我們能夠真的在我們的崗位
[00:00:39.040 --> 00:00:42.740]  在我們所身處的地區教會
[00:00:42.740 --> 00:00:46.920]  來一起同心的興旺福音 願神帶領
[00:00:46.920 --> 00:00:50.560]  我們會看到一大串的人名
[00:00:50.560 --> 00:00:55.040]  背後一定有很深的保羅的含義
[00:00:55.040 --> 00:00:58.560]  她很想逐個逐個去聞安
[00:00:58.560 --> 00:01:02.000]  當然是她所認識的弟兄姊妹
[00:01:02.000 --> 00:01:05.420]  求主讓我們能夠在一路很快的
[00:01:05.420 --> 00:01:08.420]  讀這些人名的經文的時候
[00:01:08.420 --> 00:01:12.480]  都讓我們內心裏面有一個感動
[00:01:12.480 --> 00:01:17.120]  就是這些人名在二千年後我們去重讀的時候
[00:01:17.120 --> 00:01:21.840]  雖然這些人已經是在天家在神的面前
[00:01:21.840 --> 00:01:24.680]  但是當我們去讀這些人名
[00:01:24.680 --> 00:01:27.820]  又讓我們能夠好像透過聖靈
[00:01:27.820 --> 00:01:31.260]  讓我們能夠和他們有一個結連
[00:01:31.260 --> 00:01:35.740]  在主裏面我們去看看這些聖徒
[00:01:35.740 --> 00:01:39.680]  在他們的人生怎樣的跟隨
[00:01:39.680 --> 00:01:41.260]  怎樣的擺上
[00:01:41.260 --> 00:01:45.020]  怎樣為福音為保羅所傳的道
[00:01:45.020 --> 00:01:47.420]  來去同心同行
[00:01:47.420 --> 00:01:49.720]  我們仰望在主的手中
[00:01:49.720 --> 00:01:51.720]  我們今天晚上的時間
[00:01:51.720 --> 00:01:55.700]  感恩禱告奉耶穌基督的名
[00:01:55.700 --> 00:01:57.120]  阿們
[00:01:57.120 --> 00:02:00.500]  十六章我們上一次說過
[00:02:00.500 --> 00:02:07.040]  很快就讓我們看到寫這封信的時候
[00:02:07.040 --> 00:02:09.040]  保羅在哥倫多這裏
[00:02:09.040 --> 00:02:16.280]  他現在要托菲比帶這封信去羅馬
[00:02:16.280 --> 00:02:21.840]  更加就是要羅馬教會對菲比
[00:02:21.840 --> 00:02:28.120]  有一個在聖徒裏面的相交之道的接納、接待
[00:02:28.120 --> 00:02:31.060]  而且特別提到菲比
[00:02:31.060 --> 00:02:35.660]  她曾經怎樣幫助保羅的福音工作
[00:02:35.660 --> 00:02:39.500]  是保羅的贊助人
[00:02:39.500 --> 00:02:47.240]  就是說這個菲比不單止是一個普通的女士
[00:02:47.240 --> 00:02:50.240]  而是應該有當時的一個社會地位
[00:02:50.240 --> 00:02:53.120]  也都是有一定的錢
[00:02:53.120 --> 00:02:59.340]  而且更重要就是認同支持保羅的福音工作
[00:02:59.340 --> 00:03:02.240]  這個是很不容易很不簡單
[00:03:02.240 --> 00:03:04.040]  如果她住在哥倫多
