
[00:00:00.000 --> 00:00:04.600]  (主席) 講題是「誰掌管明天」
[00:00:04.600 --> 00:00:09.400]  所用的經文是舊約《但以理書》
[00:00:09.400 --> 00:00:13.400]  三章十三至十八節
[00:00:13.400 --> 00:00:15.700]  在教會預備的聖經裏面
[00:00:15.700 --> 00:00:20.600]  就是舊約的第1317頁
[00:00:20.600 --> 00:00:25.400]  在講到之先 請大家聽我將經文讀出
[00:00:25.400 --> 00:00:30.900]  當時 尼泊爾格尼撒大發烈怒
[00:00:30.900 --> 00:00:38.300]  命令把沙特拉、米薩、阿伯尼哥帶過來
[00:00:38.300 --> 00:00:42.900]  他們就把這幾個人帶到王面前
[00:00:42.900 --> 00:00:46.600]  尼泊爾格尼撒問他們說
[00:00:46.600 --> 00:00:51.100]  「沙特拉、米薩、阿伯尼哥
[00:00:51.100 --> 00:00:54.000]  你們不侍奉我的神明
[00:00:54.000 --> 00:00:59.000]  不拜我所立的金像 是真的嗎?」
[00:00:59.000 --> 00:01:02.500]  「現在 你們若準備好
[00:01:02.500 --> 00:01:10.300]  一聽見號角、琴、塞、三角琴、鼓
[00:01:10.300 --> 00:01:12.900]  和各樣樂器的聲音
[00:01:12.900 --> 00:01:16.600]  就俯伏拜我所做的像」
[00:01:16.600 --> 00:01:21.600]  「若不下拜 必立刻仍在烈火的搖中」
[00:01:21.600 --> 00:01:27.900]  「有那一個神明能救你們脫離我的手呢?」
[00:01:27.900 --> 00:01:33.100]  「沙特拉、米薩、阿伯尼哥對王說」
[00:01:33.100 --> 00:01:38.600]  「尼泊爾格尼撒!這件事我們不必回答你」
[00:01:38.600 --> 00:01:43.100]  「即便如此 我們所侍奉的神
[00:01:43.100 --> 00:01:47.800]  能將我們從烈火的搖中救出來」
[00:01:47.800 --> 00:01:52.600]  「王啊!他必救我們脫離你的手」
[00:01:52.600 --> 00:01:57.500]  「即或不然 王啊!你當知道
[00:01:57.500 --> 00:02:00.600]  我們絕不侍奉你的神明
[00:02:00.600 --> 00:02:03.900]  也不拜你所立的金像」
[00:02:03.900 --> 00:02:05.100]  經文讀筆
[00:02:05.100 --> 00:02:07.800]  恭敬的將以下時間交給曾牧師
[00:02:07.800 --> 00:02:17.600]  各位弟兄姊妹平安
[00:02:17.600 --> 00:02:21.100]  也有些可能是第一次來我們錦繡堂
[00:02:21.100 --> 00:02:25.600]  參加福音主日的朋友
[00:02:25.600 --> 00:02:27.200]  你們好
[00:02:27.200 --> 00:02:30.400]  再一次多謝關教授
[00:02:30.400 --> 00:02:33.500]  給我們剛才他的生命的見證
[00:02:33.500 --> 00:02:35.400]  他的故事
[00:02:35.400 --> 00:02:39.100]  基督教有很多很多的故事
[00:02:39.100 --> 00:02:40.600]  我們這一位造物主
[00:02:40.600 --> 00:02:42.600]  我們這一位神
[00:02:42.600 --> 00:02:46.800]  這個題目就叫做「誰掌管明天」
[00:02:46.800 --> 00:02:50.800]  相信大家來到都很想知道
[00:02:50.800 --> 00:02:52.400]  到底是哪一位
[00:02:52.400 --> 00:02:58.000]  他可以有權有能力去掌管明天
[00:02:58.000 --> 00:03:00.400]  這一段聖經
[00:03:00.400 --> 00:03:03.300]  其實已經是告訴我們
[00:03:03.300 --> 00:03:04.900]  有一班人
[00:03:04.900 --> 00:03:06.800]  以三個年輕人
[00:03:06.800 --> 00:03:10.600]  沙德拉、米薩、阿伯尼哥
[00:03:10.600 --> 00:03:13.000]  其實他們是猶太人
[00:03:13.000 --> 00:03:16.600]  當時猶太人已經亡國
[00:03:16.600 --> 00:03:19.400]  被擄到巴比倫帝國
[00:03:19.400 --> 00:03:23.700]  巴比倫帝國當時是如日中天的帝國
[00:03:23.700 --> 00:03:27.100]  所以這個王尼布格尼撒王
[00:03:27.100 --> 00:03:30.800]  造了一個九十尺高的金像
[00:03:30.800 --> 00:03:35.200]  要所有的人都要去臣服下拜
[00:03:35.200 --> 00:03:38.600]  各個民族的人就下拜
[00:03:38.600 --> 00:03:42.400]  居然有三個在朝中做官的
[00:03:42.400 --> 00:03:46.100]  這三個青年人就不拜
[00:03:46.100 --> 00:03:50.000]  後來為何他要面對這個危機
[00:03:50.000 --> 00:03:51.900]  而糟蹋一個
[00:03:51.900 --> 00:03:57.700]  好像沒有辦法來改變自己的命運的危機呢
[00:03:57.700 --> 00:04:00.700]  原來是有一些下級的官員
[00:04:00.700 --> 00:04:03.400]  來到看不過眼這幾個人
[00:04:03.400 --> 00:04:06.100]  就要向王舉報他
[00:04:06.100 --> 00:04:08.700]  舉報他不拜這個像
[00:04:08.700 --> 00:04:11.700]  所以就糟蹋一個危機
