
[00:00:00.000 --> 00:00:03.080]  我們要開始一起祈禱
[00:00:03.080 --> 00:00:06.140]  多謝主讓今天晚上
[00:00:06.140 --> 00:00:11.000]  我們可以再看啟示錄第十七十八兩章
[00:00:11.000 --> 00:00:14.080]  關於大巴比倫城
[00:00:14.080 --> 00:00:17.660]  幫助我們一路看啟示錄的時候
[00:00:17.660 --> 00:00:20.220]  看到掌管萬有
[00:00:20.220 --> 00:00:21.760]  行公義的神
[00:00:21.760 --> 00:00:24.840]  最終要來到他秉公行義
[00:00:24.840 --> 00:00:26.620]  向地上
[00:00:26.620 --> 00:00:29.700]  特別是離開來抵擋你的人
[00:00:30.160 --> 00:00:32.980]  特別是十三章的狄基督
[00:00:32.980 --> 00:00:34.780]  和魔鬼
[00:00:34.780 --> 00:00:37.580]  最終都要被審判
[00:00:37.580 --> 00:00:40.400]  幫助我們能夠對於地上
[00:00:40.400 --> 00:00:41.940]  可能我們認為
[00:00:41.940 --> 00:00:44.240]  公義未彰顯
[00:00:44.240 --> 00:00:46.020]  但是我們知道
[00:00:46.020 --> 00:00:48.860]  讀啟示錄就給我們很清楚的發現
[00:00:48.860 --> 00:00:52.180]  最終神是會伸張正義的
[00:00:52.180 --> 00:00:53.700]  求主帶領我們
[00:00:53.700 --> 00:00:56.260]  也讓我們明白裡面的經文
[00:00:56.260 --> 00:00:58.320]  那個意思和我們在
[00:00:58.320 --> 00:00:59.340]  今天
[00:00:59.600 --> 00:01:00.880]  那個的應用
[00:01:00.880 --> 00:01:03.700]  我們這樣仰望等候禱告
[00:01:03.700 --> 00:01:06.000]  奉耶穌基督的名
[00:01:06.000 --> 00:01:07.020]  阿們
[00:01:07.020 --> 00:01:12.400]  我們再有機會去看十七十八兩章的啟示錄
[00:01:12.400 --> 00:01:14.700]  是一個整體來的
[00:01:14.700 --> 00:01:17.520]  因為十七章其實第五節
[00:01:17.520 --> 00:01:20.080]  已經告訴我們這個
[00:01:20.080 --> 00:01:22.140]  約翰
[00:01:22.140 --> 00:01:24.940]  在曠野所見到的異象
[00:01:24.940 --> 00:01:27.260]  因為他在聖靈裏面
[00:01:27.700 --> 00:01:30.260]  被邀請去看這個異象
[00:01:30.260 --> 00:01:31.800]  那個異象
[00:01:31.800 --> 00:01:33.080]  就說有一個女人
[00:01:33.080 --> 00:01:35.120]  在曠野
[00:01:35.120 --> 00:01:37.180]  騎著一隻怪獸
[00:01:37.180 --> 00:01:39.480]  七頭十角的怪獸
[00:01:39.480 --> 00:01:42.040]  也都很清楚告訴我們
[00:01:42.040 --> 00:01:44.100]  這個七頭十角的怪獸
[00:01:44.100 --> 00:01:46.400]  其實就是將來的狄基督
[00:01:46.400 --> 00:01:49.720]  將來要做全世界的王
[00:01:49.720 --> 00:01:51.000]  那個領袖
[00:01:51.000 --> 00:01:53.560]  包括十王
[00:01:53.560 --> 00:01:55.860]  都是將要興起的
[00:01:56.120 --> 00:01:58.680]  都是會將一切的權柄能力
[00:01:58.680 --> 00:02:01.760]  十七章的十三節
[00:02:01.760 --> 00:02:04.840]  他們就是上文說的十王
[00:02:04.840 --> 00:02:07.140]  他們同心合意
[00:02:07.140 --> 00:02:08.920]  將自己的能力
[00:02:08.920 --> 00:02:09.940]  權柄
[00:02:09.940 --> 00:02:11.480]  給這隻獸
[00:02:11.480 --> 00:02:12.760]  就是這隻海獸
[00:02:12.760 --> 00:02:14.560]  就是這個狄基督的
[00:02:14.560 --> 00:02:16.100]  即是十三章
[00:02:16.100 --> 00:02:17.640]  所以你會看到
