
[00:00:00.000 --> 00:00:05.000]  耶和華的華臨到亞美泰的兒子約拿說
[00:00:05.000 --> 00:00:11.000]  「起來,到尼尼眉大城去,向其中的居民宣告
[00:00:11.000 --> 00:00:15.000]  因為他們的惡已達到我面前」
[00:00:15.000 --> 00:00:21.000]  約拿卻起身,逃往他斯去躲避耶和華
[00:00:21.000 --> 00:00:27.000]  他下到約帕,遇見一條船要往他斯去
[00:00:27.000 --> 00:00:33.000]  約拿付了船費就上船,與船上的人同往他斯
[00:00:33.000 --> 00:00:36.000]  為要躲避耶和華
[00:00:36.000 --> 00:00:44.000]  耶和華在海上刮起大風,海就狂風大作
[00:00:44.000 --> 00:00:51.000]  船幾乎破裂,水手都懼怕,各人哀求自己的神明
[00:00:51.000 --> 00:00:56.000]  他們把船上的貨物拋進海裡為要減輕載重
[00:00:56.000 --> 00:01:02.000]  約拿卻下到艙底,討我沉睡
[00:01:02.000 --> 00:01:06.000]  船長道他那裡對他說
[00:01:06.000 --> 00:01:11.000]  「你怎麼還在沉睡呢?起來,求告你的神明
[00:01:11.000 --> 00:01:15.000]  或者神明顧念我們,使我們不致滅亡」
[00:01:15.000 --> 00:01:19.000]  船上的人彼此說
[00:01:19.000 --> 00:01:23.000]  「來吧,我們來抽籤,看看這災難
[00:01:23.000 --> 00:01:26.000]  臨到我們是因誰的緣故」
[00:01:26.000 --> 00:01:31.000]  於是他們就抽籤,抽出約拿來
[00:01:31.000 --> 00:01:34.000]  他們對約拿說
[00:01:34.000 --> 00:01:40.000]  「請你告訴我們,這災難臨到我們是因誰的緣故呢?
[00:01:40.000 --> 00:01:47.000]  你做什麼行業?你從哪裡來?你是哪一國人?屬哪一族?」
[00:01:48.000 --> 00:01:54.000]  他說「我是希伯來人,我敬畏耶和華,天神的神
[00:01:54.000 --> 00:01:57.000]  祂創造了滄海和陸地」
[00:01:57.000 --> 00:02:01.000]  那些人就大大懼怕對他說
[00:02:01.000 --> 00:02:03.000]  「你做的是什麼事呢?」
[00:02:03.000 --> 00:02:07.000]  原來他們已經知道他在躲避耶和華
[00:02:07.000 --> 00:02:10.000]  因為他告訴了他們
[00:02:10.000 --> 00:02:13.000]  海浪越來越洶湧
[00:02:13.000 --> 00:02:15.000]  他們就問他說
[00:02:15.000 --> 00:02:20.000]  「我們當向你做什麼才能使海浪平靜呢?」
[00:02:20.000 --> 00:02:23.000]  他對他們說
[00:02:23.000 --> 00:02:28.000]  「你們把我抬起來,拋進海裡,海就會平靜了
[00:02:28.000 --> 00:02:32.000]  我知道你們遭遇這大風是因我的緣故
[00:02:32.000 --> 00:02:36.000]  然而那些人竭力誇獎
[00:02:36.000 --> 00:02:40.000]  想要把船靠回陸地,卻是不能
[00:02:40.000 --> 00:02:44.000]  因風浪越來越大,撲向他們
[00:02:44.000 --> 00:02:47.000]  於是他們求告耶和華說
[00:02:47.000 --> 00:02:53.000]  「耶和華,求求你不要因借人的性命使我們滅亡
[00:02:53.000 --> 00:02:57.000]  不要使流無辜人血的罪歸給我們
[00:02:57.000 --> 00:03:01.000]  因為你,耶和華,隨自己的旨意行事」
[00:03:01.000 --> 00:03:05.000]  他們把約拿抬起來,拋進海裡
[00:03:05.000 --> 00:03:09.000]  海的狂浪就平息了
[00:03:09.000 --> 00:03:13.000]  那些人就大大懼怕耶和華
[00:03:13.000 --> 00:03:16.000]  向耶和華獻祭許願
[00:03:16.000 --> 00:03:19.000]  現在恭請小嫻姑娘
[00:03:19.000 --> 00:03:30.000]  (主席)謝謝主席為我們讀出頗長的一段經文
[00:03:30.000 --> 00:03:33.000]  我們講道之先一起祈禱吧
[00:03:33.000 --> 00:03:39.000]  親愛的天父,我們感謝讚美你
[00:03:39.000 --> 00:03:42.000]  感謝你設下寶貴的話語
[00:03:42.000 --> 00:03:46.000]  讓我們今天可以領受你的慰養
[00:03:46.000 --> 00:03:49.000]  讓我們在當中得著
[00:03:49.000 --> 00:03:53.000]  求主保守我們所說的「蒙利月立」
[00:03:53.000 --> 00:03:58.000]  聽的,真的可以聽盡我們心裡的
[00:03:58.000 --> 00:04:00.000]  去光照我們的心
[00:04:00.000 --> 00:04:02.000]  我們同心禱告仰望
[00:04:02.000 --> 00:04:05.000]  乃奉求主耶穌基督,得聖名至而求
[00:04:05.000 --> 00:04:06.000]  阿們
[00:04:14.000 --> 00:04:23.000]  約拿書可能是世界上第一卷宣教著作
[00:04:23.000 --> 00:04:32.000]  而約拿也可能是世界上第一個義幫宣教的宣教誌
[00:04:32.000 --> 00:04:35.000]  所以講到宣教
[00:04:35.000 --> 00:04:37.000]  不知道大家有沒有想過
[00:04:37.000 --> 00:04:40.000]  今天我們的標題
[00:04:40.000 --> 00:04:43.000]  我們是為誰而宣教呢
[00:04:44.000 --> 00:04:48.000]  在約拿書中
[00:04:48.000 --> 00:04:52.000]  很明顯,約拿就是為了神
[00:04:52.000 --> 00:04:55.000]  才會在不願意之下
[00:04:55.000 --> 00:04:57.000]  去「尼尼尼聖」
[00:04:57.000 --> 00:05:01.000]  代表著神去呼召
[00:05:01.000 --> 00:05:03.000]  又或者我們去宣教
[00:05:03.000 --> 00:05:07.000]  當然是為了那些未得之民
[00:05:07.000 --> 00:05:10.000]  他們未聽過福音的百姓
[00:05:10.000 --> 00:05:15.000]  我們可以去傳講主耶穌基督的福音
[00:05:15.000 --> 00:05:20.000]  而進入他們的文化
[00:05:20.000 --> 00:05:22.000]  進入他們的國家
