
[00:00:00.000 --> 00:00:04.000]  在希律作猶太王的時候,
[00:00:04.000 --> 00:00:09.000]  亞比亞班女有一個祭司,名叫撒加尼亞。
[00:00:09.000 --> 00:00:14.000]  他妻子是亞倫的後代,名叫伊麗莎白。
[00:00:14.000 --> 00:00:18.000]  他們兩人在神面前都是義人,
[00:00:18.000 --> 00:00:21.000]  進行主的一切誡命和條例,
[00:00:21.000 --> 00:00:24.000]  沒有可指責的。
[00:00:24.000 --> 00:00:27.000]  只是他們沒有孩子,
[00:00:27.000 --> 00:00:29.000]  因為伊麗莎白不生育,
[00:00:29.000 --> 00:00:32.000]  兩個人又年紀老邁了。
[00:00:32.000 --> 00:00:38.000]  撒加尼亞按班次在神面前執行祭司的的務,
[00:00:38.000 --> 00:00:40.000]  照祭司的規矩抽籤,
[00:00:40.000 --> 00:00:43.000]  進到主的殿裡燒香。
[00:00:43.000 --> 00:00:48.000]  燒香的時候眾百姓在外面禱告,
[00:00:48.000 --> 00:00:53.000]  有主的一個使者站在香壇的右邊向他顯現。
[00:00:53.000 --> 00:00:57.000]  撒加尼亞看見就驚慌害怕,
[00:00:57.000 --> 00:00:59.000]  天使對他說:
[00:00:59.000 --> 00:01:02.000]  「撒加尼亞,不要害怕,
[00:01:02.000 --> 00:01:05.000]  因為你的禱告已經被聽見了。
[00:01:05.000 --> 00:01:10.000]  你的妻子伊麗莎白要給你生一個兒子,
[00:01:10.000 --> 00:01:13.000]  你要給他起名叫約翰,
[00:01:13.000 --> 00:01:16.000]  你必歡喜快樂,
[00:01:16.000 --> 00:01:20.000]  有許多人因他出世也必喜樂。
[00:01:20.000 --> 00:01:24.000]  他在主面前將要為大,
[00:01:24.000 --> 00:01:27.000]  淡酒烈酒都不渴,
[00:01:27.000 --> 00:01:31.000]  從無福裡就被聖靈充滿。
[00:01:31.000 --> 00:01:38.000]  他要使許多以色列人迴轉歸於主他們的神。
[00:01:38.000 --> 00:01:41.000]  他將有以利亞的精神和能力,
[00:01:41.000 --> 00:01:43.000]  走在主的面前,
[00:01:43.000 --> 00:01:46.000]  叫父親的心轉向兒女,
[00:01:46.000 --> 00:01:49.000]  叫活逆的人轉向二人的智慧,
[00:01:49.000 --> 00:01:54.000]  又為主預備迎接他的百姓。」
[00:01:54.000 --> 00:01:56.000]  撒加尼亞對天使說:
[00:01:56.000 --> 00:01:59.000]  「我怎麼能知道這事呢?
[00:01:59.000 --> 00:02:01.000]  我已經老了,
[00:02:01.000 --> 00:02:04.000]  我的妻子也一年多老了。」
[00:02:04.000 --> 00:02:06.000]  天使回答他說:
[00:02:06.000 --> 00:02:09.000]  「我是站在神面前的加伯列,
[00:02:09.000 --> 00:02:11.000]  奉差遣來對你說話,
[00:02:11.000 --> 00:02:15.000]  把這好訊息報給你。」
[00:02:15.000 --> 00:02:19.000]  到了時候,這些話必然應驗,
[00:02:19.000 --> 00:02:21.000]  只因你不信我的話,
[00:02:21.000 --> 00:02:24.000]  你會成為啞巴,不能說話,
[00:02:24.000 --> 00:02:28.000]  直到這事實現的日子。
[00:02:28.000 --> 00:02:31.000]  百姓等候撒加尼亞,
[00:02:31.000 --> 00:02:35.000]  察意他在聖所裡馳言那麼久,
[00:02:35.000 --> 00:02:39.000]  到他出來,卻不能和他們說話,
[00:02:39.000 --> 00:02:43.000]  他們就知道他在聖所裡見了異象,
[00:02:43.000 --> 00:02:45.000]  他直向他們打手勢,
[00:02:45.000 --> 00:02:48.000]  因為他成了啞巴。
[00:02:48.000 --> 00:02:50.000]  他恭織的日子一滿,
[00:02:50.000 --> 00:02:53.000]  就回家去了,
[00:02:53.000 --> 00:02:55.000]  這些日子以後,
[00:02:55.000 --> 00:02:57.000]  他的妻子伊麗莎白就懷孕,
[00:02:57.000 --> 00:03:00.000]  隱藏了五個月。
[00:03:00.000 --> 00:03:01.000]  她說:
[00:03:01.000 --> 00:03:03.000]  「主在眷顧我的日子,
[00:03:03.000 --> 00:03:05.000]  這樣看顧我,
[00:03:05.000 --> 00:03:09.000]  要除掉我在人前的羞恥。」
