
[00:00:00.000 --> 00:00:07.000]  大家好,今晚見到第一節經文的時候,可能都覺得很喜樂
[00:00:07.000 --> 00:00:13.000]  其實這個是頭盤,主菜未到
[00:00:13.000 --> 00:00:21.000]  今晚的主菜其實就是在肥辣比書的第一章裏面有好幾節的聖經
[00:00:21.000 --> 00:00:24.000]  所以大家都預備要打開聖經
[00:00:24.000 --> 00:00:33.000]  這一節的經文可以說是整個肥辣比書的金句,也是肥辣比書的約節
[00:00:33.000 --> 00:00:42.000]  即是當我們能夠掌握這一節的經文的時候,整本肥辣比書就容易明白和理解
[00:00:42.000 --> 00:00:49.000]  這一節的經文講到你們要靠主常常喜樂
[00:00:49.000 --> 00:00:57.000]  喜樂這個字在這本書裏面,頭尾出現大概有二十次
[00:00:57.000 --> 00:01:04.000]  由此可見喜樂的訊息是揚入這本書裏面的
[00:01:04.000 --> 00:01:14.000]  而這個喜樂連同全福音有關的字次數也有九次出現
[00:01:14.000 --> 00:01:22.000]  換句話來說,保羅寫這本書的時候不單止提及到喜樂,也提及到全福音
[00:01:22.000 --> 00:01:30.000]  所以你會發覺保羅講這句說話的時候,他說你們要靠主常常喜樂
[00:01:30.000 --> 00:01:36.000]  我再說你們要喜樂,有少少近乎一個命令式
[00:01:36.000 --> 00:01:42.000]  你們要甚麼?要喜樂,為甚麼要有一個這麼強調的語氣呢?
[00:01:42.000 --> 00:01:48.000]  我相信大家都明白,第一就是世間上不是每個人都喜樂的
[00:01:48.000 --> 00:01:54.000]  大家見到我們四周的人,或者你坐地鐵的時候,你進到車廂
[00:01:54.000 --> 00:02:02.000]  你會發覺每個人都好像沒有甚麼表情,每個人都低頭一族
[00:02:02.000 --> 00:02:15.000]  每個人都好像面上有一些重擔,不能夠很開懷地表露他們的心情
[00:02:15.000 --> 00:02:20.000]  所以大家知道不是每個人都可以有喜樂的
[00:02:20.000 --> 00:02:25.000]  第二個原因就是我們不是時時都能夠經歷到喜樂
[00:02:25.000 --> 00:02:33.000]  是因為我們知道我們身處的環境裏面,很多時候未必是順境
[00:02:33.000 --> 00:02:40.000]  而相反,頭頭碰著一刻逆境的情況就會不時出現
[00:02:40.000 --> 00:02:44.000]  所以人生不如意的事情,十有八九
[00:02:44.000 --> 00:02:49.000]  是因為這樣的緣故,我們要喜樂是很不容易的
[00:02:49.000 --> 00:02:55.000]  因為當你覺得自己很順風順水,很順境的時候
[00:02:55.000 --> 00:03:02.000]  但有時候你只不過是一種快樂,但你感受不到內心那種真正的喜樂
[00:03:02.000 --> 00:03:10.000]  而這個真正的喜樂就是今晚保羅在這一算是要和我們交道的
[00:03:10.000 --> 00:03:20.000]  保羅寫這卷菲勒比書的時候,其實他的環境是相當困局的
[00:03:20.000 --> 00:03:26.000]  因為他寫這卷菲勒比書的時候,那個人在羅馬坐牢
[00:03:26.000 --> 00:03:38.000]  大家都知道一個坐牢的人,他的處境是令他有很大的壓迫在當中
[00:03:38.000 --> 00:03:51.000]  當然保羅坐牢的時候又被困鎖,又被其他的刑具束縛著他
[00:03:51.000 --> 00:03:56.000]  保羅坐牢的時候也沒有了自由,不單止他沒有了自由
[00:03:56.000 --> 00:04:00.000]  大家都知道坐牢的人也沒有了他的尊嚴
[00:04:00.000 --> 00:04:06.000]  所以在一個這樣身體精神都受煎熬的情況下
[00:04:06.000 --> 00:04:15.000]  大家可以想像到一個在囚的人要起來是極度極度的困難
[00:04:15.000 --> 00:04:22.000]  我自己以前在探望這些囚犯做監獄報到的時候
[00:04:22.000 --> 00:04:28.000]  有機會去到一些囚犯集中聚居的地方的時候
[00:04:28.000 --> 00:04:42.000]  都深刻體會到他們那種無奈、無助、沒有表情的樣貌展現在你的眼前
[00:04:42.000 --> 00:04:46.000]  可以反映到他們的生活並不暢快
[00:04:46.000 --> 00:04:48.000]  如果你從這個角度去想的時候
[00:04:48.000 --> 00:04:56.000]  你就會發現到保羅在這麼惡劣的環境下,怎樣能夠有喜樂呢?
[00:04:56.000 --> 00:05:04.000]  但是奇就奇在保羅不單止在口頭上說我們要喜樂
[00:05:04.000 --> 00:05:12.000]  而他在實際的行動上也展露出他一個喜樂的人生
[00:05:12.000 --> 00:05:20.000]  這個就很不簡單,因為我們可以看到保羅所表現出來的是身體力行
[00:05:20.000 --> 00:05:29.000]  去讓他內心有諸內的那份喜悅能夠展露在他的生活當中
[00:05:29.000 --> 00:05:32.000]  當然有原因在背後,原因是什麼呢?
[00:05:32.000 --> 00:05:40.000]  原因是保羅在坐牢當中他體會到、經歷到的事情是上帝的大能
[00:05:40.000 --> 00:05:46.000]  我們試試看提勒比書的第一章第三節
[00:05:46.000 --> 00:05:53.000]  這句話告訴我們,第一件事情令到保羅會經歷到喜樂的是什麼呢?
[00:05:53.000 --> 00:05:58.000]  我們一起讀第三到第五節
[00:05:58.000 --> 00:06:05.000]  預備起,我每逢思念你們就感謝我的神
[00:06:05.000 --> 00:06:11.000]  為你們眾人祈求的時候嘗試歡喜的祈求
[00:06:11.000 --> 00:06:18.000]  因為從頭一天直到如今,你們心刻意興旺福音
[00:06:18.000 --> 00:06:21.000]  第一個原因大家已經掌握到了
[00:06:21.000 --> 00:06:24.000]  保羅之所以在逆境中得喜樂
[00:06:24.000 --> 00:06:33.000]  是因為他真的看到肥立比的教會從第一天開始很熱心傳福音
[00:06:33.000 --> 00:06:37.000]  這已經很難得了
[00:06:37.000 --> 00:06:43.000]  不單止是傳福音,而且是同心合意的去傳福音
[00:06:43.000 --> 00:06:52.000]  我們錦書家在傳福音的行動上,真的令到我們傳道人很感恩
[00:06:52.000 --> 00:06:54.000]  弟兄姊妹那種熱心的傳福音
[00:06:54.000 --> 00:07:08.000]  有時候我們藉著運動傳福音,藉著音樂節目,我們用節棋聲
[00:07:08.000 --> 00:07:12.000]  我們有很多很多不同的傳福音的途徑
[00:07:12.000 --> 00:07:19.000]  尤其是最近世界盃,我更加體會到我們錦書家的弟兄姊妹
[00:07:19.000 --> 00:07:23.000]  是很熱心地去傳福音
[00:07:23.000 --> 00:07:28.000]  所以將佳音樓變成了一個歡樂天地
[00:07:28.000 --> 00:07:36.000]  很多未信的朋友,我自己也有親自去看一兩場世界盃
[00:07:36.000 --> 00:07:41.000]  我真的體會到當中的弟兄姊妹很熱心
[00:07:41.000 --> 00:07:47.000]  大家都很主動去幫忙,有些做總務,有些買東西吃
[00:07:47.000 --> 00:07:52.000]  不知為何吃東西越買越多,好像吃不完
[00:07:52.000 --> 00:08:02.000]  有些做招待,總之讓街坊朋友來到佳音樓的時候
[00:08:02.000 --> 00:08:04.000]  就有一種賓至如歸的感覺
[00:08:04.000 --> 00:08:10.000]  當我見到弟兄姊妹這樣自發地一齊去傳福音
[00:08:10.000 --> 00:08:12.000]  而且是很同心地去傳福音的時候
[00:08:12.000 --> 00:08:17.000]  我自己心裡是充滿著感恩
[00:08:17.000 --> 00:08:22.000]  因為體會到原來一個願意去傳福音的人
[00:08:22.000 --> 00:08:28.000]  他的積極性和主動性
[00:08:28.000 --> 00:08:34.000]  真的表現出他在上帝的領袖
[00:08:34.000 --> 00:08:37.000]  原來傳福音是多麼重要
[00:08:37.000 --> 00:08:39.000]  所以他把握著不同的機會
[00:08:39.000 --> 00:08:44.000]  這是第一件事令到保羅的心感受到很大的喜悅
[00:08:44.000 --> 00:08:49.000]  我們再看第二個原因,第十三節
[00:08:49.000 --> 00:08:52.000]  請大家一起讀第十三節
[00:08:52.000 --> 00:08:56.000]  「以致我的困所」
[00:08:56.000 --> 00:09:01.000]  (讀書中)
[00:09:01.000 --> 00:09:04.000]  大家讀的是新譯本
[00:09:04.000 --> 00:09:07.000]  我有時候都不敢太大聲讀
[00:09:07.000 --> 00:09:10.000]  因為我讀的是舊的和諧本
[00:09:10.000 --> 00:09:12.000]  因為年紀的問題
[00:09:12.000 --> 00:09:15.000]  大家再請你們讀一次
[00:09:15.000 --> 00:09:17.000]  讀一次第十三節
[00:09:17.000 --> 00:09:19.000]  齊齊齊的,預備起
[00:09:19.000 --> 00:09:28.000]  (讀書中)
[00:09:28.000 --> 00:09:33.000]  第二個原因保羅在坐牢當中
[00:09:33.000 --> 00:09:35.000]  他有一種喜樂的心
[00:09:35.000 --> 00:09:39.000]  是因為他見到他自己失了自由
[00:09:39.000 --> 00:09:44.000]  不過福音有沒有被困所
[00:09:44.000 --> 00:09:50.000]  他自己不能夠外出做很多事
[00:09:50.000 --> 00:09:55.000]  但他仍然見到福音是很自由地傳開
[00:09:55.000 --> 00:10:01.000]  這是令到保羅心中有很大的驚喜
[00:10:01.000 --> 00:10:07.000]  原來他連坐牢的情況都可以傳福音
