
[00:00:00.000 --> 00:00:02.000]  各位節目早安
[00:00:02.000 --> 00:00:07.000]  很感恩能夠回來當中跟大家分享
[00:00:07.000 --> 00:00:10.000]  11月是感酸
[00:00:10.000 --> 00:00:13.000]  每一年我們都會開會
[00:00:13.000 --> 00:00:15.000]  希望趁著感恩節
[00:00:15.000 --> 00:00:17.000]  在美國或其他地方
[00:00:17.000 --> 00:00:19.000]  西方有感恩節
[00:00:19.000 --> 00:00:21.000]  我們很想透過這個時間
[00:00:21.000 --> 00:00:23.000]  一起學習感恩的文化
[00:00:23.000 --> 00:00:26.000]  我們很想在過程中
[00:00:26.000 --> 00:00:28.000]  一起思念
[00:00:28.000 --> 00:00:30.000]  例如有些宣教士到海外
[00:00:30.000 --> 00:00:32.000]  他們一起去做這個工作
[00:00:32.000 --> 00:00:34.000]  我們一起支持他們
[00:00:34.000 --> 00:00:36.000]  在今天的時間
[00:00:36.000 --> 00:00:38.000]  教會選了一段經文
[00:00:38.000 --> 00:00:41.000]  就是詩篇116篇
[00:00:41.000 --> 00:00:46.000]  116篇最有名的一段說話就是
[00:00:46.000 --> 00:00:49.000]  我要以感恩為祭獻給神
[00:00:49.000 --> 00:00:51.000]  這個就是最有名的
[00:00:51.000 --> 00:00:53.000]  但鄧英之妹
[00:00:53.000 --> 00:00:56.000]  當你今天去看詩篇的時候
[00:00:56.000 --> 00:01:00.000]  或者我們一起在裡面聽神的話的時候
[00:01:00.000 --> 00:01:03.000]  我想大家一起去學習怎樣看聖經
[00:01:03.000 --> 00:01:05.000]  為什麼呢?
[00:01:05.000 --> 00:01:06.000]  在我讀神學的時候
[00:01:06.000 --> 00:01:08.000]  老師不斷告訴我
[00:01:08.000 --> 00:01:10.000]  強調再強調
[00:01:10.000 --> 00:01:13.000]  聖經是一本文學作品
[00:01:13.000 --> 00:01:16.000]  裡面有很多不同的題材
[00:01:16.000 --> 00:01:18.000]  它有歷史書
[00:01:18.000 --> 00:01:20.000]  它有詩歌
[00:01:20.000 --> 00:01:22.000]  它有真言
[00:01:22.000 --> 00:01:24.000]  它有書信
[00:01:24.000 --> 00:01:26.000]  它有記載
[00:01:26.000 --> 00:01:28.000]  甚至乎有話劇
[00:01:28.000 --> 00:01:30.000]  大家一定要清楚這些題材
[00:01:30.000 --> 00:01:33.000]  看不同的題材有不同的方法
[00:01:33.000 --> 00:01:35.000]  你一擺錯就出事了
[00:01:35.000 --> 00:01:37.000]  例如在詩篇裡面
[00:01:37.000 --> 00:01:40.000]  經常都會出現一些翅膀
[00:01:40.000 --> 00:01:44.000]  我要飛往海極居住
[00:01:44.000 --> 00:01:47.000]  我要展開我清神的翅膀
[00:01:47.000 --> 00:01:49.000]  你明白我意思嗎?
[00:01:49.000 --> 00:01:52.000]  如果你用一個看歷史書的角度去看它
[00:01:52.000 --> 00:01:54.000]  你就會出事了
[00:01:54.000 --> 00:01:55.000]  你就會不斷去問
[00:01:55.000 --> 00:01:57.000]  究竟上帝有沒有翅膀呢?
[00:01:57.000 --> 00:02:01.000]  究竟人怎樣飛呢?
[00:02:01.000 --> 00:02:03.000]  你搞錯了焦點
[00:02:03.000 --> 00:02:06.000]  所以當我們今天看經文的時候
[00:02:06.000 --> 00:02:08.000]  我們一定要回頭看詩歌
[00:02:08.000 --> 00:02:12.000]  當然我不是讀文學出身
[00:02:12.000 --> 00:02:14.000]  我也不是研究文學
[00:02:14.000 --> 00:02:16.000]  所以我的情況就是
[00:02:16.000 --> 00:02:19.000]  如果在裡面有些很高深的文學
[00:02:19.000 --> 00:02:21.000]  我也聽過有些同工有些講員
[00:02:21.000 --> 00:02:23.000]  他們講得非常好
[00:02:23.000 --> 00:02:27.000]  我留給那些有恩賜和研究的同工
[00:02:27.000 --> 00:02:31.000]  但當我想在崇拜的裡面和大家分享的時候
[00:02:31.000 --> 00:02:33.000]  反而我更多的
[00:02:33.000 --> 00:02:35.000]  我想和大家一起
[00:02:35.000 --> 00:02:39.000]  透過今天就好像一個集體的靈修
[00:02:39.000 --> 00:02:42.000]  我們一起進入詩篇裡面
[00:02:42.000 --> 00:02:44.000]  而看詩篇或者叫詩歌題材
[00:02:44.000 --> 00:02:48.000]  其中一個很重要的關鍵點是什麼呢?
[00:02:48.000 --> 00:02:52.000]  就是我們要知道這段詩歌的詩人的背景
[00:02:52.000 --> 00:02:57.000]  大家有一段中國人很流行的詩歌
[00:02:57.000 --> 00:03:03.000]  「床前明月光,兒時地上霜,舉頭望明月,低頭思故鄉」
[00:03:03.000 --> 00:03:05.000]  大家會唸的
[00:03:05.000 --> 00:03:09.000]  大家記不記得作者的背景是什麼呢?
[00:03:09.000 --> 00:03:13.000]  為什麼他要寫這段詩歌呢?
[00:03:13.000 --> 00:03:17.000]  是因為他很掛念家鄉
[00:03:17.000 --> 00:03:27.000]  他用月光來述說他對家鄉的那種心情
[00:03:27.000 --> 00:03:30.000]  所以你要進入裡面的時候
[00:03:30.000 --> 00:03:33.000]  才能夠明白他的心情
[00:03:33.000 --> 00:03:37.000]  而今天我和大家講這段經文的時候
[00:03:37.000 --> 00:03:40.000]  我很清楚我要寫叫做「熹西家感恩詩」
[00:03:40.000 --> 00:03:44.000]  因為這段詩歌是熹西家王寫的
[00:03:44.000 --> 00:03:49.000]  而為什麼他要寫這段詩歌是非常重要的
[00:03:49.000 --> 00:03:51.000]  如果不是的話,你看完這段詩歌
[00:03:51.000 --> 00:03:52.000]  沒錯,寫得很好
[00:03:52.000 --> 00:03:55.000]  你就會自己用你的角度去看
[00:03:55.000 --> 00:04:01.000]  譬如我被死亡困擾,你就想你的死亡
[00:04:01.000 --> 00:04:03.000]  這段時間我不知道你發生什麼事
[00:04:03.000 --> 00:04:05.000]  每一個人都對號入座
[00:04:05.000 --> 00:04:07.000]  這樣就很容易出事
[00:04:07.000 --> 00:04:09.000]  而在這段裡面的時候
