
[00:00:00.000 --> 00:00:04.000]  我們今天很高興有梁永善牧師在我們當中去靜悼
[00:00:04.000 --> 00:00:08.000]  在靜悼之間,我們一同去讀出今天的經文
[00:00:08.000 --> 00:00:14.000]  是記載在約翰福音13章34至35節
[00:00:14.000 --> 00:00:21.000]  約翰福音13章34至35節
[00:00:21.000 --> 00:00:33.000]  我似你們一條生分明,乃是叫你們彼此相愛,我怎樣愛你們,你們也要怎樣彼此相愛。
[00:00:33.000 --> 00:00:40.000]  你們若彼此相愛,眾人因此,就認出你們是我的門徒了。
[00:00:40.000 --> 00:00:43.000]  我們恭敬將時間交給梁永善牧師
[00:00:43.000 --> 00:01:08.000]  
[00:01:08.000 --> 00:01:10.000]  各位聽眾姐妹,早安
[00:01:10.000 --> 00:01:13.000]  我是衷心感謝天父給我新的一年
[00:01:13.000 --> 00:01:17.000]  一開始第一個星期,來到大廈當中,可以跟大家分享
[00:01:17.000 --> 00:01:18.000]  這是一個祝福
[00:01:18.000 --> 00:01:22.000]  所以今天跟大家探討的題目,因為今天是新年
[00:01:22.000 --> 00:01:26.000]  所以我們重新開始研究新的題目
[00:01:26.000 --> 00:01:29.000]  在《聖經》裏面有什麼教導
[00:01:29.000 --> 00:01:32.000]  這篇講章我從來沒有講過,今天是第一次講
[00:01:32.000 --> 00:01:37.000]  我們要知道一年之計在於實
[00:01:37.000 --> 00:01:42.000]  如果我們能夠將計劃交給神,就最好了
[00:01:42.000 --> 00:01:44.000]  不只是在於春,而是在於神
[00:01:44.000 --> 00:01:47.000]  從神開始,就會差很遠
[00:01:47.000 --> 00:01:52.000]  所以今天想跟大家重新從《聖經》裏面看關於新的教導
[00:01:52.000 --> 00:01:56.000]  我們知道如果有好的開始,就是成功的一半
[00:01:56.000 --> 00:01:58.000]  當然我們要去警醒
[00:01:58.000 --> 00:02:01.000]  我們看看新的教導
[00:02:01.000 --> 00:02:06.000]  《聖經》裏面的新是講到有新事和新約
[00:02:06.000 --> 00:02:08.000]  什麼叫做新事呢?
[00:02:08.000 --> 00:02:10.000]  在舊的《聖經》裏面有一個寓言
[00:02:10.000 --> 00:02:13.000]  我們一起來讀耶利米斯31章22節
[00:02:13.000 --> 00:02:15.000]  我們一起來讀出
[00:02:15.000 --> 00:02:26.000]  (耶和華在地上做了一件新事,就是女子護衛男子)
[00:02:26.000 --> 00:02:28.000]  新的東西可以變舊
[00:02:28.000 --> 00:02:32.000]  所以現在你看到這個社會裏面,我覺得都是男女不平等
[00:02:32.000 --> 00:02:35.000]  女性的地位是高於我們男性很多
[00:02:35.000 --> 00:02:39.000]  我們男性在外面風光,回家是滄桑的
[00:02:39.000 --> 00:02:42.000]  我自己在家裏面,只有三個人住
[00:02:42.000 --> 00:02:45.000]  現在就是我太太,我女兒和我
[00:02:45.000 --> 00:02:48.000]  所以我回家的時候,我是家奴
[00:02:48.000 --> 00:02:54.000]  我的女兒很乖,但她累的時候,下班後伸一隻腳來
[00:02:54.000 --> 00:02:59.000]  爸爸,按腳,這樣就做瑪利亞
[00:02:59.000 --> 00:03:06.000]  所以女子護衛男子,現在就好像很簡單的事
[00:03:06.000 --> 00:03:09.000]  你想想,我們的特首是女性
[00:03:09.000 --> 00:03:13.000]  現在錦繡堂,我們的母堂
[00:03:13.000 --> 00:03:17.000]  堂主任都是女的,剛剛是女牧師
[00:03:17.000 --> 00:03:19.000]  我離開了,不是嗎?
[00:03:19.000 --> 00:03:21.000]  轉了?
[00:03:21.000 --> 00:03:24.000]  轉回男的
[00:03:24.000 --> 00:03:28.000]  她改了性別嗎?
[00:03:28.000 --> 00:03:35.000]  至少我閩恩堂離開後,現在我負責閩恩堂的堂主任都是女的
[00:03:35.000 --> 00:03:37.000]  但在這裏絕對不是這樣
[00:03:37.000 --> 00:03:43.000]  你不要忘記在耶利米的年代,甚至在耶穌的年代,女性是完全沒有地位的
[00:03:43.000 --> 00:03:47.000]  稍為突出一點的女性,是要大筆的來書寫的
[00:03:47.000 --> 00:03:51.000]  在時事記裏面有一個女士師,叫底波拉,記不記得?
[00:03:51.000 --> 00:03:53.000]  那時候已經很厲害
[00:03:53.000 --> 00:03:55.000]  所以這裏是在說甚麼呢?
[00:03:55.000 --> 00:03:59.000]  其實是在預言著有一位的救世主
[00:03:59.000 --> 00:04:04.000]  這個救世主是從女子而生的
[00:04:04.000 --> 00:04:08.000]  當創世記的時候就記載了人類犯罪,是嗎?
[00:04:08.000 --> 00:04:09.000]  阿當夏娃犯罪
[00:04:09.000 --> 00:04:13.000]  於是神就立刻宣告了救恩的彰顯
[00:04:13.000 --> 00:04:15.000]  這個救恩是說甚麼呢?
[00:04:15.000 --> 00:04:18.000]  我們一起來讀創世記第三章第十五節
[00:04:18.000 --> 00:04:20.000]  第三章第十五節我們一起來讀
[00:04:20.000 --> 00:04:32.000]  (創世記第三章第十五節)
[00:04:32.000 --> 00:04:36.000]  這裏是預言的救贖
[00:04:36.000 --> 00:04:41.000]  女人的後裔要傷蛇的頭,蛇代表魔鬼
[00:04:41.000 --> 00:04:44.000]  蛇要傷女人後裔的腳跟
[00:04:44.000 --> 00:04:48.000]  我們大家都知道打蛇最重要是怎樣呢?
[00:04:48.000 --> 00:04:50.000]  是要打哪裡呢?
[00:04:50.000 --> 00:04:51.000]  是要打頭
[00:04:51.000 --> 00:04:53.000]  我試過打蛇
[00:04:53.000 --> 00:04:54.000]  我當年在劍道神樂院讀書
[00:04:54.000 --> 00:04:56.000]  一向都很硬朗的
[00:04:56.000 --> 00:04:58.000]  所以人們經常都以為我自己很厲害
[00:04:58.000 --> 00:04:59.000]  但其實不是
[00:04:59.000 --> 00:05:03.000]  有一次竟然有一條蛇在圖書館下面
[00:05:03.000 --> 00:05:05.000]  「來不及死,有蛇啊」這樣叫我
[00:05:05.000 --> 00:05:07.000]  整個學校的人只找我
[00:05:07.000 --> 00:05:09.000]  「快點打蛇啊」這樣
[00:05:09.000 --> 00:05:12.000]  又要保持自己那種威猛的形象
[00:05:12.000 --> 00:05:13.000]  但其實我又害怕
[00:05:13.000 --> 00:05:14.000]  那怎麼辦呢?
[00:05:14.000 --> 00:05:15.000]  就拿著翻筆記錄器坐頭
[00:05:15.000 --> 00:05:17.000]  預備坐那條蛇
[00:05:17.000 --> 00:05:19.000]  有人圍著我看我
