
[00:00:00.000 --> 00:00:02.400]  開始今晚的茶經班
[00:00:02.400 --> 00:00:03.480]  一起祈禱
[00:00:03.480 --> 00:00:07.240]  多謝主再一次我們能夠有機會
[00:00:07.240 --> 00:00:09.200]  仔細的去研讀
[00:00:09.200 --> 00:00:10.240]  約翰福音
[00:00:10.240 --> 00:00:12.480]  我們一直都看到
[00:00:12.480 --> 00:00:16.080]  耶穌基督在猶太人面前
[00:00:16.080 --> 00:00:19.520]  自稱你是生命的光
[00:00:19.520 --> 00:00:22.400]  你是活水
[00:00:22.400 --> 00:00:24.520]  你是生命的糧
[00:00:24.520 --> 00:00:26.760]  讓我們能夠認識
[00:00:26.760 --> 00:00:29.080]  你是那一位生命的主
[00:00:29.080 --> 00:00:31.600]  是道來到這個世界
[00:00:31.600 --> 00:00:35.600]  幫助我們在越來越面對
[00:00:35.600 --> 00:00:40.200]  猶太人的針對和迫害的時候
[00:00:40.200 --> 00:00:43.400]  你是怎樣表明自己的身份
[00:00:43.400 --> 00:00:45.200]  和你是被差遣
[00:00:45.200 --> 00:00:47.200]  來這個世界的目的
[00:00:47.200 --> 00:00:49.200]  讓我們能夠掌握
[00:00:49.200 --> 00:00:52.200]  認定你是我們生命的主宰
[00:00:52.200 --> 00:00:53.800]  我們去跟隨你
[00:00:53.800 --> 00:00:56.200]  無論什麼環境
[00:00:56.200 --> 00:00:58.600]  我們都願意一心跟隨
[00:00:58.600 --> 00:01:02.400]  今天晚上我們再看第十章後面的經文
[00:01:02.400 --> 00:01:05.200]  和第十一章拉薩路的復活
[00:01:05.200 --> 00:01:07.200]  都讓我們真的能夠掌握
[00:01:07.200 --> 00:01:11.400]  這一位不單止是用一些寓意
[00:01:11.400 --> 00:01:13.400]  講到你自己的身份
[00:01:13.400 --> 00:01:15.400]  你本身就是那個生命
[00:01:15.400 --> 00:01:17.400]  幫助我們能夠明白
[00:01:17.400 --> 00:01:20.600]  我們這樣禱告奉耶穌基督的名
[00:01:20.600 --> 00:01:21.600]  阿們
[00:01:21.600 --> 00:01:25.600]  我們又簡單回顧上一次
[00:01:25.600 --> 00:01:29.400]  我們一直都在講羊圈的比喻
[00:01:29.400 --> 00:01:32.800]  耶穌講到自己就是那個好木人
[00:01:32.800 --> 00:01:34.800]  是緊接第九章
[00:01:34.800 --> 00:01:39.800]  在聖殿醫好了這個生下來核眼的核子
[00:01:39.800 --> 00:01:44.400]  後來耶穌邀請他進入他的生命裡面
