
[00:00:00.000 --> 00:00:06.620]  各位電視節目平安 在剛剛新的疫情管理
[00:00:06.620 --> 00:00:13.340]  還有新年新星期的時間能夠在網上跟大家分享訊息
[00:00:13.340 --> 00:00:19.740]  都是恩典 我先同心祈禱 今天我們處於一個非常動盪的時間
[00:00:19.740 --> 00:00:25.500]  能夠身體平安 還有應變很多的故事
[00:00:25.500 --> 00:00:31.380]  這次的疫情對教會的運作都有很多新的改變和衝擊
[00:00:31.380 --> 00:00:34.080]  也給我們求神經歷了恩典
[00:00:34.080 --> 00:00:36.620]  不同的弟子妹 不同的家庭
[00:00:36.620 --> 00:00:40.780]  香港很多不同的行業都受到影響
[00:00:40.780 --> 00:00:46.180]  求你平安與人同在 特別與那些有困難的家庭同在
[00:00:46.180 --> 00:00:50.280]  我們祈禱交托 奉教主耶穌得勝命求 阿們
[00:00:51.780 --> 00:00:55.500]  很快又見到大家 所以這次跟大家分享的題目
[00:00:55.500 --> 00:00:58.580]  是用了三段詩篇的經文
[00:00:58.580 --> 00:01:03.280]  三段裡面的特色都有一個類似永不動搖的表達
[00:01:03.280 --> 00:01:07.780]  所以是一個新年的禱告 我們是一個動盪艱難
[00:01:07.780 --> 00:01:11.660]  不斷有很多的應變 又不知道前路如何
[00:01:11.660 --> 00:01:14.780]  有很多擔心的困難時期
[00:01:14.780 --> 00:01:21.740]  求神給我們一個神所喜悅的真正永不動搖的人生
[00:01:21.740 --> 00:01:25.280]  今天選了三段經文作為核心
[00:01:25.280 --> 00:01:28.780]  第一段是來自詩篇第十篇第六節
[00:01:28.780 --> 00:01:31.180]  講到惡人的心裏說
[00:01:31.180 --> 00:01:35.580]  「我必不動搖,世世代代不遭災難」
[00:01:35.580 --> 00:01:40.280]  第二段是大衛在比較平順的時候說
[00:01:40.280 --> 00:01:42.780]  「我永不動搖」
[00:01:42.780 --> 00:01:47.180]  第三段是大衛的今詩留下了一個很寶貴的說話
[00:01:47.180 --> 00:01:51.720]  這段說話後來曾經應用在耶穌基督身上
[00:01:51.720 --> 00:02:00.420]  「我將耶華常擺在我面前,因祂在我右邊,我便不自搖動」
[00:02:00.420 --> 00:02:02.620]  我們真的進入了新的時代
[00:02:02.620 --> 00:02:06.920]  教會未來兩三個月可能有很多的限制
[00:02:06.920 --> 00:02:14.320]  這個星期很多的教會同工都在討論崇拜如何處理
[00:02:14.320 --> 00:02:18.920]  罪會如何處理,如果有病患的需要如何處理
[00:02:18.920 --> 00:02:24.820]  特別是很多家庭面對可否見面等等很多的題目
[00:02:24.820 --> 00:02:27.120]  一個動盪的時代
[00:02:27.120 --> 00:02:28.620]  在動盪的時代裏面
[00:02:28.620 --> 00:02:34.120]  我們在外國新聞就說到歐洲有這麼大的動盪
[00:02:34.120 --> 00:02:36.620]  不知道會不會打仗等等的情況
[00:02:36.620 --> 00:02:38.320]  所以在這個題目裏面
[00:02:38.320 --> 00:02:41.820]  我們是很容易有很多感受
[00:02:41.820 --> 00:02:47.520]  有些是憂鬱,有些是想不通,有些可能有經濟困難
[00:02:47.520 --> 00:02:51.320]  甚至在過程當中有些人真的有實在需要
[00:02:51.320 --> 00:02:55.520]  我認識一些弟子妹剛好在教會熱心侍奉
[00:02:55.520 --> 00:03:00.620]  最近發現有癌症,還要出入醫院去電療等等情況
[00:03:00.620 --> 00:03:02.720]  所以有很多人有不同的情況
[00:03:02.720 --> 00:03:05.720]  世界又變成很不同的世界
[00:03:05.720 --> 00:03:08.120]  甚至很多人有情緒病
[00:03:08.120 --> 00:03:12.220]  小朋友讀書長期在Zoom讀書
[00:03:12.220 --> 00:03:15.020]  可能對他們有影響,有很多故事
[00:03:15.020 --> 00:03:21.420]  所以有時想起我們處於一個動盪和憂鬱時代的時候
[00:03:21.420 --> 00:03:23.420]  就好像有很多壓力
[00:03:23.420 --> 00:03:25.420]  想起傳道書的一句說話
