
[00:00:00.000 --> 00:00:03.000]  感恩我們簡單有一個祈禱
[00:00:03.000 --> 00:00:05.000]  多謝天父再一次
[00:00:05.000 --> 00:00:07.000]  雖然寒冷
[00:00:07.000 --> 00:00:10.000]  都讓我們能夠在家中
[00:00:10.000 --> 00:00:13.000]  或者在一個很溫暖的地方
[00:00:13.000 --> 00:00:15.000]  我們可以在教會來到
[00:00:15.000 --> 00:00:18.000]  有一起查考聖經的時間
[00:00:18.000 --> 00:00:21.000]  願神來到帶領我們
[00:00:21.000 --> 00:00:24.000]  能夠藉著《馬拉基書》
[00:00:24.000 --> 00:00:27.000]  都去明白神祢的心意
[00:00:27.000 --> 00:00:30.000]  也都讓我們可以在其中
[00:00:30.000 --> 00:00:32.000]  特別當我們在我們自己的
[00:00:32.000 --> 00:00:35.000]  現在的敬拜生活
[00:00:35.000 --> 00:00:38.000]  都能夠符合神的心意
[00:00:38.000 --> 00:00:40.000]  願神帶領我們
[00:00:40.000 --> 00:00:42.000]  奉耶穌基督的名
[00:00:42.000 --> 00:00:44.000]  阿門
[00:00:44.000 --> 00:00:45.000]  不好意思
[00:00:45.000 --> 00:00:47.000]  不要緊 沒問題
[00:00:47.000 --> 00:00:49.000]  那
[00:00:49.000 --> 00:00:52.000]  要不要開一點風扇冷氣
[00:00:52.000 --> 00:00:54.000]  或者是
[00:00:54.000 --> 00:00:57.000]  開一點窗戶 看你們自己安排
[00:00:57.000 --> 00:00:59.000]  謝謝天父
[00:00:59.000 --> 00:01:06.000]  不要開太大
[00:01:06.000 --> 00:01:14.000]  可以 先開個窗戶
[00:01:14.000 --> 00:01:16.000]  要不要開冷氣
[00:01:16.000 --> 00:01:18.000]  不用 我不用
[00:01:18.000 --> 00:01:20.000]  好 那我們開始了
[00:01:20.000 --> 00:01:22.000]  剛剛祈完禱
[00:01:22.000 --> 00:01:25.000]  《馬拉基書》四章
[00:01:25.000 --> 00:01:29.000]  我們正式進入經文的討論裏面
[00:01:29.000 --> 00:01:31.000]  一直都提過
[00:01:31.000 --> 00:01:34.000]  就是神藉著先知馬拉基
[00:01:34.000 --> 00:01:36.000]  來到去
[00:01:36.000 --> 00:01:39.000]  透過一些反問的問題
[00:01:39.000 --> 00:01:41.000]  好像一些切問的
[00:01:41.000 --> 00:01:43.000]  先知來提出
[00:01:43.000 --> 00:01:45.000]  對以色列人
[00:01:45.000 --> 00:01:48.000]  整個民族的質詢
[00:01:48.000 --> 00:01:51.000]  這個好像很婉轉的問題
[00:01:51.000 --> 00:01:54.000]  但是當然附上了一個答案
[00:01:54.000 --> 00:01:57.000]  而很奇怪地
[00:01:57.000 --> 00:02:01.000]  讀者 或者先知構想讀者
[00:02:01.000 --> 00:02:03.000]  那個回應
[00:02:03.000 --> 00:02:05.000]  就是我們沒有
[00:02:05.000 --> 00:02:08.000]  你所描述的那個狀況
[00:02:08.000 --> 00:02:10.000]  那何以見得
[00:02:10.000 --> 00:02:13.000]  我們好像你所描述的情況呢
[00:02:13.000 --> 00:02:15.000]  那是連續
[00:02:15.000 --> 00:02:18.000]  一直延伸去到第四章都有
[00:02:18.000 --> 00:02:20.000]  當然去到三章尾
[00:02:20.000 --> 00:02:22.000]  四章是有另外的預言
[00:02:22.000 --> 00:02:24.000]  就是以利亞的降臨
[00:02:24.000 --> 00:02:26.000]  以利亞的出現
