
[00:00:00.000 --> 00:00:02.800]  請看我讀出以下的經文
[00:00:02.800 --> 00:00:13.800]  經文是記載在《老家福音》第24章第28至35節
[00:00:13.800 --> 00:00:20.400]  《新約聖經》《老家福音》24章28至35節
[00:00:20.400 --> 00:00:25.200]  在《商行本聖經》《新約》第135頁
[00:00:25.200 --> 00:00:29.600]  《商行本聖經》《新約》135頁
[00:00:30.600 --> 00:00:32.600]  請聽我讀出
[00:00:33.600 --> 00:00:36.600]  他們走近所要去的村子
[00:00:36.600 --> 00:00:39.600]  耶穌好像還要往前走
[00:00:39.600 --> 00:00:42.600]  他們卻享留他說
[00:00:42.600 --> 00:00:48.600]  時候晚了 天快黑了 請你和我們住下吧
[00:00:48.600 --> 00:00:51.600]  耶穌就進去 要和他們住下
[00:00:51.600 --> 00:00:54.600]  坐下來和他們用餐的時候
[00:00:54.600 --> 00:01:00.600]  耶穌拿起餅來 祝福了 張開 提給他們
[00:01:01.600 --> 00:01:04.600]  他們的眼睛開了 者才認出他來
[00:01:04.600 --> 00:01:08.600]  耶穌卻從他們眼前消失了
[00:01:08.600 --> 00:01:10.600]  他們彼此說
[00:01:10.600 --> 00:01:15.600]  在路上他和我們說話 給我們講解聖經的時候
[00:01:15.600 --> 00:01:20.600]  我們的心在我們裡面豈不是火熱的嗎
[00:01:20.600 --> 00:01:25.600]  於是他們立刻起來 為耶路撒冷去
[00:01:26.600 --> 00:01:32.600]  漢見十一個使徒和與他們正在一起的人聚集在一起處說
[00:01:32.600 --> 00:01:38.600]  主果然復活了 已經顯現給新們看了
[00:01:38.600 --> 00:01:43.600]  於是兩個人把路上所遇到和耶穌抹餅的時候
[00:01:43.600 --> 00:01:48.600]  怎麼被他們認出來的事都述說了一遍
[00:01:48.600 --> 00:01:52.600]  感謝神 今天我們有蔣萬宗傳道在中央政道
[00:01:53.600 --> 00:01:56.600]  也是香港基督徒學生呼音團體的總幹事
[00:01:56.600 --> 00:01:58.600]  也是本堂的義務傳道
[00:01:58.600 --> 00:02:00.600]  而今天他的講題是
[00:02:00.600 --> 00:02:03.600]  生命同行的的士
[00:02:03.600 --> 00:02:05.600]  恭敬張先生 交給張傳道
[00:02:05.600 --> 00:02:11.600]  (張傳道)
[00:02:11.600 --> 00:02:14.600]  各位丙姐妹 早安
[00:02:14.600 --> 00:02:20.600]  很感恩大家在中間一起分享上帝的話 聆聽上帝的道
[00:02:20.600 --> 00:02:25.600]  有時很不容易 我們每一個主人聚集
[00:02:25.600 --> 00:02:30.600]  我們去尋找上帝的指引 尋找上帝的盼望
[00:02:31.600 --> 00:02:35.600]  但願人的言語能夠表達上帝自己的心意
[00:02:35.600 --> 00:02:38.600]  雖然人很有限 智慧很有限
[00:02:38.600 --> 00:02:43.600]  我們也有一個聆聽的心
[00:02:43.600 --> 00:02:48.600]  也有一個盡力去學習 尋求的心
[00:02:48.600 --> 00:02:53.600]  以致我們能夠在上帝的話當中有所得著
[00:02:53.600 --> 00:02:56.600]  我也再寫一個簡短的禱告 聽今天的禱告
[00:02:56.600 --> 00:02:58.600]  願主幫助我們丙姐妹
[00:02:59.600 --> 00:03:08.600]  能夠在我們今天的狀態 心底裡
[00:03:08.600 --> 00:03:12.600]  或當我們安靜在你面前的時候
