
[00:00:00.000 --> 00:00:04.000]  (主席)謝凱薇牧師在我們當中傳講神的話語
[00:00:04.000 --> 00:00:08.000]  (主席)她的講題是「守望者的中心」
[00:00:08.000 --> 00:00:14.000]  (主席)相關的經文是記載在詩篇134篇
[00:00:14.000 --> 00:00:18.000]  (主席)舊約的902頁
[00:00:18.000 --> 00:00:21.000]  (主席)詩篇134篇
[00:00:21.000 --> 00:00:25.000]  (主席)「守望者的中心」
[00:00:29.000 --> 00:00:31.000]  (主席)詩人大衛說
[00:00:31.000 --> 00:00:34.000]  (主席)來,稱頌耶和華
[00:00:34.000 --> 00:00:37.000]  (主席)耶家是立在耶和華殿中
[00:00:37.000 --> 00:00:39.000]  (主席)耶和華的復仁
[00:00:39.000 --> 00:00:42.000]  (主席)當向聖所舉手
[00:00:42.000 --> 00:00:45.000]  (主席)稱頌耶和華
[00:00:45.000 --> 00:00:47.000]  (主席)願做天地的耶和華
[00:00:47.000 --> 00:00:51.000]  (主席)從錫安賜福給你們
[00:00:51.000 --> 00:00:55.000]  (主席)將以下時間公敬的交給謝牧師
[00:00:55.000 --> 00:00:57.000]  (主席)謝謝大家
[00:00:57.000 --> 00:00:59.000]  (主席)各位大眾請安
[00:00:59.000 --> 00:01:01.000]  (主席)各位大眾請安
[00:01:01.000 --> 00:01:03.000]  (主席)各位大眾請安
[00:01:03.000 --> 00:01:05.000]  (主席)各位大眾請安
[00:01:05.000 --> 00:01:07.000]  (主席)各位大眾請安
[00:01:07.000 --> 00:01:09.000]  (主席)在我們看神的話語之前
[00:01:09.000 --> 00:01:11.000]  (主席)我們一起祈禱
[00:01:11.000 --> 00:01:17.000]  (主席)愛你的主愛神愛你
[00:01:17.000 --> 00:01:19.000]  (主席)我們很感謝你
[00:01:19.000 --> 00:01:21.000]  (主席)你讓我們可以很平安的
[00:01:21.000 --> 00:01:23.000]  (主席)來到你面前
[00:01:23.000 --> 00:01:25.000]  (主席)去朝見你的時候
[00:01:25.000 --> 00:01:27.000]  (主席)你清潔我們的心
[00:01:27.000 --> 00:01:29.000]  (主席)用你的聖靈在我們當中
[00:01:29.000 --> 00:01:31.000]  (主席)去明白主你的心意
[00:01:31.000 --> 00:01:33.000]  (主席)用孩子的言語
[00:01:33.000 --> 00:01:35.000]  (主席)心中的意念蒙你如納
[00:01:35.000 --> 00:01:37.000]  (主席)奉主耶穌基督的名求
[00:01:37.000 --> 00:01:39.000]  (主席)阿門
[00:01:39.000 --> 00:01:43.000]  (主席)當我們今天去看
[00:01:43.000 --> 00:01:45.000]  (主席)134天的時候
[00:01:45.000 --> 00:01:57.000]  (主席)我們看守望者
[00:01:57.000 --> 00:01:59.000]  (主席)如何在他的侍奉中
[00:01:59.000 --> 00:02:01.000]  (主席)忠心耿耿的
[00:02:01.000 --> 00:02:03.000]  (主席)我們去想想
[00:02:03.000 --> 00:02:05.000]  (主席)這首詩篇是
[00:02:05.000 --> 00:02:07.000]  (主席)上行之詩
[00:02:07.000 --> 00:02:09.000]  (主席)在上行詩中有15篇
[00:02:09.000 --> 00:02:11.000]  (主席)這篇就是
[00:02:11.000 --> 00:02:13.000]  (主席)最後的篇
[00:02:13.000 --> 00:02:15.000]  (主席)第15篇
[00:02:15.000 --> 00:02:17.000]  (主席)這首上行詩
[00:02:17.000 --> 00:02:19.000]  (主席)是一個重站的詩篇
[00:02:19.000 --> 00:02:21.000]  (主席)和朝聖者也有些關係
[00:02:21.000 --> 00:02:25.000]  (主席)其實我們教會
[00:02:25.000 --> 00:02:27.000]  (主席)在去年5月份的時候
[00:02:27.000 --> 00:02:29.000]  (主席)本來也想去聖地
[00:02:29.000 --> 00:02:31.000]  (主席)剛好遇到
[00:02:31.000 --> 00:02:33.000]  (主席)埃及的總統下台
[00:02:33.000 --> 00:02:35.000]  (主席)於是就引起
[00:02:35.000 --> 00:02:37.000]  (主席)在周邊的中東國家
[00:02:37.000 --> 00:02:39.000]  (主席)都有很大的影響
[00:02:39.000 --> 00:02:41.000]  (主席)於是我們那次的決定
[00:02:41.000 --> 00:02:43.000]  (主席)就不成團了
[00:02:43.000 --> 00:02:45.000]  (主席)就沒有去
[00:02:45.000 --> 00:02:47.000]  (主席)這首詩其實
[00:02:47.000 --> 00:02:49.000]  (主席)在互相問候
[00:02:49.000 --> 00:02:51.000]  (主席)其實有兩類的人
[00:02:51.000 --> 00:02:53.000]  (主席)就是朝聖者
[00:02:53.000 --> 00:02:55.000]  (主席)和在聖殿裏面
[00:02:55.000 --> 00:02:57.000]  (主席)那班的祭司
[00:02:57.000 --> 00:02:59.000]  (主席)他們在侍奉
[00:02:59.000 --> 00:03:01.000]  (主席)這班人
[00:03:01.000 --> 00:03:03.000]  (主席)這兩類的人
[00:03:03.000 --> 00:03:05.000]  (主席)他們在互相賜意
[00:03:05.000 --> 00:03:07.000]  (主席)《上行之詩》
[00:03:07.000 --> 00:03:09.000]  (主席)有15篇
[00:03:09.000 --> 00:03:11.000]  (主席)由120篇
[00:03:11.000 --> 00:03:13.000]  (主席)去到134篇
[00:03:13.000 --> 00:03:15.000]  (主席)一般人就認為
[00:03:15.000 --> 00:03:17.000]  (主席)這些可能是秘魯時期的猶太人
[00:03:17.000 --> 00:03:19.000]  (主席)他們回到耶路撒冷
[00:03:19.000 --> 00:03:21.000]  (主席)他們一路走的時候
[00:03:21.000 --> 00:03:23.000]  (主席)就會聽到詩歌
[00:03:23.000 --> 00:03:25.000]  (主席)有些人認為是這樣
[00:03:25.000 --> 00:03:27.000]  (主席)但有些學者就認為
[00:03:27.000 --> 00:03:29.000]  (主席)一年他們有三次朝見
[00:03:29.000 --> 00:03:31.000]  (主席)於是
[00:03:31.000 --> 00:03:33.000]  (主席)他們去到聖殿
[00:03:33.000 --> 00:03:35.000]  (主席)就會唱這些詩歌
[00:03:35.000 --> 00:03:37.000]  (主席)他們一步一步唱
[00:03:37.000 --> 00:03:39.000]  (主席)而這134篇
[00:03:39.000 --> 00:03:41.000]  (主席)馬丁·盧德
