
[00:00:00.000 --> 00:00:03.000]  好 和大英姐妹一起同心禱告
[00:00:03.000 --> 00:00:04.800]  再一次多謝天父
[00:00:04.800 --> 00:00:09.640]  晚上我們又能夠安靜地去研讀羅馬書
[00:00:09.640 --> 00:00:11.760]  多謝您讓我們能夠有一卷
[00:00:11.760 --> 00:00:15.360]  這麼有系統去講解福音的書卷
[00:00:15.360 --> 00:00:18.720]  我們很盼望藉著舍圖保羅
[00:00:18.720 --> 00:00:22.560]  讓我們看到神國的規模
[00:00:22.560 --> 00:00:24.240]  那個福氣
[00:00:24.240 --> 00:00:29.120]  以及我們能夠進入這一份這麼大的恩典
[00:00:29.120 --> 00:00:32.240]  我們去掌握、我們去享用
[00:00:32.240 --> 00:00:34.240]  更加重要的是我們能夠
[00:00:34.240 --> 00:00:36.080]  好像保羅所講的
[00:00:36.080 --> 00:00:39.360]  要有一個欠福音的債
[00:00:39.360 --> 00:00:40.560]  這樣的心情
[00:00:40.560 --> 00:00:46.640]  以致他盡力去將神的恩典與人分享
[00:00:46.640 --> 00:00:49.840]  我們很盼望主給我們有不同的機會
[00:00:49.840 --> 00:00:51.600]  有不同的學習
[00:00:51.600 --> 00:00:54.960]  在神安排我們的人生
[00:00:54.960 --> 00:01:00.560]  來很有力地、很專注地去傳講
[00:01:00.560 --> 00:01:02.400]  認識我們的人
[00:01:02.400 --> 00:01:04.080]  得到福音的好處
[00:01:04.080 --> 00:01:06.800]  今晚我們仰望在你的手中
[00:01:06.800 --> 00:01:10.560]  這樣禱告奉耶穌基督的名
[00:01:10.560 --> 00:01:11.920]  阿們
[00:01:11.920 --> 00:01:17.360]  簡單的一個再幫大家做一點回顧
[00:01:17.360 --> 00:01:20.880]  在經文裏面
[00:01:20.880 --> 00:01:25.200]  我們當然收集範圍
[00:01:25.200 --> 00:01:27.680]  由三章的二十一節
[00:01:27.680 --> 00:01:30.080]  就是神的義
[00:01:30.080 --> 00:01:33.440]  是甚麼人可以得到呢?
[00:01:33.440 --> 00:01:36.480]  就是賜給一切相信的人
[00:01:36.480 --> 00:01:40.720]  所以是說萬民都可以恩信稱義
[00:01:40.720 --> 00:01:43.200]  萬民都可以得到福音
[00:01:43.200 --> 00:01:44.560]  如果不是
[00:01:44.560 --> 00:01:47.360]  萬民都在神的陣路
[00:01:47.360 --> 00:01:50.800]  虧欠了、虧缺了神的榮耀
[00:01:50.800 --> 00:01:55.520]  但是我們今天會集中在第五章這一段
[00:01:55.520 --> 00:01:58.160]  當然第四章我們用了兩節
[00:01:58.160 --> 00:02:02.720]  講到其實舊約已經有恩信稱義
[00:02:02.720 --> 00:02:04.800]  這個運作
[00:02:04.800 --> 00:02:07.040]  這個概念
[00:02:07.040 --> 00:02:09.600]  以及神的安排
[00:02:09.600 --> 00:02:13.680]  保羅很巧妙地將阿伯拉罕
[00:02:13.680 --> 00:02:15.680]  他未改名之前
[00:02:15.680 --> 00:02:19.520]  已經神來呼召他
[00:02:19.520 --> 00:02:23.360]  給他有這種眼光
[00:02:23.360 --> 00:02:25.680]  就是他相信神
[00:02:25.680 --> 00:02:29.440]  他就可以得到他暫時未得到的
[00:02:29.440 --> 00:02:32.080]  因為第十五章的《創世紀》
[00:02:32.080 --> 00:02:36.160]  他當時是完全未能夠生他自己的兒子的
[00:02:36.160 --> 00:02:38.720]  連這個以實瑪利都未出世的
[00:02:38.720 --> 00:02:43.600]  神就已經叫他去相信神的應許
[00:02:43.600 --> 00:02:46.800]  他相信神就以此
[00:02:46.800 --> 00:02:48.880]  就是以他這樣的信心
