
[00:00:00.000 --> 00:00:02.000]  各位政士晚安
[00:00:02.000 --> 00:00:04.000]  我的聲音清楚嗎
[00:00:04.000 --> 00:00:04.660]  OK
[00:00:04.660 --> 00:00:08.200]  其實今天講題是「全方位的教會」
[00:00:08.200 --> 00:00:09.720]  不是我定的
[00:00:09.720 --> 00:00:12.600]  我是被指派要講這個題目的
[00:00:12.600 --> 00:00:14.120]  想這個題目的時候
[00:00:14.120 --> 00:00:15.800]  想想講甚麼經文好呢
[00:00:15.800 --> 00:00:17.440]  想來想去 返來覆去
[00:00:17.440 --> 00:00:19.200]  最終都是講大使命
[00:00:19.200 --> 00:00:22.800]  全方位很難避開大使命這件事
[00:00:22.800 --> 00:00:26.440]  另外我們要定義一下甚麼叫「福音」
[00:00:26.440 --> 00:00:31.240]  聽到「全方位」「全方位」 福音是甚麼
[00:00:31.240 --> 00:00:33.240]  福音是甚麼
[00:00:33.240 --> 00:00:36.040]  是否叫人信耶穌那麼簡單
[00:00:36.040 --> 00:00:38.840]  福音其實在原文的時候
[00:00:38.840 --> 00:00:41.320]  意思是好消息
[00:00:41.320 --> 00:00:43.400]  用「好消息」這三個字
[00:00:43.400 --> 00:00:46.080]  原文不是三個字 中文
[00:00:46.080 --> 00:00:47.720]  用「好消息」這幾個字
[00:00:47.720 --> 00:00:51.600]  是在說一些在皇室裏面的好事發生
[00:00:51.600 --> 00:00:53.120]  大件事發生
[00:00:53.120 --> 00:00:55.160]  譬如有新的皇帝登基
[00:00:55.160 --> 00:00:56.560]  有皇子出世
[00:00:56.560 --> 00:00:58.680]  這些才叫好消息
[00:00:58.680 --> 00:01:02.640]  當時福音傳這個甚麼好消息呢
[00:01:02.640 --> 00:01:06.080]  就是一個天國的君王誕生
[00:01:06.080 --> 00:01:08.520]  耶穌基督他來到這個世界
[00:01:08.520 --> 00:01:11.800]  他生來就是作猶太人的王
[00:01:11.800 --> 00:01:15.120]  那時候我們浸禮班也有教
[00:01:15.120 --> 00:01:16.520]  四重福音
[00:01:16.520 --> 00:01:19.040]  皇冠代表甚麼
[00:01:19.040 --> 00:01:21.520]  皇冠代表甚麼
[00:01:21.520 --> 00:01:22.640]  慘了沒有人回答我
[00:01:22.640 --> 00:01:24.400]  浸禮班有沒有上課
[00:01:24.400 --> 00:01:26.000]  在來的君王
[00:01:26.000 --> 00:01:28.440]  皇冠代表在來的君王
[00:01:28.440 --> 00:01:30.200]  耶穌基督是君王
[00:01:30.200 --> 00:01:33.880]  所以當我們去講這個好消息的時候
[00:01:33.880 --> 00:01:35.280]  講這個福音的時候
[00:01:35.280 --> 00:01:36.680]  我們就是告訴別人
[00:01:36.680 --> 00:01:38.880]  有一個君王來到
[00:01:38.880 --> 00:01:40.680]  有一個君王在這個世界上
[00:01:40.680 --> 00:01:43.360]  並且他會再一次降臨
[00:01:43.360 --> 00:01:45.040]  大使命那裏講到
[00:01:45.040 --> 00:01:46.320]  第十八節
[00:01:46.320 --> 00:01:48.760]  就是耶穌進前來對他們說
[00:01:48.760 --> 00:01:51.960]  天上地下所有的權柄都賜給我
[00:01:51.960 --> 00:01:54.360]  耶穌他升天之前
[00:01:54.360 --> 00:01:56.400]  他就賜下這個大使命
[00:01:56.400 --> 00:01:59.440]  他說天上地下的權柄都賜給他
[00:01:59.440 --> 00:02:00.840]  但我又會問
[00:02:00.840 --> 00:02:02.720]  為甚麼要講權柄
[00:02:02.720 --> 00:02:04.080]  在這個時間
[00:02:04.080 --> 00:02:06.800]  在他要走的時候為甚麼要講權柄
[00:02:06.800 --> 00:02:10.560]  他上去是否沒有事做
[00:02:10.560 --> 00:02:12.520]  坐在父上帝的右邊
[00:02:12.520 --> 00:02:14.160]  然後就跳腳
[00:02:14.160 --> 00:02:18.400]  看著下面你們這些基督徒慢慢捱
[00:02:18.400 --> 00:02:20.280]  不是這樣的
[00:02:20.280 --> 00:02:23.080]  我想你都相信耶穌基督上天之後
[00:02:23.080 --> 00:02:25.200]  他不是坐在那裏欣賞
[00:02:25.200 --> 00:02:29.520]  我們在世界要繼續生活的日子
[00:02:29.520 --> 00:02:31.280]  他一定是回去
[00:02:31.280 --> 00:02:33.480]  然後預備一些東西再來
[00:02:33.480 --> 00:02:35.960]  我們叫他做再來的君王
[00:02:35.960 --> 00:02:37.560]  他回去的時候
