
[00:00:00.000 --> 00:00:03.400]  我從北角帶來向大家的問安
[00:00:03.400 --> 00:00:06.000]  大家都是主內宣道會的弟兄姊妹
[00:00:06.000 --> 00:00:09.000]  願你們在疫情裏面充滿主的恩典
[00:00:09.000 --> 00:00:11.200]  很感謝曾牧師的邀請
[00:00:11.200 --> 00:00:14.400]  讓我今天可以和錦繡堂的各位分享神的話語
[00:00:14.400 --> 00:00:17.800]  今天我們看《若白記》
[00:00:17.800 --> 00:00:20.600]  我相信你過去也略略看過
[00:00:20.600 --> 00:00:23.000]  整本看不容易
[00:00:23.000 --> 00:00:25.000]  所以今天我們也抽取其中一章
[00:00:25.000 --> 00:00:28.200]  去思考其中神給我們的真理
[00:00:28.800 --> 00:00:30.200]  信主年日越長
[00:00:30.200 --> 00:00:32.200]  我不知道你自己有沒有感受到
[00:00:32.200 --> 00:00:33.200]  你的熱情
[00:00:33.200 --> 00:00:34.800]  信仰的熱情
[00:00:34.800 --> 00:00:36.200]  是消退的
[00:00:36.200 --> 00:00:38.200]  遇上劇變
[00:00:38.200 --> 00:00:40.600]  甚至你會覺得這個世界都是倒塌的
[00:00:40.600 --> 00:00:42.800]  信仰對於你來說有一種
[00:00:42.800 --> 00:00:45.200]  沒什麼力量的感覺
[00:00:45.200 --> 00:00:46.800]  更大的問題
[00:00:46.800 --> 00:00:47.800]  更大的困局
[00:00:47.800 --> 00:00:49.400]  更大的苦難
[00:00:49.400 --> 00:00:52.000]  有時候人是沒力去應對
[00:00:52.000 --> 00:00:55.000]  反而我們是很希望得著的
[00:00:55.000 --> 00:00:57.000]  有沒有一些更實在
[00:00:57.600 --> 00:00:59.800]  人生的洞見
[00:00:59.800 --> 00:01:01.800]  人生的insight
[00:01:01.800 --> 00:01:04.200]  可以讓你去經歷到呢
[00:01:04.200 --> 00:01:06.800]  《若白記》
[00:01:06.800 --> 00:01:09.400]  是一卷智慧的文學
[00:01:09.400 --> 00:01:11.200]  我們都認識了
[00:01:11.200 --> 00:01:14.600]  它是抽空這樣建構了一個極度差的處境
[00:01:14.600 --> 00:01:15.800]  一個異人
[00:01:15.800 --> 00:01:17.400]  他在生命裏面經歷
[00:01:17.400 --> 00:01:19.400]  一個很大的難關
[00:01:19.400 --> 00:01:22.600]  很多的刺在他生命當中經過
[00:01:22.600 --> 00:01:24.200]  而他這個正直的人
[00:01:24.200 --> 00:01:26.800]  因為一場天庭的辯論
[00:01:27.200 --> 00:01:29.600]  無情的苦難突然間就臨到
[00:01:29.600 --> 00:01:31.600]  若白頓失所有
[00:01:31.600 --> 00:01:32.600]  他很不明白
[00:01:32.600 --> 00:01:34.800]  身邊的朋友來問他
[00:01:34.800 --> 00:01:35.600]  探他
[00:01:35.600 --> 00:01:38.800]  大家開始拿出一句一句的淑寧的金句
[00:01:38.800 --> 00:01:41.200]  甚至開始跟他理論
[00:01:41.200 --> 00:01:44.000]  但是各人都解答不了
[00:01:44.000 --> 00:01:45.400]  為什麼為什麼為什麼
[00:01:45.400 --> 00:01:47.400]  若白會遭遇到這一切的事
[00:01:47.400 --> 00:01:49.000]  而且到了後期他們還
[00:01:49.000 --> 00:01:50.400]  blame the victim
[00:01:50.400 --> 00:01:53.600]  你是不是做了一些很壞的事啊
[00:01:53.600 --> 00:01:56.000]  很多的壞事我們不知道
[00:01:56.000 --> 00:01:57.000]  有報應啊
[00:01:58.000 --> 00:02:00.400]  他們說了二十多章
[00:02:00.400 --> 00:02:01.600]  到了二十七章
[00:02:01.600 --> 00:02:04.200]  這位若白仍然堅持自己是清白
[00:02:04.200 --> 00:02:05.200]  正直
[00:02:05.200 --> 00:02:09.200]  然後兩章之後的二十九章
[00:02:09.200 --> 00:02:10.800]  若白
[00:02:10.800 --> 00:02:12.000]  轉向神
[00:02:12.000 --> 00:02:13.800]  他在神面前去起誓
[00:02:13.800 --> 00:02:16.800]  他要求神去回答他為什麼
[00:02:16.800 --> 00:02:19.600]  夾在二十七章
[00:02:19.600 --> 00:02:21.400]  朋友的控訴
[00:02:21.400 --> 00:02:24.000]  和二十九章要神去回應
[00:02:24.000 --> 00:02:24.800]  這個中間
[00:02:24.800 --> 00:02:26.800]  就是我們今天要看的這一章二十八章
[00:02:27.800 --> 00:02:29.600]  這一章不是出自若白
[00:02:29.600 --> 00:02:30.600]  或者他朋友的口
[00:02:30.600 --> 00:02:35.200]  而是來自經文的旁白所讀出的一篇詩歌
[00:02:35.200 --> 00:02:38.800]  正正就是因為之前他們的討論
