
[00:00:00.000 --> 00:00:05.000]  陳牧師是本堂的傳道人,大家都很熟悉了。
[00:00:05.000 --> 00:00:12.000]  今天陳牧師所正道的主題是「天國子民的歡樂」。
[00:00:12.000 --> 00:00:21.000]  陳牧師選用的相關經文是在《路加福音》第十章十七至二十四節,
[00:00:21.000 --> 00:00:30.000]  那七十二個人歡歡喜喜地回來,說:「主啊,因祢的名,就是鬼也服了我們。」
[00:00:30.000 --> 00:00:37.000]  耶穌對他們說:「我看見撒旦從天上墜落,像閃電一樣。
[00:00:37.000 --> 00:00:49.000]  我已經給你們權柄,可以踐踏蛇和蠍子,有勝過仇敵一切的能力,絕沒有什麼能害你們。
[00:00:49.000 --> 00:00:59.000]  然而,不要因靈服了你們就歡喜,而要因你們的名記錄在天上歡喜。」
[00:00:59.000 --> 00:01:09.000]  正當那時,耶穌被聖靈感動而歡喜快樂,說:「父啊,天地的主,我感謝祢,
[00:01:09.000 --> 00:01:18.000]  因為祢把這些事向聰明智慧的人隱藏起來,而向鷹孩啟示出來。
[00:01:18.000 --> 00:01:27.000]  父啊,是的,因為祢的美衣本是如此,一切都是我父交給我的。
[00:01:27.000 --> 00:01:37.000]  除了父,沒有人知道子是誰。除了子和子所願意啟示的人,沒有人知道父是誰。」
[00:01:37.000 --> 00:01:46.000]  耶穌轉身,私下對他們說:「看見你們所看見的,那眼睛有福了。
[00:01:46.000 --> 00:01:57.000]  我告訴你們,從前有許多先知和君王,要看你們所看的,卻沒有看見,要聽你們所聽的,卻沒有聽見。」
[00:01:57.000 --> 00:02:01.000]  聖經讀筆,將以下時間公敬交給陳牧師。
[00:02:01.000 --> 00:02:09.000]  鄭英姐妹,早安!感謝主,今天我們又用上帝的說話,一起彼此勉勵。
[00:02:09.000 --> 00:02:23.000]  多謝鄭偉大兄,剛才我們讀出那段經文,一邊看一邊聽的時候,有沒有發覺到有些詞語出現了,次數都很多。
[00:02:23.000 --> 00:02:30.000]  講「歡喜」、「快樂」那些詞語,在當中出現了三次。
[00:02:30.000 --> 00:02:43.000]  在第十七節,當那七十二個人出外報到回來之後,他們就「歡歡喜喜」來做報道的報告。
[00:02:43.000 --> 00:02:57.000]  當他們報告完之後,耶穌就說,你們不要因為那些靈服了而歡喜,要因為你們的名記錄在天上而去歡喜。
[00:02:57.000 --> 00:03:07.000]  這裡有兩次。然後,耶穌自己就被聖靈感動,非常的歡喜。
[00:03:07.000 --> 00:03:20.000]  所以總共應該出現了四次。所以今天從這段經文裡面,我們來看看快樂和報道。
