
[00:00:00.000 --> 00:00:03.000]  「神道為你」報道團的團長
[00:00:03.000 --> 00:00:04.700]  我現在讀經
[00:00:04.700 --> 00:00:08.500]  《路加福音》第十九章十一至二十七節
[00:00:08.500 --> 00:00:10.900]  和《約翰福音》一章十六節
[00:00:10.900 --> 00:00:12.000]  請聽我讀
[00:00:12.000 --> 00:00:16.000]  眾人正聽見這些話的時候
[00:00:16.000 --> 00:00:19.000]  耶穌因為將近耶路撒冷
[00:00:19.000 --> 00:00:23.000]  又因他們以為神的國快要顯現
[00:00:23.000 --> 00:00:25.500]  就接著講了一個比喻
[00:00:25.500 --> 00:00:29.300]  說:有一個貴族往遠方去
[00:00:29.300 --> 00:00:33.000]  為要取得王位然後回來
[00:00:33.000 --> 00:00:36.000]  他叫了自己的十個僕人來
[00:00:36.000 --> 00:00:38.700]  交給他們十錠銀子說:
[00:00:38.700 --> 00:00:42.500]  你們去做生意直到我回來
[00:00:42.500 --> 00:00:46.000]  他本國的百姓卻恨他
[00:00:46.000 --> 00:00:48.500]  打發使者隨後去說:
[00:00:48.500 --> 00:00:52.500]  我們不願意這個人作我們的主的王
[00:00:52.500 --> 00:00:54.500]  他得了王位回來
[00:00:54.500 --> 00:00:57.800]  就吩咐叫那領銀子的僕人來
[00:00:57.800 --> 00:01:01.800]  要知道他們做生意賺了多少
[00:01:01.800 --> 00:01:03.500]  頭一個上來說:
[00:01:03.500 --> 00:01:07.800]  主啊!你的一定銀子已經賺了十錠
[00:01:07.800 --> 00:01:09.500]  主人對他說:
[00:01:09.500 --> 00:01:12.200]  好!我善良的僕人
[00:01:12.200 --> 00:01:15.000]  你既在最小的至上中心
[00:01:15.000 --> 00:01:17.800]  你有權並管十座城
[00:01:17.800 --> 00:01:19.500]  第二個來說:
[00:01:19.500 --> 00:01:23.800]  主啊!你的一定銀子已經賺了五錠
[00:01:23.800 --> 00:01:25.800]  主人也對這個說:
[00:01:25.800 --> 00:01:27.800]  你管五座城
[00:01:27.800 --> 00:01:29.800]  又有一個來說:
[00:01:29.800 --> 00:01:33.500]  主啊!看啊!你的一定銀子在這裡
[00:01:33.500 --> 00:01:36.800]  我把它包在手巾裡存著
[00:01:36.800 --> 00:01:39.800]  我向來怕你
[00:01:39.800 --> 00:01:42.000]  因為你是賢厲的人
[00:01:42.000 --> 00:01:44.300]  沒有放的也要去拿
[00:01:44.300 --> 00:01:47.300]  沒有中的也要去收
[00:01:47.300 --> 00:01:48.800]  主人對他說:
[00:01:48.800 --> 00:01:50.000]  你這惡僕
[00:01:50.000 --> 00:01:52.500]  我要憑你的話定你的罪
[00:01:52.500 --> 00:01:54.800]  你既知道我是賢厲的人
[00:01:54.800 --> 00:01:56.800]  沒有放的也要去拿
[00:01:56.800 --> 00:01:59.300]  沒有中的也要去收
[00:01:59.300 --> 00:02:02.300]  為什麼不把我的銀子存在銀河
