
[00:00:00.000 --> 00:00:03.000]  蔡鼎志 各位早上好
[00:00:03.000 --> 00:00:05.000]  早上好
[00:00:05.000 --> 00:00:08.000]  很感恩可以見到大家
[00:00:08.000 --> 00:00:12.000]  第一方面這一區對我來說
[00:00:12.000 --> 00:00:17.000]  和我現在上班的地點是有些不同的感覺的
[00:00:17.000 --> 00:00:20.000]  所以我也沒有一個特別的動機
[00:00:20.000 --> 00:00:26.000]  是想要推展自己在這一區做一些觀光
[00:00:26.000 --> 00:00:31.000]  所以多謝永富博士這一次的邀請
[00:00:31.000 --> 00:00:35.000]  我就可以今早在湖邊這麼美的地方
[00:00:35.000 --> 00:00:40.000]  見識一下這個社區是怎麼一回事
[00:00:40.000 --> 00:00:42.000]  不過說真的
[00:00:42.000 --> 00:00:47.000]  我這五年來對很多邀請我的教會和學生說
[00:00:47.000 --> 00:00:51.000]  我不會接任何主要的所拜
[00:00:51.000 --> 00:00:54.000]  包括我的校董邀請我 我都不去的
[00:00:54.000 --> 00:00:59.000]  原因是我的教會有三間我做顧問
[00:00:59.000 --> 00:01:01.000]  有很大的需要
[00:01:01.000 --> 00:01:03.000]  而我的教會是普通話教會
[00:01:03.000 --> 00:01:07.000]  是你們旁邊的在上水廣場上面20樓
[00:01:07.000 --> 00:01:11.000]  你知道這幾年普通話的人口是增加的
[00:01:11.000 --> 00:01:13.000]  很多事情要想
[00:01:13.000 --> 00:01:19.000]  所以我自己就想專心去默養我的鼎志妹多個話
[00:01:19.000 --> 00:01:21.000]  多字不講道 少字不講道
[00:01:21.000 --> 00:01:23.000]  所以除了我先生的教會
[00:01:23.000 --> 00:01:25.000]  他也做同主任的
[00:01:25.000 --> 00:01:28.000]  他有兩間同 我有三間同
[00:01:28.000 --> 00:01:30.000]  所以我們很忙碌的
[00:01:30.000 --> 00:01:32.000]  中間有五間教會
[00:01:32.000 --> 00:01:34.000]  已經夠的了
[00:01:34.000 --> 00:01:39.000]  我心中想你們祝福我多過我來這裡說什麼
[00:01:39.000 --> 00:01:42.000]  多謝剛才的師班 多謝Annie
[00:01:42.000 --> 00:01:45.000]  那把聲音真的很美
[00:01:45.000 --> 00:01:48.000]  我很少已經聽到這麼美的聲音
[00:01:48.000 --> 00:01:50.000]  還有你們這麼年輕
[00:01:50.000 --> 00:01:55.000]  那個和諧也令我感覺這裡有很多的恩典
[00:01:55.000 --> 00:01:57.000]  很多的恩賜
[00:01:57.000 --> 00:01:59.000]  選擇這個題目
[00:01:59.000 --> 00:02:03.000]  我想既然都要出來講一篇
[00:02:03.000 --> 00:02:06.000]  有什麼訊息給大家呢
[00:02:06.000 --> 00:02:10.000]  雖然我說我不接主教崇拜講道
