
[00:00:00.000 --> 00:00:02.000]  大兄姊妹 早安
[00:00:02.000 --> 00:00:06.000]  今早雖然疫情的緣故
[00:00:06.000 --> 00:00:09.000]  我們沒有辦法大家面對面
[00:00:09.000 --> 00:00:11.000]  來實體的崇拜
[00:00:11.000 --> 00:00:15.000]  不過牧師也跟你一樣
[00:00:15.000 --> 00:00:18.000]  也很想這個疫情快點過去
[00:00:18.000 --> 00:00:20.000]  等到有朝一日
[00:00:20.000 --> 00:00:23.000]  我們大家又再面對面
[00:00:23.000 --> 00:00:27.000]  大家一起有一個很親切的
[00:00:27.000 --> 00:00:29.000]  實體的崇拜
[00:00:29.000 --> 00:00:35.000]  雖然今早我們是透過直播來崇拜
[00:00:35.000 --> 00:00:40.000]  牧師也很想跟大家分享今天的信息
[00:00:40.000 --> 00:00:42.000]  剛才林姑娘告訴我們
[00:00:42.000 --> 00:00:47.000]  這個暑日是張臨期的第三周
[00:00:47.000 --> 00:00:49.000]  換句話來說
[00:00:49.000 --> 00:00:51.000]  我們也是去紀念主耶穌
[00:00:51.000 --> 00:00:54.000]  祂快要降臨在地上
[00:00:54.000 --> 00:00:58.000]  在降生的日子之前
[00:00:58.000 --> 00:01:01.000]  我們可以多點來紀念主
[00:01:01.000 --> 00:01:05.000]  思念到主的偉大的愛
[00:01:05.000 --> 00:01:09.000]  所以今早牧師的信息
[00:01:09.000 --> 00:01:12.000]  也是跟主耶穌有關的
[00:01:12.000 --> 00:01:16.000]  就是耶穌在來到世間上的時候
[00:01:16.000 --> 00:01:19.000]  祂的傳道、祂的工作
[00:01:19.000 --> 00:01:22.000]  對我們在靈性上有什麼啟發呢?
[00:01:22.000 --> 00:01:27.000]  我今天的題目就叫做「神跡旅程」
[00:01:27.000 --> 00:01:29.000]  我會分開三個段落
[00:01:29.000 --> 00:01:33.000]  第一個段落就是「神跡背景」
[00:01:33.000 --> 00:01:37.000]  第二個段落就是「神跡特色」
[00:01:37.000 --> 00:01:41.000]  第三個段落就是「神跡旅程」
[00:01:41.000 --> 00:01:43.000]  我會用這三個段落
[00:01:43.000 --> 00:01:46.000]  跟大家一起分享
[00:01:46.000 --> 00:01:50.000]  首先我們思念到
[00:01:50.000 --> 00:01:52.000]  耶穌在世間上
[00:01:52.000 --> 00:01:55.000]  祂傳道的日子雖然不是很長
[00:01:55.000 --> 00:01:59.000]  大家都知道祂只有三年多的時間
[00:01:59.000 --> 00:02:02.000]  雖然是短短的日子當中
[00:02:02.000 --> 00:02:06.000]  但是耶穌在傳道的過程當中
[00:02:06.000 --> 00:02:09.000]  祂帶給我們很好的榜樣
[00:02:09.000 --> 00:02:13.000]  祂不單止宣講天國的福音
[00:02:13.000 --> 00:02:16.000]  祂也很關注人的需要
[00:02:16.000 --> 00:02:21.000]  特別是人在身心靈的需要
[00:02:21.000 --> 00:02:23.000]  所以耶穌在傳道當中
[00:02:23.000 --> 00:02:28.000]  祂仍然做很多神跡的歧視
[00:02:28.000 --> 00:02:34.000]  祂有醫病、有講鬼、探訪有需要的人
[00:02:34.000 --> 00:02:38.000]  我們看到耶穌所傳的福音
[00:02:38.000 --> 00:02:40.000]  是一個全人的福音
[00:02:40.000 --> 00:02:44.000]  對我們每一個人心心、捨靈
[00:02:44.000 --> 00:02:47.000]  都有一個很直接的關係
[00:02:47.000 --> 00:02:51.000]  是一個全人的福音
[00:02:51.000 --> 00:02:56.000]  所以我們今天在耶穌當年的傳道中
[00:02:56.000 --> 00:02:58.000]  選取了其中一項
[00:02:58.000 --> 00:03:01.000]  祂做過的工作的地點
[00:03:01.000 --> 00:03:06.000]  發生在加伯隆這個地方
[00:03:06.000 --> 00:03:13.000]  這個神跡也是耶穌早期傳道的時候發生的
[00:03:13.000 --> 00:03:16.000]  到底發生了什麼事呢?
[00:03:16.000 --> 00:03:22.000]  我們首先來看看這個神跡的背景
[00:03:22.000 --> 00:03:25.000]  我忘記了給大家看powerpoint
[00:03:25.000 --> 00:03:30.000]  證明牧師也不是很擅於操縱powerpoint
[00:03:30.000 --> 00:03:37.000]  第一樣我們看這個神跡的背景
[00:03:37.000 --> 00:03:44.000]  我們發覺這個神跡就在加伯隆的地方
[00:03:44.000 --> 00:03:46.000]  加伯隆在什麼地方呢?
[00:03:46.000 --> 00:03:52.000]  原來加伯隆是一個很重要的城市
[00:03:52.000 --> 00:03:59.000]  早期我們知道這個城市是由希律阿基伯安提伯
[00:03:59.000 --> 00:04:02.000]  來管轄這個城市
[00:04:02.000 --> 00:04:06.000]  但是他也是直屬羅馬帝國
[00:04:06.000 --> 00:04:13.000]  所以羅馬帝國就在這個城裡面設有駐防兵
[00:04:13.000 --> 00:04:15.000]  因為這個城也很重要
[00:04:15.000 --> 00:04:17.000]  所以他有駐防兵在當中
[00:04:17.000 --> 00:04:19.000]  不單止這樣
[00:04:19.000 --> 00:04:23.000]  也有一個關卡專門收稅的
[00:04:23.000 --> 00:04:30.000]  即是說人的出入、貨品的出入、人流、物流都要交稅的
