
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹晚安
[00:00:02.000 --> 00:00:04.000]  在我講到之前
[00:00:04.000 --> 00:00:06.000]  首先要多謝敬拜小組
[00:00:06.000 --> 00:00:09.000]  今晚你們帶來的詩歌
[00:00:09.000 --> 00:00:12.000]  是非常鼓勵我們
[00:00:12.000 --> 00:00:15.000]  尤其是唱到靠著耶穌得勝
[00:00:15.000 --> 00:00:18.000]  弟兄姊妹你們得到激勵嗎?
[00:00:18.000 --> 00:00:20.000]  很感恩,很感謝你們
[00:00:20.000 --> 00:00:23.000]  讓我們進入崇拜當中
[00:00:23.000 --> 00:00:28.000]  才有這些詩歌來培養我們的心靈
[00:00:28.000 --> 00:00:30.000]  我們就去敬拜
[00:00:30.000 --> 00:00:32.000]  牧師開始講到之前
[00:00:32.000 --> 00:00:34.000]  我們一起祈禱
[00:00:34.000 --> 00:00:39.000]  天父,我們今天晚上在你面前
[00:00:39.000 --> 00:00:41.000]  每一位屬你的兒女
[00:00:41.000 --> 00:00:45.000]  我們都願意以靈以誠地敬拜你
[00:00:45.000 --> 00:00:49.000]  因為你就是那位獨一無二
[00:00:49.000 --> 00:00:52.000]  也是獨行其事的上帝
[00:00:52.000 --> 00:00:55.000]  所以我們的心專注地歸向你
[00:00:55.000 --> 00:00:58.000]  求你讓我們在崇拜當中
[00:00:58.000 --> 00:01:01.000]  來到更多的親近你
[00:01:01.000 --> 00:01:03.000]  也透過你的話語
[00:01:03.000 --> 00:01:05.000]  成為了我們的激勵
[00:01:05.000 --> 00:01:09.000]  成為了我們像腳前的燈
[00:01:09.000 --> 00:01:12.000]  路上的光,引領我們
[00:01:12.000 --> 00:01:14.000]  我們這樣同心祈禱
[00:01:14.000 --> 00:01:17.000]  奉耶穌名給,阿們
[00:01:17.000 --> 00:01:18.000]  各位弟兄姊妹
[00:01:18.000 --> 00:01:21.000]  今晚我們看的經文
[00:01:21.000 --> 00:01:23.000]  其實是很短的
[00:01:23.000 --> 00:01:25.000]  只有三節
[00:01:25.000 --> 00:01:28.000]  所以你知道牧師今晚講到不會很長
[00:01:28.000 --> 00:01:31.000]  三節就講完了
[00:01:31.000 --> 00:01:33.000]  今晚這段聖經
[00:01:33.000 --> 00:01:37.000]  短得來又容易被人忽略
[00:01:37.000 --> 00:01:39.000]  尤其是當你自己靈修
[00:01:39.000 --> 00:01:41.000]  或者是查經的時候
[00:01:41.000 --> 00:01:45.000]  如果那段事跡是很長
[00:01:45.000 --> 00:01:46.000]  你會留心一點
