
[00:00:00.000 --> 00:00:02.000]  (字幕:梁繼昌)
[00:00:02.720 --> 00:00:05.080]  (主持人:今天是「堅不離地信仰」系列)
[00:00:05.080 --> 00:00:07.440]  (請聽我讀出經文)
[00:00:07.440 --> 00:00:11.760]  (經文是記載在《撒路》二記上)
[00:00:11.760 --> 00:00:15.240]  (17章38至49節)
[00:00:15.240 --> 00:00:16.360]  (請聽我讀出)
[00:00:16.360 --> 00:00:22.800]  (素羅把自己的戰衣給大衛穿上)
[00:00:22.800 --> 00:00:26.400]  (將銅盔戴在他頭上)
[00:00:26.400 --> 00:00:28.400]  (又給他穿上海甲)
[00:00:29.280 --> 00:00:32.920]  (大衛配戴在戰衣上試著走走看)
[00:00:32.920 --> 00:00:36.160]  (因大衛沒有試過就對素羅說)
[00:00:36.160 --> 00:00:38.560]  (我穿戴這些不能走路)
[00:00:38.560 --> 00:00:40.680]  (因為我沒有試過)
[00:00:40.680 --> 00:00:46.080]  (於是他脫下身上這些軍裝)
[00:00:46.080 --> 00:00:48.760]  (他手中拿著)
[00:00:48.760 --> 00:00:52.960]  (又在溪中挑選了五塊光滑的石紙)
[00:00:52.960 --> 00:00:54.400]  (放在袋裡)
[00:00:54.400 --> 00:00:58.160]  (就是木人戴的狼女)
[00:00:58.160 --> 00:01:02.480]  (手裡拿著掉石的機緣)
[00:01:02.480 --> 00:01:04.480]  (迎向那非利士人)
[00:01:04.480 --> 00:01:08.160]  (那非利士人漸漸走近大衛)
[00:01:08.160 --> 00:01:11.160]  (拿盾的人在他前面)
[00:01:11.160 --> 00:01:13.760]  (非利士人觀看)
[00:01:13.760 --> 00:01:16.560]  (見了大衛就藐視他)
[00:01:16.560 --> 00:01:18.160]  (因為他年輕)
[00:01:18.160 --> 00:01:19.560]  (臉色紅潤)
[00:01:19.560 --> 00:01:21.160]  (容貌俊美)
[00:01:21.160 --> 00:01:24.160]  (非利士人對大衛說)
[00:01:24.160 --> 00:01:26.560]  (你拿著杖到我這裡來)
[00:01:27.160 --> 00:01:28.560]  (我豈是夠嗎?)
[00:01:28.560 --> 00:01:31.560]  (非利士人就指著自己的神明)
[00:01:31.560 --> 00:01:33.560]  (就坐大衛)
[00:01:33.560 --> 00:01:37.160]  (非利士人又對大衛說)
[00:01:37.160 --> 00:01:39.160]  (來吧 我要把你的肉)
[00:01:39.160 --> 00:01:42.560]  (吸空中的飛鳥和田野的走獸)
[00:01:42.560 --> 00:01:45.160]  (大衛對非利士人說)
[00:01:45.160 --> 00:01:46.560]  (你來攻擊我)
[00:01:46.560 --> 00:01:51.560]  (是靠著刀槍和銅矛)
[00:01:51.560 --> 00:01:53.560]  (但是我來攻擊你)
[00:01:53.560 --> 00:01:56.560]  (是靠著萬軍之野和大衛)
[00:01:56.560 --> 00:01:57.960]  (的命)
[00:01:57.960 --> 00:02:00.960]  (就是你所辱罵)
[00:02:00.960 --> 00:02:03.960]  (帶領以色列軍隊的神)
[00:02:03.960 --> 00:02:07.960]  (今天野和大衛必將你交在我手裡)
[00:02:07.960 --> 00:02:09.960]  (我必殺你)
[00:02:09.960 --> 00:02:11.960]  (砍下你的頭)
[00:02:11.960 --> 00:02:14.960]  (今天我要把非利士軍兵的屍體)
[00:02:14.960 --> 00:02:18.960]  (吸空中的飛鳥和地上的野獸)
[00:02:18.960 --> 00:02:22.960]  (使全地的人都知道以色列中有神)
[00:02:23.560 --> 00:02:32.960]  (又使這女傳媒眾知道)
[00:02:32.960 --> 00:02:34.960]  (野和華使人得勝)
[00:02:34.960 --> 00:02:36.960]  (不是用刀槍)
[00:02:36.960 --> 00:02:40.960]  (因為戰爭存在乎野和華)
[00:02:40.960 --> 00:02:44.960]  (他必將你們交在我們手裡)
[00:02:44.960 --> 00:02:46.960]  (那非利士人起來)
[00:02:46.960 --> 00:02:49.960]  (迎向大衛走近前來)
[00:02:49.960 --> 00:02:51.960]  (大衛急忙往戰場)
[00:02:52.560 --> 00:02:53.960]  (迎向非利士人跑去)
