
[00:00:00.000 --> 00:00:04.000]  周小嫻姑娘在我們當中傳講神的話語
[00:00:04.000 --> 00:00:08.000]  她的講題是「忍受試探的人有福了」
[00:00:08.000 --> 00:00:14.000]  相關的經文是記載在《路加福音》四章一至十三節
[00:00:14.000 --> 00:00:21.000]  《路加福音》四章一至十三節
[00:00:21.000 --> 00:00:24.000]  《路加福音》四章第一節這樣說
[00:00:24.000 --> 00:00:31.000]  耶穌滿有聖靈從一旦河迴來,聖靈把他引渡曠野。
[00:00:31.000 --> 00:00:42.000]  四十天受魔鬼的試探,在那些日子,他沒有吃什麼,日子滿了,他餓了。
[00:00:42.000 --> 00:00:50.000]  魔鬼對他說:「你若是神的兒子,叫這塊石頭變成食物吧。」
[00:00:50.000 --> 00:00:58.000]  耶穌回答說:「經上記著,人活著,不是單靠食物。」
[00:00:58.000 --> 00:01:08.000]  魔鬼又令他上了高山,十字間把天下萬國都指給他看,對他說:
[00:01:08.000 --> 00:01:19.000]  「這一切權柄和榮華,我都要給你,因為這原是交給我的,我願意給誰就給誰。」
[00:01:19.000 --> 00:01:24.000]  「你若在我面前下拜,這一切都歸你。」
[00:01:24.000 --> 00:01:34.000]  耶穌回答他說:「經上記著,要拜主你的神,唯獨侍奉他。」
[00:01:34.000 --> 00:01:42.000]  魔鬼又令他到耶路撒冷去,叫他站在聖殿頂上,對他說:
[00:01:42.000 --> 00:02:01.000]  「你若是神的兒子,從這裡跳下去,因為經上記著,主要為你命令他的使者保護你,他們要用手托著你,免得你的腳碰在石頭上。」
[00:02:01.000 --> 00:02:09.000]  耶穌回答他說:「經上說,不可試探主你的神。」
[00:02:09.000 --> 00:02:17.000]  魔鬼用完了各樣的試探,就離開耶穌,再等時機。
[00:02:17.000 --> 00:02:23.000]  忍受試探的人有福了,將以下時間交給小嫻姑娘。
[00:02:23.000 --> 00:02:27.000]  謝謝主席,很全神的中毒。
[00:02:27.000 --> 00:02:35.000]  先祝大家在新的一年,新心靈不斷更新,在主裡繼續蒙恩。
[00:02:35.000 --> 00:02:38.000]  我們一起有個祈禱吧。
[00:02:39.000 --> 00:02:49.000]  親愛的阿爸父,感謝讚美你,讓我們有你的話語,作我們生命的糧,願聖靈幫助我們,
[00:02:49.000 --> 00:03:01.000]  被你的話語激勵,我們的心靈去受光照,受滋潤,受訓練,以致我們的生命能完全開放給你。
[00:03:01.000 --> 00:03:08.000]  在新的一年,繼續塗造我們,奉主耶穌基督的名求,阿們。
[00:03:08.000 --> 00:03:18.000]  《老家福音》這本書卷,是我在神學院讀神學的時候,現讀的第一本聖經書卷。
[00:03:18.000 --> 00:03:26.000]  當時學院請了外來講員,包惠君博士,他留香港的時間很短,
[00:03:26.000 --> 00:03:38.000]  所以上課模式是一年五天,每天八個小時的密集課程,可想像身體很疲累。
[00:03:38.000 --> 00:03:50.000]  但很深刻的印象是,那五天裡,精神、心靈很飽足,深深體會到讀經帶來的飽足,
[00:03:50.000 --> 00:03:57.000]  也開啟了我對讀聖經,現讀聖經的興趣。
[00:03:57.000 --> 00:04:03.000]  我還記得,我們一起看剛剛主席為我們讀這段經文的時候,
[00:04:03.000 --> 00:04:15.000]  包惠君博士指出,我們看這段經文,很多時候很容易就集中看撒旦的說話,魔鬼的說話,
[00:04:15.000 --> 00:04:22.000]  多於看耶穌回答的說話,不知道大家是否同意。
[00:04:22.000 --> 00:04:36.000]  我們很容易以魔鬼去試探耶穌的說話作為講道的主題。
[00:04:36.000 --> 00:04:49.000]  但包惠君博士指我們去一個方向,你們試試看耶穌的回答,會收穫更豐富在這段經文裡。
[00:04:49.000 --> 00:04:56.000]  為什麼耶穌會這樣回答呢?其實回答得很奇怪。
[00:04:56.000 --> 00:05:05.000]  為什麼他會引用這些聖經呢?有這麼多聖經,他引用《生命記》六章八章裡的經文,
[00:05:05.000 --> 00:05:11.000]  是不是耶穌隨口說的呢?還是背後有什麼原因呢?
[00:05:11.000 --> 00:05:16.000]  今天我們就帶著這些問題進入這段經文。
[00:05:16.000 --> 00:05:25.000]  這段經文不算太長,也很寶貴,我們不如一起再讀一次。
[00:05:25.000 --> 00:05:33.000]  不過為了突出我們今天的重點,我就讀旁白和魔鬼說的話。
[00:05:33.000 --> 00:05:40.000]  會中你們只讀耶穌回答的說話,也要留心。
[00:05:41.000 --> 00:05:51.000]  耶穌滿有聖靈,從日誕何回來?聖靈把他引到曠野,四十天受魔鬼的試探。
[00:05:51.000 --> 00:05:58.000]  在那些日子,他沒有吃什麼,日子滿了,他餓了。
[00:05:58.000 --> 00:06:06.000]  魔鬼對他說:「你若是神的兒子,叫這塊石頭變成食物吧。」
[00:06:06.000 --> 00:06:17.000]  耶穌回答說:「天上天下,神父神父,至難求情,萬事萬物,都要祂所說的,祂說。」
[00:06:17.000 --> 00:06:24.000]  魔鬼又令他上了高山,霎時間把天下萬國都指給他看。
