
[00:00:00.000 --> 00:00:02.000]  以下是宣導的時間
[00:00:02.000 --> 00:00:02.700]  感謝神
[00:00:02.700 --> 00:00:05.700]  今天有曾睿貴牧師在我們中間靜悟
[00:00:05.700 --> 00:00:08.200]  曾牧師是本堂的堂主任
[00:00:08.200 --> 00:00:12.200]  今天講題是「附帶價建立門徒」
[00:00:12.200 --> 00:00:17.600]  經文是記載在提摩太后書二章一至七節
[00:00:17.600 --> 00:00:21.500]  《商學本聖經》是新約第三百三十二頁
[00:00:21.500 --> 00:00:24.000]  三百三十二頁
[00:00:24.000 --> 00:00:29.700]  提摩太后書二章一至七節
[00:00:30.700 --> 00:00:35.700]  我兒啊,你要在基督耶穌的恩典上剛強起來
[00:00:35.700 --> 00:00:40.200]  你在許多見證人面前聽見我所教導的
[00:00:40.200 --> 00:00:44.700]  也要教託給那忠心而又能教導別人的人
[00:00:44.700 --> 00:00:50.200]  你要和我同受苦難,作基督耶穌的徵兵
[00:00:50.200 --> 00:00:54.200]  凡當兵的,不讓誓無前身
[00:00:54.200 --> 00:00:57.200]  好使那朝他當兵人喜悅
[00:00:57.200 --> 00:01:03.200]  運動員在比賽的時候,不按規則就不能得冠冕
[00:01:03.200 --> 00:01:06.700]  勤勞的農夫,你當先得糧食
[00:01:06.700 --> 00:01:10.200]  我所說的話,你要考慮
[00:01:10.200 --> 00:01:13.700]  因為主必在凡事上給你聰明
[00:01:13.700 --> 00:01:16.200]  現在恭請曾牧師靜悟
[00:01:16.200 --> 00:01:24.700]  請我們一起祈禱
[00:01:26.200 --> 00:01:29.700]  我們再一次感謝,讚美我們的天父
[00:01:29.700 --> 00:01:34.200]  讓我們能夠可以帶著一份安靜的心靈
[00:01:34.200 --> 00:01:38.200]  到你的聖殿,來等候朝見
[00:01:38.200 --> 00:01:40.200]  我們這位造物的主宰
[00:01:40.200 --> 00:01:44.700]  是配受我們的讚美,配受我們的稱頌
[00:01:44.700 --> 00:01:48.200]  就讓我們能夠放下我們的重擔
[00:01:48.200 --> 00:01:51.700]  脫去容易傳累我們的罪
[00:01:51.700 --> 00:01:53.700]  全心的去擺上
[00:01:53.700 --> 00:01:57.200]  我們去奔走這條十字架的路
[00:01:57.200 --> 00:02:02.200]  我們來仰望這位為我們信心創始的耶穌基督
[00:02:02.200 --> 00:02:04.700]  一起在你面前等候你的話語
[00:02:04.700 --> 00:02:07.200]  你的聖言,你的教訓
[00:02:07.200 --> 00:02:09.200]  我們一起在你面前等候禱告
[00:02:09.200 --> 00:02:12.200]  奉耶穌基督的名,阿們
[00:02:12.200 --> 00:02:16.200]  一直都說過,哥羅西書第一章的經文
[00:02:16.200 --> 00:02:19.200]  是會一氣呵成地說
[00:02:19.200 --> 00:02:22.200]  但是今天我是有一個感動
[00:02:22.200 --> 00:02:25.200]  要將《齊摩特後書2章》這段經文
[00:02:25.200 --> 00:02:27.200]  跟大家來去展述
[00:02:27.200 --> 00:02:29.200]  希望這個題目
[00:02:29.200 --> 00:02:32.200]  我們付代價去建立門徒
[00:02:32.200 --> 00:02:34.200]  相信是每一個教會
[00:02:34.200 --> 00:02:37.200]  重中之重的工作
[00:02:37.200 --> 00:02:40.200]  要將神的真理傳承
[00:02:40.200 --> 00:02:43.200]  一代一代的傳承
[00:02:43.200 --> 00:02:48.200]  每一個教會必須盡快去建立這個系統
[00:02:48.200 --> 00:02:50.200]  健康的系統
[00:02:50.200 --> 00:02:54.200]  來到第二章的《齊摩特後書》
[00:02:54.200 --> 00:03:00.200]  其實四章聖經是史圖保羅人生最後一卷書
[00:03:00.200 --> 00:03:04.200]  他在監獄裏面就快要殉道
[00:03:04.200 --> 00:03:08.200]  我離世的時候到了
[00:03:08.200 --> 00:03:11.200]  美好的帳我已經打過了
[00:03:11.200 --> 00:03:14.200]  所守的道我都守住了
[00:03:14.200 --> 00:03:21.200]  從今以後有公義的冠冕為我存留
[00:03:21.200 --> 00:03:22.200]  不單止為我
[00:03:22.200 --> 00:03:25.200]  是為那些凡是來等待的人
[00:03:25.200 --> 00:03:27.200]  來去預備的
[00:03:27.200 --> 00:03:29.200]  這樣的意味著
[00:03:29.200 --> 00:03:33.200]  寫給提摩太這位年輕的傳道者
[00:03:33.200 --> 00:03:35.200]  就是一封遺書
