
[00:00:00.000 --> 00:00:04.680]  今日是農曆年第一個主日崇拜
[00:00:04.680 --> 00:00:06.920]  應該是第一次的主日崇拜
[00:00:06.920 --> 00:00:10.240]  祝福大家在主句裏面
[00:00:10.240 --> 00:00:11.960]  是恩典滿滿
[00:00:11.960 --> 00:00:14.920]  各人都身心靈壯健
[00:00:14.920 --> 00:00:16.360]  我想問一下
[00:00:16.360 --> 00:00:19.760]  在過去的年屆有多少人外出去旅行的
[00:00:19.760 --> 00:00:21.040]  舉手給我看看
[00:00:21.040 --> 00:00:25.640]  早堂不是很多人
[00:00:25.640 --> 00:00:29.800]  從新聞裏面知道
[00:00:29.800 --> 00:00:37.080]  無論在機場、火車站或高鐵的地方
[00:00:37.080 --> 00:00:39.400]  人流滿滿
[00:00:39.400 --> 00:00:43.400]  有人說逢農曆年的時候
[00:00:43.400 --> 00:00:46.840]  所有人都會來一個大遷移
[00:00:46.840 --> 00:00:53.280]  中國大陸的人個個都回到自己的家鄉過年
[00:00:53.280 --> 00:00:57.720]  現在又開始流行去不同的地方旅行
[00:00:57.720 --> 00:01:00.560]  香港人也一定
[00:01:00.560 --> 00:01:05.880]  農曆年一定趁著這個年假去旅行
[00:01:05.880 --> 00:01:11.640]  我想和大家分享一次旅行裏面的少少經歷
[00:01:11.640 --> 00:01:15.520]  大家猜一下我那次去了哪裏旅行
[00:01:15.520 --> 00:01:18.920]  去到一個鄉村小鎮
[00:01:18.920 --> 00:01:20.920]  一間超級市場
[00:01:21.160 --> 00:01:25.920]  有些像香港的超級市場
[00:01:25.920 --> 00:01:28.320]  有不同的食物
[00:01:28.320 --> 00:01:33.000]  那些多數都是魚蛋、魚片
[00:01:33.000 --> 00:01:35.240]  所以我沒有興趣
[00:01:35.240 --> 00:01:37.920]  就到處看
[00:01:37.920 --> 00:01:40.640]  無意中看到一個伯伯
[00:01:40.640 --> 00:01:43.040]  我想他七十多歲
[00:01:43.040 --> 00:01:44.800]  他又到處去逛
[00:01:44.800 --> 00:01:48.240]  逛到每一個有東西吃的地方
