
[00:00:00.000 --> 00:00:08.000]  我們一起簡單祈禱,多謝主再一次我們過了年之後,又恢復有茶經,
[00:00:08.000 --> 00:00:15.000]  我們很盼望透過研讀舊約歸回的歷史書和先知書,
[00:00:15.000 --> 00:00:20.000]  當我們一併來看的時候,希望能夠從其中,
[00:00:20.000 --> 00:00:24.000]  雖然是已經發生了,已經過去了的歷史,
[00:00:24.000 --> 00:00:30.000]  猶太人也有他們過去的聖殿和在主耶穌來到的時間,
[00:00:30.000 --> 00:00:36.000]  和主後70年聖殿被毀,猶太人他們要亡國,
[00:00:36.000 --> 00:00:42.000]  他們要被分散去到天下,這些都是我們知道的歷史,
[00:00:42.000 --> 00:00:47.000]  也是教會時代的開始,我們今天已經過了2000年,
[00:00:47.000 --> 00:00:54.000]  教會仍然屹立,全世界仍然等待主耶穌來塞亞的降臨,
[00:00:54.000 --> 00:00:59.000]  幫助我們對這一段差不多有400年的歷史,
[00:00:59.000 --> 00:01:04.000]  接近200年多一些,或者可以是400年的歷史,
[00:01:04.000 --> 00:01:07.000]  都能夠有所掌握,求主帶領我們,
[00:01:07.000 --> 00:01:12.000]  我們這樣仰望禱告奉耶穌基督的名,阿們。
[00:01:12.000 --> 00:01:19.000]  好,和大家重溫上一次,就是對上一次我們完之前提到,
[00:01:19.000 --> 00:01:26.000]  就是當他們興高采烈要來重建這個聖殿的根基,
[00:01:26.000 --> 00:01:32.000]  希望來到去恢復那個憲制先,至少搭好一個螢幕,
[00:01:32.000 --> 00:01:38.000]  首先最重要有個祭壇,但是其他的可能就未必有所羅門的規模,
[00:01:38.000 --> 00:01:43.000]  因為所羅門的規模是非常之大的,所以是前無古人的,
[00:01:43.000 --> 00:01:49.000]  但是我們上一次說過,有幾方面的攻擊立即就出現了,
[00:01:49.000 --> 00:01:58.000]  首先就是當地的原居民,其實就是由列王記夏第17章那裡,
[00:01:58.000 --> 00:02:11.000]  當時的亞述將外族人遷徙到北面的以色列,主要是薩馬利亞,
[00:02:11.000 --> 00:02:16.000]  所以那裡的人就不再是純種的猶太人,
[00:02:16.000 --> 00:02:20.000]  但是隨著那個歷史,隨著那個王朝,
[00:02:20.000 --> 00:02:24.000]  到了巴比倫的時候,連猶大國都亡了,
[00:02:24.000 --> 00:02:30.000]  南面的猶大國都亡了,所以整個以色列都要被擄,
[00:02:30.000 --> 00:02:34.000]  所以猶太人就被擄到巴比倫,
[00:02:34.000 --> 00:02:39.000]  亦都是輾轉過了70年,歸回歷史的開始,
[00:02:39.000 --> 00:02:47.000]  就是古列王頒布天下,所有的民族曾經被巴比倫王擄去的,
[00:02:47.000 --> 00:02:55.000]  現在可以回到自己的原居地,甚至乎拿國庫的一些資源來在當地,
[00:02:55.000 --> 00:03:00.000]  因為有很多的行省,好像是20個的行省,
[00:03:00.000 --> 00:03:03.000]  這個是古列的時候設立的,
[00:03:03.000 --> 00:03:08.000]  這樣來到這些行政區就可以調撥那些資源,
[00:03:08.000 --> 00:03:16.000]  當然是那些材料,石,木,來去重建宗教的temple,
[00:03:16.000 --> 00:03:19.000]  因為不同的民族都有自己的神,
[00:03:19.000 --> 00:03:22.000]  所以其實不只是猶太人,
[00:03:22.000 --> 00:03:30.000]  不過在二賽亞書45章,古列就是神的那個僕人,
[00:03:30.000 --> 00:03:37.000]  某程度是那個被神感動,為神效力的那個僕人,
[00:03:37.000 --> 00:03:41.000]  來到去重建這個聖殿的,
[00:03:41.000 --> 00:03:46.000]  所以我們讀這些歷史書和先知書,
[00:03:46.000 --> 00:03:51.000]  這一段時間是風起雲湧的,
