
[00:00:00.000 --> 00:00:02.760]  請姐妹主裡平安
[00:00:02.760 --> 00:00:05.380]  我們再一次同心祈禱
[00:00:05.380 --> 00:00:06.580]  多謝主
[00:00:06.580 --> 00:00:08.580]  我們可以去思想
[00:00:08.580 --> 00:00:12.380]  初期教會是如何在困難
[00:00:12.380 --> 00:00:14.880]  社會動盪的時期
[00:00:14.880 --> 00:00:17.280]  來傳福音
[00:00:17.280 --> 00:00:20.980]  而且是有聖靈的差遣
[00:00:20.980 --> 00:00:23.980]  求主帶領我們去思想
[00:00:23.980 --> 00:00:26.380]  二千年前的教會
[00:00:26.380 --> 00:00:30.580]  那個形態、那個機動性
[00:00:30.580 --> 00:00:32.980]  讓我們能夠從其中
[00:00:32.980 --> 00:00:36.880]  得到一些大方向、原則
[00:00:36.880 --> 00:00:38.880]  以致成為我們今天
[00:00:38.880 --> 00:00:42.580]  去思考教會的生態的時候
[00:00:42.580 --> 00:00:45.480]  我們都可以有所依循
[00:00:45.480 --> 00:00:47.180]  我們這樣的禱告
[00:00:47.180 --> 00:00:49.580]  奉耶穌基督的名
[00:00:49.580 --> 00:00:50.780]  阿們
[00:00:50.780 --> 00:00:53.780]  十一月份是感恩月
[00:00:53.780 --> 00:00:55.880]  也是差傳月
[00:00:55.880 --> 00:00:59.580]  所以整個月我們都會環繞著感恩
[00:00:59.580 --> 00:01:02.980]  和差傳兩個大的課題
[00:01:02.980 --> 00:01:06.380]  來跟弟兄姐妹一同勉勵
[00:01:06.380 --> 00:01:08.680]  推動大家的心靈
[00:01:08.680 --> 00:01:11.580]  對上主、對人的感恩
[00:01:11.580 --> 00:01:16.280]  以及對於宣教的事工的參與
[00:01:16.280 --> 00:01:19.480]  稍後報告我們會有一些機會
[00:01:19.480 --> 00:01:22.880]  每個星期這個月都會播放
[00:01:22.880 --> 00:01:25.480]  宣教士他們拍攝了的短片
[00:01:25.480 --> 00:01:29.580]  來讓大家知識一下他們現在的近況
[00:01:29.580 --> 00:01:30.980]  今晚會先播
[00:01:30.980 --> 00:01:32.680]  余姑娘
[00:01:32.680 --> 00:01:33.880]  余家寶姑娘
[00:01:33.880 --> 00:01:35.580]  她在歐洲
[00:01:35.580 --> 00:01:36.680]  在盧森堡
[00:01:36.680 --> 00:01:40.580]  以及她很快就會在德國的事工開展
[00:01:40.580 --> 00:01:44.380]  都是教會來支持的宣教士
[00:01:44.380 --> 00:01:48.580]  今晚這段聖經很簡單
[00:01:48.580 --> 00:01:52.680]  聖靈、差遣其中兩個
[00:01:52.680 --> 00:01:57.880]  這裡提到在教會裏面有五個領袖
[00:01:57.880 --> 00:01:59.480]  其中有先知
[00:01:59.480 --> 00:02:01.380]  先知是講預言的
[00:02:01.380 --> 00:02:02.380]  有教師
[00:02:02.380 --> 00:02:03.580]  聖經教師
[00:02:03.580 --> 00:02:04.880]  教導聖經的
[00:02:04.880 --> 00:02:06.180]  在五個裏面
[00:02:06.180 --> 00:02:07.280]  聖靈就說
[00:02:07.280 --> 00:02:09.180]  要分派兩個
[00:02:09.180 --> 00:02:14.480]  來出去做神所呼召他們去做的工作
[00:02:14.480 --> 00:02:16.480]  就是出去宣教了
[00:02:16.480 --> 00:02:20.180]  所以第四節就說到
[00:02:20.180 --> 00:02:25.680]  巴拿巴和保羅去到居比路
[00:02:25.680 --> 00:02:28.480]  居比路就是巴拿巴的故鄉
[00:02:28.480 --> 00:02:31.480]  在居比路即是現在的塞浦路斯島
[00:02:31.480 --> 00:02:35.880]  那裏來開展第一次的宣教旅程
[00:02:35.880 --> 00:02:37.980]  這段聖經很簡單
[00:02:37.980 --> 00:02:44.180]  但是聖靈為何會差遣這兩個人呢?
[00:02:44.180 --> 00:02:50.680]  以及當時的安提柯教會又具備什麼條件
[00:02:50.680 --> 00:02:54.480]  使到聖靈可以來差遣
[00:02:54.480 --> 00:02:58.780]  這個教會裏面的兩位重要的領袖呢?
[00:02:58.780 --> 00:03:01.780]  我們要問一問
[00:03:01.780 --> 00:03:05.480]  到底這位作者路加醫生
[00:03:05.480 --> 00:03:07.680]  有沒有一些蛛絲馬跡
[00:03:07.680 --> 00:03:10.780]  讓我們可以看到裏面
[00:03:10.780 --> 00:03:12.480]  原來有些端倪
[00:03:12.480 --> 00:03:14.780]  有些很大的原則
[00:03:14.780 --> 00:03:17.180]  是我們可以來去吸取
[00:03:17.180 --> 00:03:19.080]  可以來去知道的
[00:03:19.080 --> 00:03:21.980]  如果大家沒有遺忘
[00:03:21.980 --> 00:03:27.380]  第八章最近都多人講的經文
