
[00:00:00.000 --> 00:00:02.000]  今天有一樣很特別的
[00:00:02.000 --> 00:00:04.000]  我很想你
[00:00:04.000 --> 00:00:06.000]  現在和你旁邊的那位說一聲
[00:00:06.000 --> 00:00:10.000]  今天很開心
[00:00:10.000 --> 00:00:12.000]  在你的念想我見到神的愛
[00:00:12.000 --> 00:00:16.000]  和你旁邊的那位說一聲
[00:00:16.000 --> 00:00:18.000]  很開心今天在你的念想
[00:00:18.000 --> 00:00:20.000]  我見到神的愛
[00:00:20.000 --> 00:00:28.000]  是啊,我回來後也很開心
[00:00:28.000 --> 00:00:30.000]  我見到你有我的團友在
[00:00:30.000 --> 00:00:32.000]  很開心的
[00:00:32.000 --> 00:00:34.000]  很少機會能夠見到面
[00:00:34.000 --> 00:00:36.000]  但是回來後
[00:00:36.000 --> 00:00:38.000]  又好像很久沒見
[00:00:38.000 --> 00:00:40.000]  但又好像很親切
[00:00:40.000 --> 00:00:42.000]  進來後
[00:00:42.000 --> 00:00:44.000]  過了玻璃門第一件事
[00:00:44.000 --> 00:00:46.000]  我從那邊進來
[00:00:46.000 --> 00:00:48.000]  過了玻璃門第一件事
[00:00:48.000 --> 00:00:50.000]  你知道是什麼事嗎?
[00:00:50.000 --> 00:00:52.000]  有一個團友問我一句話
[00:00:52.000 --> 00:00:54.000]  要不要喝咖啡
[00:00:54.000 --> 00:00:56.000]  哇,多溫馨啊
[00:00:56.000 --> 00:00:58.000]  很感恩
[00:00:58.000 --> 00:01:00.000]  在哪裡會有這樣的說話?
[00:01:00.000 --> 00:01:04.000]  在家裡
[00:01:04.000 --> 00:01:06.000]  在家裡會有這樣的說話
[00:01:06.000 --> 00:01:08.000]  要不要喝一杯咖啡?
[00:01:08.000 --> 00:01:12.000]  你咖啡想不想加奶?
[00:01:12.000 --> 00:01:16.000]  這是家人很親切的問候
[00:01:16.000 --> 00:01:20.000]  回來後
[00:01:20.000 --> 00:01:22.000]  有一個家的感覺
[00:01:22.000 --> 00:01:24.000]  這是我們的家
[00:01:24.000 --> 00:01:26.000]  這是我們的家
[00:01:26.000 --> 00:01:28.000]  在家裡
[00:01:28.000 --> 00:01:30.000]  很多事情是不同的
[00:01:30.000 --> 00:01:32.000]  回家後
[00:01:32.000 --> 00:01:34.000]  你也會有些事情
[00:01:34.000 --> 00:01:36.000]  有些事情你想得到
[00:01:36.000 --> 00:01:38.000]  有些事情你想付出
[00:01:38.000 --> 00:01:42.000]  最近
[00:01:42.000 --> 00:01:44.000]  我先生有幾天
[00:01:44.000 --> 00:01:46.000]  不舒服
[00:01:46.000 --> 00:01:48.000]  不舒服的意思是
[00:01:48.000 --> 00:01:50.000]  他不舒服的意思是
[00:01:50.000 --> 00:01:52.000]  不是病
[00:01:52.000 --> 00:01:54.000]  不舒服的意思是
[00:01:54.000 --> 00:01:56.000]  不是很舒服
[00:01:56.000 --> 00:01:58.000]  不過不是病
[00:01:58.000 --> 00:02:00.000]  所以不舒服是不看醫生的
[00:02:00.000 --> 00:02:02.000]  各位太太有沒有同感?
[00:02:02.000 --> 00:02:06.000]  不舒服是不看醫生的
[00:02:06.000 --> 00:02:08.000]  我沒有病
[00:02:08.000 --> 00:02:10.000]  我只是不舒服
[00:02:10.000 --> 00:02:14.000]  作為太太的一家人
[00:02:14.000 --> 00:02:16.000]  你知道她想做什麼
[00:02:16.000 --> 00:02:18.000]  我沒辦法說話
[00:02:18.000 --> 00:02:20.000]  我就說
[00:02:20.000 --> 00:02:22.000]  我煮粥
[00:02:22.000 --> 00:02:24.000]  我想吃粥
[00:02:24.000 --> 00:02:26.000]  不是你病了
[00:02:26.000 --> 00:02:28.000]  是我想吃粥
[00:02:28.000 --> 00:02:30.000]  然後在街市附近
[00:02:30.000 --> 00:02:32.000]  買了一條魚回來
[00:02:32.000 --> 00:02:34.000]  做魚粥
[00:02:34.000 --> 00:02:36.000]  她很開心
[00:02:36.000 --> 00:02:38.000]  她覺得
[00:02:38.000 --> 00:02:40.000]  其實我就是想吃這些東西
[00:02:40.000 --> 00:02:42.000]  為什麼你知道?
[00:02:42.000 --> 00:02:44.000]  她不知道我為什麼會知道
[00:02:44.000 --> 00:02:46.000]  她有問題
[00:02:48.000 --> 00:02:50.000]  回到一個家
[00:02:50.000 --> 00:02:52.000]  回到一個家
[00:02:52.000 --> 00:02:54.000]  有些事情我們知道
[00:02:54.000 --> 00:02:56.000]  不說我們都知道
[00:02:56.000 --> 00:02:58.000]  有些事情是
[00:02:58.000 --> 00:03:00.000]  慢慢就知道
[00:03:00.000 --> 00:03:02.000]  慢慢就會知道
[00:03:02.000 --> 00:03:06.000]  這是我們在家裡的感覺
[00:03:06.000 --> 00:03:10.000]  進了一個家
[00:03:10.000 --> 00:03:12.000]  你就會知道
[00:03:12.000 --> 00:03:14.000]  你知不知道自己?
