
[00:00:00.000 --> 00:00:03.520]  書第一章十九至二十一節
[00:00:03.520 --> 00:00:06.080]  請聽我讀出經文
[00:00:06.080 --> 00:00:08.880]  耳筆所書第一章十九節
[00:00:08.880 --> 00:00:15.400]  「並知道祂向我們這些信的人所顯的能力是何等浩大
[00:00:15.400 --> 00:00:19.360]  這是照祂的大能大力運的
[00:00:19.360 --> 00:00:22.880]  這大能曾運行在基督身上
[00:00:22.880 --> 00:00:25.520]  使祂從死人中復活
[00:00:25.520 --> 00:00:29.680]  又使祂在天上坐在自己的右邊
[00:00:29.680 --> 00:00:32.160]  遠超越一切執政的
[00:00:32.160 --> 00:00:33.160]  掌權的
[00:00:33.160 --> 00:00:34.640]  有權能的
[00:00:34.640 --> 00:00:35.440]  統治的
[00:00:35.440 --> 00:00:38.040]  和一切有名號的
[00:00:38.040 --> 00:00:39.680]  不但是今世的
[00:00:39.680 --> 00:00:42.680]  連來世的也都超越了」
[00:00:42.680 --> 00:00:43.960]  經文讀筆
[00:00:43.960 --> 00:00:46.040]  將時間的恭敬交給謝牧師
[00:00:46.040 --> 00:00:47.720]  我們看整個話語之前
[00:00:47.720 --> 00:00:49.360]  我們一起祈禱
[00:00:49.360 --> 00:00:50.840]  我們恩主我們每一生感謝祢
[00:00:50.840 --> 00:00:52.720]  讓我們可以來到祢面前
[00:00:52.720 --> 00:00:56.200]  與主祢透過聖靈在當中的運行
[00:00:56.200 --> 00:00:57.600]  去帶領我們的心
[00:00:57.600 --> 00:00:59.920]  用孩子心中的意念
[00:00:59.920 --> 00:01:01.480]  口中的意願蒙祢如納
[00:01:01.480 --> 00:01:02.400]  我們這樣祈禱
[00:01:02.400 --> 00:01:04.200]  教託下奉主耶穌基督的名號
[00:01:04.200 --> 00:01:05.440]  阿門
[00:01:05.440 --> 00:01:07.320]  大家在你的人生裏面
[00:01:07.320 --> 00:01:11.280]  不知道有沒有遇到一些很重大的事
[00:01:11.280 --> 00:01:15.600]  足以使你像一棵大樹連根拔起
[00:01:15.600 --> 00:01:17.600]  令到你很辛苦
[00:01:17.600 --> 00:01:21.520]  或者是遇到生意的事情
[00:01:21.520 --> 00:01:24.320]  甚至在人生抉擇裏面
[00:01:24.320 --> 00:01:27.920]  或者是遇到一些重病
[00:01:27.920 --> 00:01:29.600]  在這種情況裏面
[00:01:29.600 --> 00:01:33.720]  你真的覺得好像沒有了依靠
[00:01:33.720 --> 00:01:35.720]  很傷痛
[00:01:35.720 --> 00:01:38.040]  傷痛得不得了
[00:01:38.040 --> 00:01:39.320]  我們看到門徒
[00:01:39.320 --> 00:01:41.440]  他們跟了耶穌三年
[00:01:41.440 --> 00:01:44.560]  現在耶穌死了
[00:01:44.560 --> 00:01:46.560]  他們的心情是怎樣的呢?
[00:01:46.560 --> 00:01:51.000]  他們再次回到自己的工作
[00:01:51.000 --> 00:01:53.000]  重操故業
[00:01:53.000 --> 00:01:54.720]  他們在捕魚
[00:01:54.720 --> 00:01:56.360]  但聖經說到
[00:01:56.360 --> 00:01:57.880]  他們在捕魚的時候
[00:01:57.880 --> 00:01:59.360]  火慢
[00:01:59.360 --> 00:02:02.120]  整夜
[00:02:02.120 --> 00:02:04.960]  一點收穫都沒有
[00:02:04.960 --> 00:02:06.080]  很勞碌的
[00:02:06.080 --> 00:02:08.640]  忙了一整晚
[00:02:08.640 --> 00:02:11.360]  甚麼都沒有
[00:02:11.360 --> 00:02:13.560]  但是天空光的時候
[00:02:13.560 --> 00:02:15.920]  他們就看到
[00:02:15.920 --> 00:02:20.720]  耶穌基督
[00:02:20.720 --> 00:02:22.600]  帶著早餐給他們
