
[00:00:00.000 --> 00:00:04.480]  多謝天父讓我們再一次可以來到他在萬常
[00:00:04.480 --> 00:00:08.340]  我們有系統地去研讀羅馬書
[00:00:08.340 --> 00:00:11.720]  多謝你讓我們能夠從第一章
[00:00:11.720 --> 00:00:16.360]  講到神的憤怒臨到不祈不移的人
[00:00:16.360 --> 00:00:20.200]  來到我們今天要講的第十二章
[00:00:20.200 --> 00:00:23.160]  我們看到我們每一個基督徒
[00:00:23.160 --> 00:00:27.960]  原來當我們的內心有了更新之後
[00:00:27.960 --> 00:00:29.800]  有聖靈的進駐
[00:00:29.800 --> 00:00:34.680]  我們每一個基督徒可以去測驗
[00:00:34.680 --> 00:00:37.520]  神在我們生命裏面的旨意
[00:00:37.520 --> 00:00:39.680]  這件事真是很奇妙
[00:00:39.680 --> 00:00:41.680]  是非常之偉大
[00:00:41.680 --> 00:00:44.800]  原來神是一個一個地拯救我們
[00:00:44.800 --> 00:00:47.840]  在地上的人 我們很感謝神
[00:00:47.840 --> 00:00:51.800]  幫助我們能夠在很多轉折的經文
[00:00:51.800 --> 00:00:54.440]  我們多停留和去思想
[00:00:54.440 --> 00:00:57.640]  以致有些可能我們平時在崇拜
[00:00:57.640 --> 00:01:00.480]  都未必能夠夠時間詳細講的
[00:01:00.480 --> 00:01:04.480]  我們可以有系統地去研讀和明白
[00:01:04.480 --> 00:01:10.000]  使到保羅他內心想交代、教導的
[00:01:10.000 --> 00:01:12.320]  叫我們都能夠掌握、明白
[00:01:12.320 --> 00:01:14.920]  以致激發我們的心靈
[00:01:14.920 --> 00:01:19.120]  有一份的服侍、對主的效忠
[00:01:19.120 --> 00:01:21.920]  我們今天晚上等候在你的面前
[00:01:21.920 --> 00:01:26.000]  亦都盼望這些錄製了的錄音
[00:01:26.000 --> 00:01:28.120]  都成為不同的兄弟姐妹
[00:01:28.120 --> 00:01:31.200]  在不同的時間 當他們聆聽的時候
[00:01:31.200 --> 00:01:34.160]  都得到造就 我們仰望著
