
[00:00:00.000 --> 00:00:02.000]  今天講的經文
[00:00:02.000 --> 00:00:04.000]  其實剛才都已經看過
[00:00:04.000 --> 00:00:07.000]  或者在詩歌裏面唱過
[00:00:07.000 --> 00:00:10.000]  都是非常熟悉的一些經文
[00:00:10.000 --> 00:00:11.000]  回教會久了
[00:00:11.000 --> 00:00:13.000]  應該都已經耳熟能詳
[00:00:13.000 --> 00:00:15.000]  都聽過
[00:00:15.000 --> 00:00:16.000]  《耳塞夏》
[00:00:16.000 --> 00:00:18.000]  它在《耳塞夏書》裏面
[00:00:18.000 --> 00:00:21.000]  宣告以色列人
[00:00:21.000 --> 00:00:24.000]  你們亡國 被擄
[00:00:24.000 --> 00:00:26.000]  其實是因為你們的罪
[00:00:26.000 --> 00:00:28.000]  因為你們犯罪
[00:00:28.000 --> 00:00:32.000]  得罪上帝 因此國家被滅亡
[00:00:32.000 --> 00:00:34.000]  但是上帝並沒有因為這樣
[00:00:34.000 --> 00:00:36.000]  而離棄以色列人
[00:00:36.000 --> 00:00:38.000]  他已經預備了拯救
[00:00:38.000 --> 00:00:40.000]  經文裏面多次用到「磅臂」
[00:00:40.000 --> 00:00:44.000]  來形容上帝的拯救
[00:00:44.000 --> 00:00:46.000]  大家應該都知道
[00:00:46.000 --> 00:00:48.000]  手是一種很有能力的東西
[00:00:48.000 --> 00:00:51.000]  我們身上很有能力的肢體
[00:00:51.000 --> 00:00:54.000]  我們會形容一些很能幫忙的人
[00:00:54.000 --> 00:00:55.000]  是得力助手
[00:00:55.000 --> 00:00:57.000]  或者你的左右手
[00:00:57.000 --> 00:01:00.000]  所以耶和華的「磅臂」
[00:01:00.000 --> 00:01:02.000]  我們可以理解就是
[00:01:02.000 --> 00:01:04.000]  耶和華將會透過一個人
[00:01:04.000 --> 00:01:08.000]  一個大能的人去拯救他們
[00:01:08.000 --> 00:01:11.000]  作者提醒以色列人
[00:01:11.000 --> 00:01:13.000]  耶和華的「磅臂」就快來到了
[00:01:13.000 --> 00:01:15.000]  你們要快快的悔改
[00:01:15.000 --> 00:01:17.000]  脫離不潔的時
[00:01:17.000 --> 00:01:21.000]  由52章13節到53章
[00:01:21.000 --> 00:01:25.000]  整章都是在說耶和華的「磅臂」
[00:01:25.000 --> 00:01:27.000]  耶和華的「磅臂」
[00:01:27.000 --> 00:01:30.000]  這個能力是怎樣的呢?
[00:01:30.000 --> 00:01:32.000]  出乎意料的
[00:01:32.000 --> 00:01:36.000]  他用一個受苦的僕人的形象出現
[00:01:36.000 --> 00:01:38.000]  當時的以色列人
[00:01:38.000 --> 00:01:39.000]  他們被滅國
[00:01:39.000 --> 00:01:40.000]  剛才說過
[00:01:40.000 --> 00:01:44.000]  他們被擄成為了奴隸
[00:01:44.000 --> 00:01:47.000]  大家腦海裏面的奴隸是怎樣的?
[00:01:47.000 --> 00:01:49.000]  一定不是像我這樣打領帶的
[00:01:49.000 --> 00:01:51.000]  可能沒有衣服穿
[00:01:51.000 --> 00:01:53.000]  可能在做苦工
[00:01:53.000 --> 00:01:55.000]  這是其中一種
[00:01:55.000 --> 00:01:57.000]  但是有一些奴隸
[00:01:57.000 --> 00:01:59.000]  如果有一技之長的話
[00:01:59.000 --> 00:02:02.000]  其實他可以在外邦那裏
[00:02:02.000 --> 00:02:04.000]  過著一些比較好的生活
[00:02:04.000 --> 00:02:06.000]  大家看聖經都看到
[00:02:06.000 --> 00:02:09.000]  但以你和他一班年輕的朋友
[00:02:09.000 --> 00:02:11.000]  就被人抓進了皇宮裏面
[00:02:11.000 --> 00:02:13.000]  去學習
[00:02:13.000 --> 00:02:15.000]  去預備在皇宮裏面工作
[00:02:15.000 --> 00:02:18.000]  相對地他們是有一些比較高的地位
[00:02:18.000 --> 00:02:20.000]  雖然他們是秘魯
[00:02:20.000 --> 00:02:24.000]  但他們都可以說是有一個比較好的待遇
[00:02:24.000 --> 00:02:27.000]  甚至可以保存他們的信仰
[00:02:27.000 --> 00:02:31.000]  所以以色列人他們在被擄的時候
[00:02:31.000 --> 00:02:35.000]  他們依然能夠在外邦那裏過著他們的生活
[00:02:35.000 --> 00:02:37.000]  保存著他們的身份
[00:02:37.000 --> 00:02:39.000]  保存著他們的信仰
[00:02:39.000 --> 00:02:42.000]  當然不代表這樣就非常好
[00:02:42.000 --> 00:02:44.000]  他們一樣是過著一些
[00:02:44.000 --> 00:02:47.000]  比當地人低等的生活
[00:02:47.000 --> 00:02:49.000]  他們始終是被擄的身份
[00:02:49.000 --> 00:02:51.000]  他們始終是亡國佬
[00:02:51.000 --> 00:02:53.000]  在這樣的情況下
[00:02:53.000 --> 00:02:55.000]  他們的共同願望是甚麼呢?
[00:02:55.000 --> 00:02:58.000]  就是耶和華的拯救來到了
[00:02:58.000 --> 00:03:00.000]  耶和華的蚌壁何時來到?
[00:03:00.000 --> 00:03:02.000]  何時可以救我們呢?
[00:03:02.000 --> 00:03:04.000]  他們會有些想像
[00:03:04.000 --> 00:03:06.000]  耶和華的受膏者會來到
[00:03:06.000 --> 00:03:07.000]  即是我們說的利塞亞
[00:03:07.000 --> 00:03:09.000]  他來到是怎樣的呢?
