
[00:00:00.000 --> 00:00:07.000]  再一次我們感謝主讓我們能夠進入這個相當大的課題
[00:00:07.000 --> 00:00:16.000]  猶太人他們的歸回歷史和當時的先知時代的渲染和預言
[00:00:16.000 --> 00:00:21.000]  我們都盼望這個其實是朝向尼塞亞的降臨
[00:00:21.000 --> 00:00:25.000]  主前的大概是四百年
[00:00:25.000 --> 00:00:30.000]  幫助我們能夠對於上主看歷史
[00:00:30.000 --> 00:00:40.000]  或者是當時的列強、巴比倫帝國、馬代、波斯帝國、希臘的興起等等
[00:00:40.000 --> 00:00:43.000]  這些都是我們在歷史裏面看到的
[00:00:43.000 --> 00:00:50.000]  當時猶太人他們身處在列強這些大國的夾縫裏面
[00:00:50.000 --> 00:00:54.000]  他們要面對的其實是一個很細小的以色列地
[00:00:54.000 --> 00:00:59.000]  但是這個是至關重要因為是關乎到神的救恩
[00:00:59.000 --> 00:01:06.000]  日後藉著猶太人、藉著律法、藉著耶穌基督的降生
[00:01:06.000 --> 00:01:10.000]  所以這一段歷史都是擺在聖經裏面
[00:01:10.000 --> 00:01:12.000]  是都算相當重要
[00:01:12.000 --> 00:01:17.000]  幫助我們能夠在梳理那些歷史的時候都能夠掌握
[00:01:17.000 --> 00:01:19.000]  雖然我們未必有很大的共鳴感
[00:01:19.000 --> 00:01:24.000]  但是盼望這個都是我們大家在一些大的方向原則
[00:01:24.000 --> 00:01:29.000]  特別是教會的發展方向都能夠找到一些重要的線索
[00:01:29.000 --> 00:01:32.000]  和那些大的真理
[00:01:32.000 --> 00:01:33.000]  求主帶領我們
[00:01:33.000 --> 00:01:35.000]  我們一起在你面前等候禱告
[00:01:35.000 --> 00:01:38.000]  奉耶穌基督的名
[00:01:38.000 --> 00:01:39.000]  阿們
[00:01:39.000 --> 00:01:41.000]  要報告一下
[00:01:41.000 --> 00:01:44.000]  因為下個禮拜四晚
[00:01:44.000 --> 00:01:49.000]  19號因為有個校長的弟兄
[00:01:49.000 --> 00:01:51.000]  他媽媽安息禮拜
[00:01:51.000 --> 00:01:52.000]  我要出席
[00:01:52.000 --> 00:01:54.000]  所以我下禮拜就停一次
[00:01:54.000 --> 00:01:56.000]  因為都接近過年
[00:01:56.000 --> 00:01:59.000]  19號應該都很忙了
[00:01:59.000 --> 00:02:01.000]  不如我們就停一次
[00:02:01.000 --> 00:02:04.000]  過了一年我們才恢復這個查經班
[00:02:04.000 --> 00:02:13.000]  我們回來看這個以色列的第三章
[00:02:13.000 --> 00:02:19.000]  看看大家是否對於這本書能夠掌握
[00:02:19.000 --> 00:02:23.000]  一至第六章其實就是記載第一次的秘魯歸回
[00:02:23.000 --> 00:02:27.000]  到第七章已經是另外一個時間
[00:02:27.000 --> 00:02:30.000]  相隔都已經是二十多年
[00:02:30.000 --> 00:02:32.000]  就有另外一個叫以色拉
[00:02:32.000 --> 00:02:33.000]  其實就是這個文士
[00:02:33.000 --> 00:02:35.000]  這一位的祭司
[00:02:35.000 --> 00:02:37.000]  來到他回歸
[00:02:37.000 --> 00:02:40.000]  引發的就是由第七章
[00:02:40.000 --> 00:02:44.000]  一直到第十章的以色拉記
[00:02:44.000 --> 00:02:45.000]  就完結了
[00:02:45.000 --> 00:02:47.000]  其實是一個記載
[00:02:47.000 --> 00:02:49.000]  一個你可以說是復興
[00:02:49.000 --> 00:02:53.000]  就是他們要來到去一起做一些事情
[00:02:53.000 --> 00:02:57.000]  就是有些事情他們已經做錯了
[00:02:57.000 --> 00:02:59.000]  那要怎樣做呢
[00:02:59.000 --> 00:03:01.000]  不過這裡又很特別的
[00:03:01.000 --> 00:03:03.000]  我們將來有機會看到
[00:03:03.000 --> 00:03:04.000]  你就會知道
[00:03:04.000 --> 00:03:08.000]  那件事未必是最好的一個手法
[00:03:08.000 --> 00:03:12.000]  就是那個處理的問題
[00:03:12.000 --> 00:03:19.000]  未必是一個聖經所讚許的一個手法
[00:03:19.000 --> 00:03:21.000]  以色拉就是這樣做
[00:03:21.000 --> 00:03:27.000]  做了之後可能帶來一個很大的震撼
[00:03:27.000 --> 00:03:29.000]  但是聖經又沒有講到
[00:03:29.000 --> 00:03:31.000]  到底有沒有結果
[00:03:31.000 --> 00:03:33.000]  做完之後會怎樣呢
[00:03:33.000 --> 00:03:35.000]  如果你有興趣想知道
[00:03:35.000 --> 00:03:39.000]  以色拉和當時的領袖做什麼呢
[00:03:39.000 --> 00:03:40.000]  你看第十章
[00:03:40.000 --> 00:03:41.000]  今晚回家
[00:03:41.000 --> 00:03:43.000]  但是沒有結果的
[00:03:43.000 --> 00:03:45.000]  講完那件事
[00:03:45.000 --> 00:03:47.000]  有些人做
[00:03:47.000 --> 00:03:49.000]  有些人就反對這樣做
[00:03:49.000 --> 00:03:51.000]  但是最後是沒有結果的
[00:03:51.000 --> 00:03:53.000]  那就完了以色拉記
[00:03:53.000 --> 00:03:54.000]  所以讀以色拉記
[00:03:54.000 --> 00:03:56.000]  其實就相當簡單
[00:03:56.000 --> 00:03:57.000]  一到第六章
[00:03:57.000 --> 00:04:00.000]  就是他們建這個聖殿
[00:04:00.000 --> 00:04:02.000]  那個根基
[00:04:02.000 --> 00:04:04.000]  建好之後
[00:04:04.000 --> 00:04:08.000]  就開始招致那個碧巴反對
[00:04:08.000 --> 00:04:10.000]  就停工
[00:04:10.000 --> 00:04:11.000]  停工之後
[00:04:11.000 --> 00:04:13.000]  當然就是建了根基
[00:04:13.000 --> 00:04:15.000]  停了十幾年之後
[00:04:15.000 --> 00:04:21.000]  又再來得到那個詔書
[00:04:21.000 --> 00:04:23.000]  其實已經過了兩個皇帝
[00:04:23.000 --> 00:04:24.000]  波斯的皇帝
[00:04:24.000 --> 00:04:26.000]  去到這個應該是
[00:04:26.000 --> 00:04:28.000]  類似是甘拜西二世的時候
[00:04:28.000 --> 00:04:31.000]  可以讓他們再重新建造
[00:04:31.000 --> 00:04:34.000]  一直到第六章就完結了
[00:04:34.000 --> 00:04:36.000]  第七章到第十章
[00:04:36.000 --> 00:04:39.000]  其實是一個復興的奮興會
[00:04:39.000 --> 00:04:41.000]  第三章
[00:04:41.000 --> 00:04:43.000]  第二章我們講過
[00:04:43.000 --> 00:04:45.000]  很長很長的名字
[00:04:45.000 --> 00:04:47.000]  每一個都值得紀念
[00:04:47.000 --> 00:04:50.000]  雖然不是每一個人名
[00:04:50.000 --> 00:04:51.000]  其實有的
[00:04:51.000 --> 00:04:54.000]  因為他們是四萬九千八百多人
[00:04:54.000 --> 00:04:56.000]  其實我想每一個人都會記錄在案
[00:04:56.000 --> 00:04:58.000]  登記在冊
[00:04:58.000 --> 00:05:00.000]  不過就以那個族長
[00:05:00.000 --> 00:05:02.000]  以那個領袖
[00:05:02.000 --> 00:05:06.000]  以那個哪一個支派的人
[00:05:06.000 --> 00:05:08.000]  或者哪一個地方的人
[00:05:08.000 --> 00:05:10.000]  譬如他是台山
[00:05:10.000 --> 00:05:11.000]  譬如他是番禺
[00:05:11.000 --> 00:05:13.000]  用這些來做一個單位
[00:05:13.000 --> 00:05:15.000]  但是其實
[00:05:15.000 --> 00:05:17.000]  當時的那些民事
[00:05:17.000 --> 00:05:19.000]  應該記錄每一個人
[00:05:19.000 --> 00:05:21.000]  他們的人名
[00:05:21.000 --> 00:05:23.000]  這樣來追溯他們那個支派
[00:05:23.000 --> 00:05:26.000]  其中就凸顯了
[00:05:26.000 --> 00:05:29.000]  有一些他自稱是祭司
[00:05:29.000 --> 00:05:31.000]  是利美人
[00:05:31.000 --> 00:05:33.000]  但是找不到那個族譜
[00:05:33.000 --> 00:05:35.000]  找不到他們那個
[00:05:35.000 --> 00:05:37.000]  可能是那些太公
[00:05:37.000 --> 00:05:38.000]  找不到
[00:05:38.000 --> 00:05:40.000]  所以要等到
[00:05:40.000 --> 00:05:42.000]  由祭司開始公職
[00:05:42.000 --> 00:05:45.000]  他們就用污名土名
[00:05:45.000 --> 00:05:47.000]  來解決那些疑難
[00:05:47.000 --> 00:05:49.000]  不知道是抽籤
[00:05:49.000 --> 00:05:52.000]  還是有些事情來做
