
[00:00:00.000 --> 00:00:05.720]  弟兄姊妹在此代表教會向貴教會所有弟兄姊妹
[00:00:05.720 --> 00:00:09.280]  長子、牧者來問安
[00:00:09.280 --> 00:00:12.120]  今天很感謝主
[00:00:12.120 --> 00:00:18.200]  亦感謝曾牧師和司徒永富博士的邀請
[00:00:18.200 --> 00:00:23.720]  讓我能夠在此和大家在主裡面團契
[00:00:23.720 --> 00:00:25.440]  和我們一起敬拜
[00:00:25.440 --> 00:00:29.320]  我剛才感受到在神的家裏
[00:00:29.320 --> 00:00:33.640]  其實我們大家都是沒有真正的隔閡
[00:00:33.640 --> 00:00:35.880]  因為我們有相同的主耶穌
[00:00:35.880 --> 00:00:38.680]  我們有共同的信仰和盼望
[00:00:38.680 --> 00:00:42.320]  亦在地上我們有相同的使命
[00:00:42.320 --> 00:00:44.720]  這個我們要很感謝神
[00:00:44.720 --> 00:00:47.000]  過去這一年裏面
[00:00:47.000 --> 00:00:49.680]  真是一個很難忘的一年
[00:00:49.680 --> 00:00:54.960]  自從年初我們看到新冠肺炎病毒
[00:00:54.960 --> 00:00:57.280]  一直擴散至全球的時候
[00:00:57.280 --> 00:01:00.120]  有人叫今年做消失的一年
[00:01:00.120 --> 00:01:03.480]  因為確是你發覺很多的事情
[00:01:03.480 --> 00:01:05.360]  不是在我們的控制底下
[00:01:05.360 --> 00:01:08.160]  我們想預計去做的事情
[00:01:08.160 --> 00:01:10.440]  有很多事情都會被打亂
[00:01:10.440 --> 00:01:12.920]  我們想去外邊或者是
[00:01:12.920 --> 00:01:17.800]  和其他人一起交流、分享
[00:01:17.800 --> 00:01:22.480]  所有這些的議會全部都要取消
[00:01:22.480 --> 00:01:24.240]  大家透過視像
[00:01:24.240 --> 00:01:28.160]  甚至吃飯都隨時因為限聚令的緣故
[00:01:28.160 --> 00:01:30.160]  我們要好好珍惜
[00:01:30.160 --> 00:01:34.640]  正是在今年的這麼特別的時代裏面
[00:01:34.640 --> 00:01:38.360]  有很多人都會覺得
[00:01:38.360 --> 00:01:43.720]  現在這個情況是否就是所謂末世呢?
[00:01:43.720 --> 00:01:46.600]  有很多人對於末世這個觀念
[00:01:46.600 --> 00:01:49.680]  其實是有一種誤解在裏面
[00:01:49.680 --> 00:01:52.080]  我首先要跟大家說
[00:01:52.080 --> 00:01:55.560]  12月是我們基督教傳統的節日裏面
[00:01:55.560 --> 00:01:56.920]  就是章林期
[00:01:56.920 --> 00:02:00.560]  其實章林期帶給我們一個很好的提醒
[00:02:00.560 --> 00:02:03.480]  英文叫做Advent
[00:02:03.480 --> 00:02:06.760]  Advent這個字本身是一個拉丁文
[00:02:06.760 --> 00:02:11.120]  其實它的意思是說coming的意思
[00:02:11.120 --> 00:02:12.840]  是說誰coming呢?
[00:02:12.840 --> 00:02:16.440]  就是在說耶穌基督第一次來臨這個世界
[00:02:16.440 --> 00:02:18.480]  祂生於馬槽裏面
[00:02:18.480 --> 00:02:20.960]  祂是在一個救恩的歷史裏面
[00:02:20.960 --> 00:02:24.160]  我們看見上帝很長久
[00:02:24.160 --> 00:02:27.160]  已經透過舊約到新約的這個預言
[00:02:27.160 --> 00:02:30.760]  祂的兒子是要被差遣來到這個世界
[00:02:30.760 --> 00:02:34.080]  但是這個Advent這個字本身
[00:02:34.080 --> 00:02:36.560]  這個拉丁文Adventus
[00:02:36.560 --> 00:02:41.680]  其實就是希臘文Parousia的翻譯
[00:02:41.680 --> 00:02:43.800]  Parousia又是說到
[00:02:43.800 --> 00:02:47.400]  其實就是耶穌第二次再來的意思
[00:02:47.400 --> 00:02:51.160]  是在說一個我們宣告皇帝
[00:02:51.160 --> 00:02:52.680]  祂要來臨
[00:02:52.680 --> 00:02:56.360]  這個對我們來說也是很重要
[00:02:56.360 --> 00:03:00.080]  因為我們今天不是只是紀念耶穌第一次的來臨
[00:03:00.080 --> 00:03:01.280]  我們在十二月
[00:03:01.280 --> 00:03:02.720]  我們在這個章林期
[00:03:02.720 --> 00:03:04.160]  其實我們期待
[00:03:04.160 --> 00:03:05.360]  我們等候
[00:03:05.360 --> 00:03:08.600]  我們很雀躍的
