
[00:00:00.000 --> 00:00:04.000]  各位早晨 主佬們平安
[00:00:04.000 --> 00:00:08.000]  其實本來是想繼續安息系列的
[00:00:08.000 --> 00:00:12.000]  說了兩次 但是因為今天早堂我又說到
[00:00:12.000 --> 00:00:14.000]  我實在沒有時間去預備兩篇
[00:00:14.000 --> 00:00:18.000]  於是就說回今天早堂的訊息
[00:00:18.000 --> 00:00:20.000]  就是肥立比書
[00:00:20.000 --> 00:00:25.000]  肥立比書就是保羅坐牢的時候
[00:00:25.000 --> 00:00:28.000]  寫給肥立比教會去鼓勵他們的
[00:00:28.000 --> 00:00:32.000]  一個人坐牢的時候 大家都知道是失去自由的時間
[00:00:32.000 --> 00:00:35.000]  應該是什麼都不太清楚
[00:00:35.000 --> 00:00:38.000]  特別是那時候沒有網絡 沒有電話
[00:00:38.000 --> 00:00:41.000]  所有的訊息是要怎樣傳遞的呢
[00:00:41.000 --> 00:00:44.000]  就是要寫信 或者是靠人去口傳
[00:00:44.000 --> 00:00:47.000]  我告訴你 你告訴他 這樣傳來傳去
[00:00:47.000 --> 00:00:53.000]  所以保羅他竟然都知道肥立比教會發生什麼事
[00:00:53.000 --> 00:00:56.000]  證明他們的關係要很密切才可以
[00:00:56.000 --> 00:00:59.000]  那裡有兩個女人吵架 他也知道
[00:00:59.000 --> 00:01:01.000]  他們的關係應該是很密切
[00:01:01.000 --> 00:01:03.000]  如果你看回肥立比書二章
[00:01:03.000 --> 00:01:06.000]  你會看到有一個人叫做爾巴弗提
[00:01:06.000 --> 00:01:12.000]  爾巴弗提就是肥立比教會猜險他去照顧保羅
[00:01:12.000 --> 00:01:14.000]  就是要幫助保羅
[00:01:14.000 --> 00:01:19.000]  我想肥立比教會是有資助保羅去做他的宣教工作
[00:01:19.000 --> 00:01:21.000]  但是可能他的資助並不足夠
[00:01:21.000 --> 00:01:25.000]  因此爾巴弗提就要額外再做多點事情
[00:01:25.000 --> 00:01:29.000]  聖經說他為了照顧保羅
[00:01:29.000 --> 00:01:33.000]  他操勞到病了 幾乎要死
[00:01:33.000 --> 00:01:38.000]  他忙到自己病了 甚至差點沒命
