
[00:00:00.000 --> 00:00:02.000]  明天就是父親節
[00:00:02.000 --> 00:00:04.000]  每一年去父親節的時候
[00:00:04.000 --> 00:00:06.000]  我相信特別有很多的童工
[00:00:06.000 --> 00:00:08.000]  都會和大家去表揚
[00:00:08.000 --> 00:00:10.000]  關於父母親的愛
[00:00:10.000 --> 00:00:12.000]  但我今晚不打算這樣做
[00:00:12.000 --> 00:00:14.000]  因為為什麼呢?
[00:00:14.000 --> 00:00:16.000]  我不知道大家每一次父親節的時候
[00:00:16.000 --> 00:00:18.000]  你有沒有想過要和
[00:00:18.000 --> 00:00:20.000]  這個父親說一聲
[00:00:20.000 --> 00:00:22.000]  父親節快樂
[00:00:22.000 --> 00:00:24.000]  有沒有?
[00:00:24.000 --> 00:00:26.000]  其實我經常都說
[00:00:26.000 --> 00:00:28.000]  在我的父親節
[00:00:28.000 --> 00:00:30.000]  在我的觀念裡面
[00:00:30.000 --> 00:00:32.000]  或者我自己的價值觀裡面
[00:00:32.000 --> 00:00:34.000]  有一樣很重要
[00:00:34.000 --> 00:00:36.000]  信念很重要
[00:00:36.000 --> 00:00:38.000]  因為家庭裡面
[00:00:38.000 --> 00:00:40.000]  如果有一個好的爸爸的話
[00:00:40.000 --> 00:00:42.000]  基本上這個家庭的幸福
[00:00:42.000 --> 00:00:44.000]  已經擁有了一半
[00:00:44.000 --> 00:00:48.000]  因為在聖經裡面
[00:00:48.000 --> 00:00:50.000]  剛才大家讀那段經文的時候
[00:00:50.000 --> 00:00:52.000]  我都講得很清楚
[00:00:52.000 --> 00:00:54.000]  在婚姻當中,丈夫是頭
[00:00:54.000 --> 00:00:56.000]  其實我也會延伸到
[00:00:56.000 --> 00:00:58.000]  他做爸爸的
[00:00:58.000 --> 00:01:00.000]  也是這個家庭的頭
[00:01:00.000 --> 00:01:02.000]  他是
[00:01:02.000 --> 00:01:04.000]  帶領著這個家庭的
[00:01:04.000 --> 00:01:06.000]  方向向前走
[00:01:06.000 --> 00:01:08.000]  他也都好像等於
[00:01:08.000 --> 00:01:10.000]  基督是教會的頭
[00:01:10.000 --> 00:01:12.000]  一樣
[00:01:12.000 --> 00:01:14.000]  所以我今晚和大家分享的時候
[00:01:14.000 --> 00:01:16.000]  是透過我們去看回
[00:01:16.000 --> 00:01:18.000]  天父的愛
[00:01:18.000 --> 00:01:20.000]  然後之後
[00:01:20.000 --> 00:01:22.000]  特別我今天送給一班
[00:01:22.000 --> 00:01:24.000]  在袋座當中的爸爸
[00:01:24.000 --> 00:01:26.000]  父親節的禮物給大家
[00:01:26.000 --> 00:01:28.000]  讓你在當中
[00:01:28.000 --> 00:01:30.000]  我們重新思想
[00:01:30.000 --> 00:01:32.000]  重新思考
[00:01:32.000 --> 00:01:34.000]  究竟我們今天一班基督徒
[00:01:34.000 --> 00:01:36.000]  我們這班父親,或者我們這班群體
[00:01:36.000 --> 00:01:38.000]  究竟和外面有什麼不同
[00:01:38.000 --> 00:01:40.000]  究竟我們
[00:01:40.000 --> 00:01:42.000]  今天經常說傳福音傳福音
[00:01:42.000 --> 00:01:44.000]  究竟我們傳什麼福音
[00:01:44.000 --> 00:01:46.000]  或者傳什麼訊息出去給其他人
[00:01:46.000 --> 00:01:48.000]  究竟我們今天的教會
[00:01:48.000 --> 00:01:50.000]  是吸引人的
[00:01:50.000 --> 00:01:52.000]  還是讓人覺得
[00:01:52.000 --> 00:01:54.000]  沒有什麼特別,沒有什麼出奇
[00:01:54.000 --> 00:01:56.000]  當然上帝的愛
[00:01:56.000 --> 00:01:58.000]  很豐富,今晚沒辦法和大家說完
[00:01:58.000 --> 00:02:00.000]  全部,但我只會
[00:02:00.000 --> 00:02:02.000]  圍繞在剛才聖經裡面
[00:02:02.000 --> 00:02:04.000]  去說
[00:02:04.000 --> 00:02:06.000]  什麼是父親,什麼是上帝的愛
[00:02:06.000 --> 00:02:08.000]  其實
[00:02:08.000 --> 00:02:10.000]  剛才那段經文當中,大家
[00:02:10.000 --> 00:02:12.000]  一看的時候,一開始你們聽見
[00:02:12.000 --> 00:02:14.000]  有話說,當愛你們的
[00:02:14.000 --> 00:02:16.000]  鄰舍恨你們的仇敵
[00:02:16.000 --> 00:02:18.000]  只是我告訴你們,要愛你們的
[00:02:18.000 --> 00:02:20.000]  鄰,要愛你們的仇敵
[00:02:20.000 --> 00:02:22.000]  為了逼迫你們的禱告
[00:02:22.000 --> 00:02:24.000]  其實我想大家留意
[00:02:24.000 --> 00:02:26.000]  在這段經文當中,如果大家
[00:02:26.000 --> 00:02:28.000]  有興趣,你回去聖經點,特別現在
[00:02:28.000 --> 00:02:30.000]  聖經很方便,他一定會多
[00:02:30.000 --> 00:02:32.000]  一顆星,他就告訴你
[00:02:32.000 --> 00:02:34.000]  其實這句話是從哪裡來的
[00:02:34.000 --> 00:02:36.000]  這句話其實是
[00:02:36.000 --> 00:02:38.000]  出自利未記十九章十八節
[00:02:38.000 --> 00:02:40.000]  但大家聽清楚
[00:02:40.000 --> 00:02:42.000]  這段經文的原本是怎樣的
[00:02:42.000 --> 00:02:44.000]  這段經文是
